ecmf prod rf 1997121200 20161212 11 046
0024 em 00 -0.529 -1.212  1.322 2
0024 cf 00 -0.532 -1.158  1.274 2
0024 pf 01 -0.474 -1.150  1.244 2
0024 pf 02 -0.492 -1.280  1.371 2
0024 pf 03 -0.469 -1.152  1.244 2
0024 pf 04 -0.504 -1.135  1.242 2
0024 pf 05 -0.574 -1.179  1.312 2
0024 pf 06 -0.570 -1.153  1.286 2
0024 pf 07 -0.517 -1.104  1.219 2
0024 pf 08 -0.509 -1.279  1.377 2
0024 pf 09 -0.602 -1.177  1.322 2
0024 pf 10 -0.452 -1.293  1.370 2
0048 em 00 -0.216 -1.192  1.211 2
0048 cf 00 -0.140 -1.153  1.162 2
0048 pf 01 -0.259 -0.995  1.028 2
0048 pf 02 -0.112 -1.309  1.314 2
0048 pf 03 -0.195 -1.100  1.117 2
0048 pf 04 -0.250 -0.995  1.026 2
0048 pf 05 -0.322 -1.151  1.195 2
0048 pf 06 -0.301 -1.371  1.403 2
0048 pf 07 -0.207 -1.205  1.223 2
0048 pf 08 -0.161 -1.216  1.227 2
0048 pf 09 -0.202 -1.109  1.127 2
0048 pf 10 -0.109 -1.248  1.253 2
0072 em 00  0.253 -1.236  1.262 3
0072 cf 00  0.257 -1.201  1.228 3
0072 pf 01  0.233 -1.106  1.131 3
0072 pf 02  0.254 -1.291  1.315 3
0072 pf 03  0.272 -1.222  1.252 3
0072 pf 04  0.262 -0.962  0.997 3
0072 pf 05  0.045 -1.446  1.447 3
0072 pf 06  0.163 -1.363  1.373 3
0072 pf 07  0.336 -1.183  1.230 3
0072 pf 08  0.319 -1.235  1.275 3
0072 pf 09  0.324 -0.885  0.943 3
0072 pf 10  0.410 -1.433  1.491 3
0096 em 00  0.541 -1.254  1.365 3
0096 cf 00  0.531 -1.216  1.327 3
0096 pf 01  0.412 -1.063  1.140 3
0096 pf 02  0.723 -1.357  1.538 3
0096 pf 03  0.526 -1.175  1.287 3
0096 pf 04  0.596 -1.011  1.173 3
0096 pf 05  0.372 -1.532  1.577 3
0096 pf 06  0.439 -1.420  1.486 3
0096 pf 07  0.482 -1.319  1.405 3
0096 pf 08  0.679 -1.161  1.345 3
0096 pf 09  0.630 -0.938  1.129 3
0096 pf 10  0.633 -1.346  1.487 3
0120 em 00  0.832 -1.097  1.377 3
0120 cf 00  0.854 -1.111  1.401 3
0120 pf 01  0.604 -1.052  1.213 3
0120 pf 02  0.924 -1.091  1.430 3
0120 pf 03  0.810 -1.113  1.376 3
0120 pf 04  0.999 -0.808  1.285 4
0120 pf 05  0.858 -1.450  1.685 3
0120 pf 06  0.515 -1.295  1.393 3
0120 pf 07  0.756 -1.053  1.296 3
0120 pf 08  1.055 -0.928  1.405 4
0120 pf 09  0.921 -0.748  1.187 4
0120 pf 10  0.928 -1.177  1.499 3
0144 em 00  1.038 -0.744  1.277 4
