ecmf prod rf 2003042800 20160428 11 046
0024 em 00  0.117 -1.487  1.491 3
0024 cf 00  0.138 -1.498  1.504 3
0024 pf 01  0.157 -1.454  1.463 3
0024 pf 02  0.153 -1.515  1.523 3
0024 pf 03  0.165 -1.423  1.432 3
0024 pf 04  0.003 -1.584  1.584 3
0024 pf 05  0.187 -1.514  1.525 3
0024 pf 06  0.142 -1.420  1.427 3
0024 pf 07 -0.065 -1.433  1.434 2
0024 pf 08  0.231 -1.492  1.510 3
0024 pf 09  0.223 -1.383  1.401 3
0024 pf 10  0.080 -1.596  1.598 3
0048 em 00  0.386 -1.532  1.579 3
0048 cf 00  0.444 -1.564  1.625 3
0048 pf 01  0.291 -1.489  1.517 3
0048 pf 02  0.377 -1.534  1.579 3
0048 pf 03  0.522 -1.369  1.465 3
0048 pf 04  0.343 -1.580  1.617 3
0048 pf 05  0.426 -1.578  1.634 3
0048 pf 06  0.272 -1.459  1.484 3
0048 pf 07  0.288 -1.638  1.663 3
0048 pf 08  0.474 -1.516  1.589 3
0048 pf 09  0.454 -1.288  1.366 3
0048 pf 10  0.447 -1.772  1.828 3
0072 em 00  0.606 -1.421  1.544 3
0072 cf 00  0.665 -1.456  1.601 3
0072 pf 01  0.579 -1.384  1.501 3
0072 pf 02  0.684 -1.312  1.480 3
0072 pf 03  0.658 -1.252  1.415 3
0072 pf 04  0.497 -1.452  1.535 3
0072 pf 05  0.644 -1.401  1.542 3
0072 pf 06  0.490 -1.371  1.456 3
0072 pf 07  0.348 -1.655  1.692 3
0072 pf 08  0.791 -1.309  1.529 3
0072 pf 09  0.665 -1.289  1.451 3
0072 pf 10  0.701 -1.672  1.813 3
0096 em 00  0.704 -1.084  1.292 3
0096 cf 00  0.757 -1.052  1.296 3
0096 pf 01  0.753 -1.119  1.348 3
0096 pf 02  0.695 -1.055  1.263 3
0096 pf 03  0.728 -0.737  1.036 3
0096 pf 04  0.574 -0.949  1.109 3
0096 pf 05  0.553 -1.086  1.219 3
