ecmf prod rf 2013081300 20150813 11 046
0024 em 00  0.156 -0.263  0.306 3
0024 cf 00  0.141 -0.246  0.283 3
0024 pf 01  0.106 -0.248  0.270 3
0024 pf 02  0.286 -0.368  0.466 3
0024 pf 03  0.067 -0.247  0.256 3
0024 pf 04  0.125 -0.224  0.256 3
0024 pf 05  0.187 -0.349  0.396 3
0024 pf 06  0.166 -0.092  0.190 4
0024 pf 07  0.159 -0.149  0.218 4
0024 pf 08  0.190 -0.227  0.296 3
0024 pf 09  0.141 -0.208  0.252 3
0024 pf 10  0.156 -0.419  0.447 3
0048 em 00 -0.162  0.123  0.204 8
0048 cf 00 -0.108  0.104  0.150 8
0048 pf 01 -0.140  0.142  0.199 7
0048 pf 02  0.011  0.042  0.043 6
0048 pf 03 -0.323  0.306  0.445 8
0048 pf 04 -0.336  0.177  0.379 8
0048 pf 05 -0.241  0.037  0.243 8
0048 pf 06 -0.208  0.315  0.378 7
0048 pf 07 -0.063  0.232  0.241 7
0048 pf 08 -0.147  0.022  0.149 8
0048 pf 09 -0.075  0.040  0.085 8
0048 pf 10 -0.140  0.028  0.143 8
0072 em 00 -0.320  0.462  0.562 7
0072 cf 00 -0.196  0.468  0.507 7
0072 pf 01 -0.391  0.592  0.709 7
0072 pf 02 -0.082  0.531  0.537 7
0072 pf 03 -0.575  0.569  0.809 8
0072 pf 04 -0.499  0.440  0.665 8
0072 pf 05 -0.366  0.157  0.398 8
0072 pf 06 -0.324  0.672  0.746 7
0072 pf 07 -0.235  0.437  0.496 7
0072 pf 08 -0.296  0.463  0.550 7
0072 pf 09 -0.158  0.453  0.479 7
0072 pf 10 -0.381  0.360  0.524 8
0096 em 00 -0.386  0.655  0.760 7
0096 cf 00 -0.197  0.674  0.702 7
0096 pf 01 -0.337  0.863  0.926 7
0096 pf 02 -0.132  0.621  0.635 7
0096 pf 03 -0.678  0.714  0.984 7
0096 pf 04 -0.501  0.446  0.671 8
0096 pf 05 -0.415  0.331  0.531 8
0096 pf 06 -0.468  0.649  0.800 7
0096 pf 07 -0.346  0.555  0.654 7
0096 pf 08 -0.327  0.793  0.858 7
0096 pf 09 -0.368  0.885  0.959 7
0096 pf 10 -0.480  0.691  0.841 7
0120 em 00 -0.418  0.709  0.823 7
0120 cf 00 -0.108  0.752  0.759 7
0120 pf 01 -0.273  0.958  0.996 7
0120 pf 02 -0.447  0.974  1.072 7
0120 pf 03 -0.677  0.710  0.981 7
0120 pf 04 -0.497  0.145  0.518 8
0120 pf 05 -0.256  0.511  0.571 7
0120 pf 06 -0.749  0.664  1.001 8
0120 pf 07 -0.552  0.714  0.902 7
0120 pf 08 -0.250  0.864  0.900 7
0120 pf 09 -0.321  0.887  0.943 7
0120 pf 10 -0.482  0.632  0.795 7
0144 em 00 -0.523  0.887  1.030 7
0144 cf 00 -0.224  0.978  1.003 7
0144 pf 01 -0.464  1.180  1.268 7
0144 pf 02 -0.462  1.218  1.303 7
0144 pf 03 -0.644  0.925  1.127 7
0144 pf 04 -0.828  0.372  0.908 8
0144 pf 05 -0.426  0.701  0.820 7
0144 pf 06 -0.695  0.865  1.109 7
0144 pf 07 -0.687  0.853  1.095 7
0144 pf 08 -0.310  0.917  0.969 7
0144 pf 09 -0.232  0.875  0.905 7
0144 pf 10 -0.793  0.849  1.162 7
0168 em 00 -0.634  0.891  1.093 7
0168 cf 00 -0.316  0.990  1.039 7
0168 pf 01 -0.676  1.339  1.501 7
0168 pf 02 -0.641  1.118  1.289 7
0168 pf 03 -0.857  0.887  1.233 7
0168 pf 04 -0.917  0.403  1.001 8
0168 pf 05 -0.398  0.772  0.868 7
0168 pf 06 -0.714  0.945  1.185 7
0168 pf 07 -0.847  0.624  1.052 8
0168 pf 08 -0.503  0.942  1.068 7
0168 pf 09 -0.106  0.819  0.826 7
0168 pf 10 -1.003  0.943  1.377 8
0192 em 00 -0.677  0.801  1.049 7
0192 cf 00 -0.381  0.928  1.004 7
0192 pf 01 -0.585  1.185  1.322 7
0192 pf 02 -1.059  1.053  1.494 8
0192 pf 03 -0.877  0.809  1.193 8
0192 pf 04 -0.974  0.241  1.003 8
0192 pf 05 -0.452  0.841  0.955 7
0192 pf 06 -0.697  0.687  0.979 8
0192 pf 07 -0.864  0.609  1.057 8
0192 pf 08 -0.497  0.676  0.839 7
0192 pf 09 -0.088  0.736  0.742 7
0192 pf 10 -0.984  1.025  1.421 7
0216 em 00 -0.762  0.813  1.115 7
0216 cf 00 -0.557  0.945  1.097 7
0216 pf 01 -0.585  0.870  1.049 7
0216 pf 02 -1.235  1.023  1.604 8
0216 pf 03 -0.815  0.790  1.135 8
0216 pf 04 -0.938  0.211  0.961 8
0216 pf 05 -0.596  0.895  1.075 7
0216 pf 06 -0.847  0.679  1.086 8
0216 pf 07 -0.911  0.830  1.233 8
0216 pf 08 -0.626  0.823  1.034 7
