ecmf prod rf 2005062600 20170626 11 046
0024 em 00 -0.540 -1.040  1.172 2
0024 cf 00 -0.570 -1.084  1.224 2
0024 pf 01 -0.548 -0.966  1.110 2
0024 pf 02 -0.635 -1.062  1.237 2
0024 pf 03 -0.579 -0.984  1.142 2
0024 pf 04 -0.484 -1.087  1.190 2
0024 pf 05 -0.585 -1.082  1.230 2
0024 pf 06 -0.542 -1.036  1.169 2
0024 pf 07 -0.592 -1.072  1.225 2
0024 pf 08 -0.418 -1.014  1.097 2
0024 pf 09 -0.544 -0.927  1.075 2
0024 pf 10 -0.475 -0.987  1.095 2
0048 em 00 -0.455 -1.252  1.332 2
0048 cf 00 -0.479 -1.243  1.333 2
0048 pf 01 -0.368 -1.278  1.330 2
0048 pf 02 -0.693 -1.274  1.450 2
0048 pf 03 -0.532 -1.418  1.514 2
0048 pf 04 -0.262 -1.091  1.121 2
0048 pf 05 -0.229 -1.248  1.269 2
0048 pf 06 -0.579 -1.198  1.330 2
0048 pf 07 -0.661 -1.380  1.530 2
0048 pf 08 -0.320 -1.028  1.077 2
0048 pf 09 -0.487 -1.230  1.323 2
0048 pf 10 -0.445 -1.234  1.312 2
0072 em 00 -0.516 -1.368  1.462 2
0072 cf 00 -0.500 -1.386  1.474 2
0072 pf 01 -0.489 -1.399  1.482 2
0072 pf 02 -0.682 -1.338  1.501 2
0072 pf 03 -0.511 -1.455  1.542 2
0072 pf 04 -0.277 -1.317  1.346 2
0072 pf 05 -0.474 -1.383  1.462 2
0072 pf 06 -0.452 -1.305  1.381 2
0072 pf 07 -0.904 -1.344  1.620 2
0072 pf 08 -0.432 -1.013  1.102 2
0072 pf 09 -0.514 -1.537  1.621 2
0072 pf 10 -0.498 -1.391  1.477 2
0096 em 00 -0.536 -1.397  1.496 2
0096 cf 00 -0.498 -1.405  1.491 2
0096 pf 01 -0.489 -1.517  1.594 2
0096 pf 02 -0.656 -1.370  1.519 2
0096 pf 03 -0.363 -1.430  1.475 2
0096 pf 04 -0.297 -1.368  1.400 2
0096 pf 05 -0.654 -1.454  1.594 2
0096 pf 06 -0.510 -1.282  1.380 2
0096 pf 07 -0.980 -1.461  1.760 2
0096 pf 08 -0.574 -0.994  1.148 2
0096 pf 09 -0.435 -1.379  1.446 2
0096 pf 10 -0.514 -1.545  1.628 2
0120 em 00 -0.475 -1.420  1.497 2
0120 cf 00 -0.387 -1.454  1.504 2
0120 pf 01 -0.447 -1.469  1.535 2
0120 pf 02 -0.535 -1.572  1.661 2
0120 pf 03 -0.447 -1.363  1.435 2
0120 pf 04 -0.228 -1.333  1.353 2
0120 pf 05 -0.441 -1.488  1.552 2
0120 pf 06 -0.641 -1.247  1.402 2
0120 pf 07 -0.941 -1.572  1.832 2
0120 pf 08 -0.558 -0.979  1.127 2
0120 pf 09 -0.373 -1.418  1.466 2
0120 pf 10 -0.303 -1.586  1.615 2
0144 em 00 -0.260 -1.431  1.455 2
0144 cf 00 -0.231 -1.477  1.495 2
0144 pf 01 -0.457 -1.647  1.710 2
0144 pf 02 -0.004 -1.636  1.636 2
0144 pf 03 -0.176 -1.286  1.298 2
0144 pf 04 -0.014 -1.350  1.350 2
0144 pf 05 -0.146 -1.528  1.535 2
0144 pf 06 -0.369 -1.172  1.228 2
0144 pf 07 -1.012 -1.434  1.755 2
0144 pf 08 -0.317 -0.979  1.029 2
0144 pf 09 -0.202 -1.538  1.552 2
0144 pf 10 -0.010 -1.537  1.537 2
0168 em 00 -0.002 -1.543  1.543 2
0168 cf 00  0.084 -1.560  1.562 3
0168 pf 01 -0.128 -1.875  1.880 2
0168 pf 02  0.267 -1.690  1.711 3
0168 pf 03  0.103 -1.343  1.347 3
0168 pf 04  0.192 -1.309  1.323 3
0168 pf 05  0.146 -1.646  1.652 3
0168 pf 06 -0.274 -1.389  1.416 2
0168 pf 07 -0.761 -1.470  1.655 2
0168 pf 08 -0.257 -1.278  1.303 2
0168 pf 09  0.077 -1.784  1.785 3
0168 pf 10  0.412 -1.434  1.493 3
0192 em 00  0.021 -1.603  1.604 3
0192 cf 00  0.324 -1.663  1.694 3
0192 pf 01 -0.078 -1.905  1.906 2
0192 pf 02  0.160 -1.713  1.720 3
0192 pf 03 -0.074 -1.424  1.426 2
0192 pf 04  0.264 -1.384  1.409 3
0192 pf 05  0.167 -1.708  1.716 3
0192 pf 06 -0.421 -1.344  1.408 2
0192 pf 07 -0.618 -1.558  1.676 2
0192 pf 08 -0.263 -1.665  1.685 2
0192 pf 09  0.111 -1.744  1.747 3
0192 pf 10  0.556 -1.298  1.412 3
0216 em 00 -0.026 -1.595  1.595 2
0216 cf 00  0.228 -1.777  1.791 3
0216 pf 01 -0.147 -1.623  1.629 2
0216 pf 02  0.180 -1.591  1.601 3
