ecmf prod rf 2014052900 20170529 11 046
0024 em 00 -0.025 -1.172  1.172 2
0024 cf 00 -0.081 -1.138  1.141 2
0024 pf 01 -0.088 -1.216  1.220 2
0024 pf 02  0.039 -1.192  1.193 3
0024 pf 03  0.038 -1.196  1.196 3
0024 pf 04 -0.139 -1.161  1.169 2
0024 pf 05 -0.002 -1.109  1.109 2
0024 pf 06  0.013 -1.084  1.084 3
0024 pf 07 -0.017 -1.134  1.134 2
0024 pf 08  0.056 -1.132  1.134 3
0024 pf 09 -0.002 -1.107  1.107 2
0024 pf 10 -0.089 -1.233  1.236 2
0048 em 00  0.127 -1.267  1.273 3
0048 cf 00  0.131 -1.292  1.299 3
0048 pf 01 -0.016 -1.413  1.413 2
0048 pf 02  0.291 -1.207  1.242 3
0048 pf 03  0.193 -1.168  1.184 3
0048 pf 04  0.043 -1.307  1.308 3
0048 pf 05 -0.021 -1.161  1.161 2
0048 pf 06  0.216 -1.147  1.167 3
0048 pf 07  0.241 -1.343  1.365 3
0048 pf 08  0.150 -1.150  1.160 3
0048 pf 09  0.209 -1.242  1.260 3
0048 pf 10 -0.018 -1.302  1.302 2
0072 em 00  0.265 -1.164  1.194 3
0072 cf 00  0.253 -1.177  1.204 3
0072 pf 01  0.198 -1.537  1.550 3
0072 pf 02  0.447 -0.856  0.966 3
0072 pf 03  0.333 -1.092  1.142 3
0072 pf 04  0.165 -1.335  1.346 3
0072 pf 05 -0.038 -0.962  0.963 2
0072 pf 06  0.388 -1.108  1.174 3
0072 pf 07  0.405 -1.122  1.193 3
0072 pf 08  0.275 -1.089  1.123 3
0072 pf 09  0.251 -1.076  1.105 3
0072 pf 10  0.255 -1.275  1.300 3
0096 em 00  0.090 -0.953  0.957 3
0096 cf 00 -0.011 -1.000  1.000 2
0096 pf 01 -0.022 -1.332  1.332 2
0096 pf 02  0.157 -0.672  0.690 3
0096 pf 03  0.171 -1.006  1.020 3
0096 pf 04  0.171 -0.978  0.993 3
0096 pf 05 -0.296 -0.959  1.004 2
0096 pf 06  0.338 -0.887  0.949 3
0096 pf 07  0.225 -0.894  0.922 3
0096 pf 08  0.128 -0.925  0.934 3
0096 pf 09  0.194 -0.609  0.639 3
0096 pf 10 -0.065 -1.090  1.092 2
0120 em 00  0.160 -0.770  0.787 3
0120 cf 00  0.081 -0.923  0.926 3
0120 pf 01  0.047 -1.092  1.093 3
0120 pf 02  0.098 -0.396  0.408 3
0120 pf 03  0.300 -0.844  0.896 3
0120 pf 04  0.237 -0.702  0.741 3
0120 pf 05 -0.031 -0.883  0.884 2
0120 pf 06  0.337 -0.652  0.734 3
0120 pf 07  0.339 -0.702  0.779 3
0120 pf 08  0.106 -0.702  0.709 3
0120 pf 09  0.152 -0.440  0.466 3
0120 pf 10  0.050 -1.011  1.012 3
0144 em 00  0.355 -0.526  0.634 3
0144 cf 00  0.383 -0.696  0.794 3
0144 pf 01  0.314 -0.938  0.989 3
0144 pf 02  0.060 -0.220  0.228 3
0144 pf 03  0.452 -0.421  0.618 4
0144 pf 04  0.435 -0.308  0.533 4
0144 pf 05  0.111 -0.722  0.731 3
0144 pf 06  0.514 -0.376  0.637 4
0144 pf 07  0.402 -0.525  0.661 3
0144 pf 08  0.442 -0.550  0.706 3
0144 pf 09  0.334 -0.033  0.336 4
0144 pf 10  0.401 -0.895  0.980 3
0168 em 00  0.702 -0.240  0.742 4
0168 cf 00  0.799 -0.309  0.857 4
0168 pf 01  0.700 -0.819  1.077 3
0168 pf 02  0.441 -0.010  0.441 4
0168 pf 03  0.761 -0.092  0.767 4
0168 pf 04  0.686 -0.112  0.695 4
0168 pf 05  0.476 -0.265  0.545 4
0168 pf 06  0.776 -0.280  0.825 4
0168 pf 07  0.705 -0.115  0.714 4
0168 pf 08  1.040 -0.254  1.071 4
0168 pf 09  0.511  0.278  0.582 5
0168 pf 10  0.760 -0.590  0.962 4
0192 em 00  0.888 -0.007  0.888 4
0192 cf 00  0.820 -0.108  0.827 4
0192 pf 01  1.071 -0.560  1.208 4
0192 pf 02  0.707  0.353  0.790 5
0192 pf 03  0.978  0.256  1.011 5
0192 pf 04  0.938  0.250  0.971 5
0192 pf 05  0.519  0.119  0.533 5
0192 pf 06  0.949 -0.226  0.976 4
0192 pf 07  0.904 -0.013  0.904 4
0192 pf 08  1.345 -0.119  1.350 4
0192 pf 09  0.578  0.393  0.699 5
0192 pf 10  0.881 -0.399  0.967 4
0216 em 00  0.869  0.052  0.871 5
0216 cf 00  0.832 -0.074  0.836 4
0216 pf 01  1.100 -0.313  1.143 4
0216 pf 02  0.882  0.466  0.997 5
0216 pf 03  0.771  0.218  0.802 5
0216 pf 04  0.799  0.242  0.835 5
0216 pf 05  0.443  0.021  0.443 5
0216 pf 06  1.000  0.031  1.000 5
