ecmf prod rf 1997052500 20170525 11 046
0024 em 00 -0.186  2.752  2.758 7
0024 cf 00 -0.261  2.768  2.780 7
0024 pf 01 -0.221  2.679  2.688 7
0024 pf 02 -0.197  2.713  2.720 7
0024 pf 03 -0.175  2.688  2.694 7
0024 pf 04 -0.131  2.786  2.789 7
0024 pf 05 -0.166  2.758  2.763 7
0024 pf 06 -0.175  2.708  2.714 7
0024 pf 07 -0.192  2.722  2.729 7
0024 pf 08 -0.184  2.657  2.663 7
0024 pf 09 -0.161  2.790  2.795 7
0024 pf 10 -0.092  2.776  2.777 7
0048 em 00 -0.223  2.877  2.886 7
0048 cf 00 -0.239  2.868  2.878 7
0048 pf 01 -0.215  2.680  2.689 7
0048 pf 02 -0.287  2.801  2.816 7
0048 pf 03 -0.166  2.798  2.803 7
0048 pf 04 -0.152  2.977  2.981 7
0048 pf 05 -0.251  2.927  2.938 7
0048 pf 06 -0.227  2.806  2.815 7
0048 pf 07 -0.244  2.877  2.887 7
0048 pf 08 -0.221  2.865  2.874 7
0048 pf 09 -0.239  2.887  2.897 7
0048 pf 10 -0.142  2.914  2.917 7
0072 em 00 -0.362  2.844  2.867 7
0072 cf 00 -0.400  2.837  2.865 7
0072 pf 01 -0.199  2.542  2.549 7
0072 pf 02 -0.390  2.691  2.720 7
0072 pf 03 -0.382  2.783  2.810 7
0072 pf 04 -0.221  3.017  3.025 7
0072 pf 05 -0.335  2.988  3.007 7
0072 pf 06 -0.525  2.824  2.872 7
0072 pf 07 -0.451  2.742  2.779 7
0072 pf 08 -0.324  2.953  2.971 7
0072 pf 09 -0.413  2.748  2.779 7
0072 pf 10 -0.255  2.910  2.921 7
0096 em 00 -0.437  2.609  2.646 7
0096 cf 00 -0.463  2.497  2.540 7
0096 pf 01 -0.214  2.357  2.367 7
0096 pf 02 -0.346  2.607  2.629 7
0096 pf 03 -0.511  2.523  2.574 7
0096 pf 04 -0.287  2.814  2.829 7
0096 pf 05 -0.387  2.769  2.796 7
0096 pf 06 -0.572  2.520  2.584 7
0096 pf 07 -0.647  2.451  2.535 7
0096 pf 08 -0.711  2.689  2.781 7
0096 pf 09 -0.422  2.499  2.534 7
0096 pf 10 -0.126  2.722  2.725 7
0120 em 00 -0.387  2.376  2.407 7
0120 cf 00 -0.328  2.271  2.295 7
0120 pf 01 -0.380  2.027  2.063 7
0120 pf 02 -0.294  2.336  2.355 7
0120 pf 03 -0.422  2.069  2.112 7
0120 pf 04 -0.200  2.683  2.691 7
0120 pf 05 -0.515  2.616  2.666 7
0120 pf 06 -0.536  2.324  2.385 7
0120 pf 07 -0.482  2.288  2.338 7
0120 pf 08 -0.587  2.506  2.574 7
0120 pf 09 -0.245  2.111  2.126 7
0120 pf 10 -0.194  2.639  2.647 7
0144 em 00 -0.509  2.314  2.369 7
0144 cf 00 -0.436  2.186  2.229 7
0144 pf 01 -0.399  1.900  1.941 7
0144 pf 02 -0.550  2.374  2.437 7
0144 pf 03 -0.480  2.150  2.203 7
0144 pf 04 -0.422  2.590  2.624 7
0144 pf 05 -0.498  2.495  2.544 7
0144 pf 06 -0.487  2.111  2.166 7
0144 pf 07 -0.754  2.101  2.233 7
0144 pf 08 -0.703  2.262  2.369 7
0144 pf 09 -0.349  2.248  2.274 7
0144 pf 10 -0.443  2.764  2.800 7
0168 em 00 -0.596  2.217  2.295 7
0168 cf 00 -0.485  2.020  2.077 7
0168 pf 01 -0.636  1.886  1.990 7
0168 pf 02 -0.704  2.467  2.565 7
0168 pf 03 -0.398  2.120  2.157 7
0168 pf 04 -0.489  2.406  2.455 7
0168 pf 05 -0.541  2.344  2.405 7
0168 pf 06 -0.621  1.940  2.037 7
0168 pf 07 -0.780  2.003  2.149 7
0168 pf 08 -0.738  2.128  2.252 7
0168 pf 09 -0.290  2.134  2.154 7
0168 pf 10 -0.783  2.650  2.763 7
0192 em 00 -0.583  1.974  2.059 7
0192 cf 00 -0.472  1.700  1.764 7
0192 pf 01 -0.555  1.900  1.979 7
0192 pf 02 -0.616  2.063  2.152 7
0192 pf 03 -0.152  1.831  1.838 7
0192 pf 04 -0.765  2.299  2.423 7
0192 pf 05 -0.380  1.995  2.031 7
0192 pf 06 -0.625  1.542  1.664 7
0192 pf 07 -0.672  1.934  2.048 7
0192 pf 08 -0.622  1.953  2.049 7
0192 pf 09 -0.427  2.118  2.160 7
0192 pf 10 -1.042  2.059  2.307 7
0216 em 00 -0.675  1.862  1.981 7
0216 cf 00 -0.559  1.518  1.618 7
0216 pf 01 -0.635  1.815  1.923 7
0216 pf 02 -0.827  1.778  1.961 7
0216 pf 03 -0.206  1.732  1.745 7
0216 pf 04 -0.781  2.234  2.366 7
0216 pf 05 -0.551  1.889  1.967 7
0216 pf 06 -0.450  1.418  1.488 7
0216 pf 07 -0.901  2.046  2.236 7
0216 pf 08 -0.711  1.851  1.983 7
0216 pf 09 -0.399  2.052  2.090 7
0216 pf 10 -1.324  1.794  2.230 7
0240 em 00 -0.881  1.681  1.898 7
0240 cf 00 -0.525  1.439  1.531 7
0240 pf 01 -0.815  1.621  1.814 7
0240 pf 02 -1.257  1.220  1.752 8
0240 pf 03 -0.401  1.666  1.713 7
