ecmf prod rf 1998052500 20170525 11 046
0024 em 00  2.492  1.109  2.728 5
0024 cf 00  2.393  1.124  2.643 5
0024 pf 01  2.511  1.077  2.732 5
0024 pf 02  2.391  1.070  2.619 5
0024 pf 03  2.456  1.093  2.688 5
0024 pf 04  2.613  1.171  2.864 5
0024 pf 05  2.465  1.108  2.703 5
0024 pf 06  2.494  1.091  2.722 5
0024 pf 07  2.609  1.157  2.854 5
0024 pf 08  2.337  1.174  2.616 5
0024 pf 09  2.438  1.134  2.689 5
0024 pf 10  2.460  1.116  2.701 5
0048 em 00  2.159  1.201  2.471 5
0048 cf 00  2.173  1.196  2.480 5
0048 pf 01  2.174  1.172  2.469 5
0048 pf 02  2.133  1.114  2.406 5
0048 pf 03  2.103  1.219  2.431 5
0048 pf 04  2.106  1.200  2.424 5
0048 pf 05  2.099  1.133  2.385 5
0048 pf 06  2.184  1.190  2.487 5
0048 pf 07  2.280  1.333  2.641 5
0048 pf 08  1.969  1.347  2.386 5
0048 pf 09  2.132  1.339  2.517 5
0048 pf 10  2.136  1.071  2.390 5
0072 em 00  1.986  1.296  2.372 5
0072 cf 00  1.985  1.266  2.355 5
0072 pf 01  2.163  1.298  2.523 5
0072 pf 02  1.997  1.265  2.364 5
0072 pf 03  1.983  1.229  2.333 5
0072 pf 04  1.984  1.293  2.368 5
0072 pf 05  1.930  1.165  2.255 5
0072 pf 06  2.000  1.278  2.374 5
0072 pf 07  2.002  1.520  2.513 5
0072 pf 08  1.661  1.319  2.121 5
0072 pf 09  1.752  1.495  2.304 5
0072 pf 10  2.102  1.198  2.420 5
0096 em 00  1.986  1.236  2.340 5
0096 cf 00  2.003  1.169  2.319 5
0096 pf 01  2.210  1.211  2.520 5
0096 pf 02  1.960  1.135  2.266 5
0096 pf 03  1.940  1.207  2.285 5
0096 pf 04  2.003  1.228  2.349 5
0096 pf 05  1.796  1.095  2.103 5
0096 pf 06  1.848  1.128  2.165 5
0096 pf 07  2.147  1.562  2.655 5
0096 pf 08  1.879  1.201  2.230 5
0096 pf 09  1.653  1.419  2.178 5
0096 pf 10  2.100  1.279  2.458 5
0120 em 00  2.083  1.102  2.357 5
0120 cf 00  2.068  1.062  2.325 5
0120 pf 01  2.151  1.099  2.415 5
0120 pf 02  2.051  1.041  2.300 5
0120 pf 03  2.116  1.044  2.360 5
0120 pf 04  2.032  1.051  2.288 5
0120 pf 05  2.098  0.951  2.303 5
0120 pf 06  2.081  1.130  2.368 5
0120 pf 07  2.032  1.321  2.424 5
0120 pf 08  2.176  1.102  2.439 5
0120 pf 09  1.785  1.220  2.162 5
0120 pf 10  1.995  1.105  2.280 5
0144 em 00  1.782  0.843  1.972 5
0144 cf 00  1.832  0.809  2.003 5
0144 pf 01  1.850  0.856  2.038 5
0144 pf 02  1.884  0.743  2.025 5
0144 pf 03  1.708  0.828  1.898 5
0144 pf 04  1.666  0.678  1.798 5
0144 pf 05  1.861  0.771  2.015 5
0144 pf 06  1.834  0.964  2.072 5
0144 pf 07  1.808  0.988  2.061 5
0144 pf 08  1.753  0.973  2.005 5
0144 pf 09  1.614  0.884  1.840 5
0144 pf 10  1.477  0.791  1.675 5
0168 em 00  1.568  0.764  1.744 5
0168 cf 00  1.743  0.757  1.901 5
0168 pf 01  1.653  0.676  1.786 5
0168 pf 02  1.749  0.711  1.888 5
0168 pf 03  1.622  0.720  1.775 5
0168 pf 04  1.428  0.680  1.582 5
0168 pf 05  1.724  1.018  2.003 5
0168 pf 06  1.468  0.841  1.692 5
0168 pf 07  1.642  0.812  1.831 5
0168 pf 08  1.484  0.974  1.775 5
0168 pf 09  1.359  0.712  1.534 5
0168 pf 10  1.063  0.483  1.168 5
0192 em 00  1.699  0.729  1.849 5
0192 cf 00  1.819  0.800  1.987 5
0192 pf 01  1.912  0.686  2.032 5
0192 pf 02  1.865  0.544  1.943 5
0192 pf 03  1.995  0.766  2.137 5
0192 pf 04  1.707  0.663  1.831 5
0192 pf 05  1.678  1.065  1.987 5
0192 pf 06  1.448  0.663  1.592 5
0192 pf 07  1.720  0.730  1.868 5
0192 pf 08  1.387  0.973  1.694 5
0192 pf 09  1.561  0.665  1.696 5
0192 pf 10  1.265  0.442  1.340 5
0216 em 00  1.529  0.627  1.653 5
0216 cf 00  1.745  0.693  1.878 5
0216 pf 01  1.786  0.639  1.897 5
0216 pf 02  1.761  0.331  1.792 5
0216 pf 03  1.769  0.727  1.912 5
0216 pf 04  1.650  0.660  1.777 5
0216 pf 05  1.337  1.035  1.691 5
0216 pf 06  1.229  0.619  1.376 5
0216 pf 07  1.397  0.545  1.500 5
0216 pf 08  1.027  0.905  1.368 5
0216 pf 09  1.463  0.457  1.533 5
0216 pf 10  1.340  0.254  1.364 5
0240 em 00  1.489  0.428  1.550 5
0240 cf 00  1.632  0.464  1.697 5
0240 pf 01  1.815  0.532  1.892 5
0240 pf 02  1.651  0.334  1.685 5
0240 pf 03  1.590  0.697  1.736 5
0240 pf 04  1.539  0.621  1.659 5
0240 pf 05  1.157  0.662  1.333 5
0240 pf 06  1.058  0.332  1.109 5
0240 pf 07  1.670  0.354  1.708 5
0240 pf 08  1.024  0.471  1.127 5
