ecmf prod rf 2005031200 20180312 11 046
0024 em 00 -0.361  0.463  0.587 7
0024 cf 00 -0.410  0.517  0.660 7
0024 pf 01 -0.272  0.467  0.540 7
0024 pf 02 -0.325  0.277  0.428 8
0024 pf 03 -0.403  0.331  0.521 8
0024 pf 04 -0.249  0.416  0.485 7
0024 pf 05 -0.485  0.499  0.696 7
0024 pf 06 -0.307  0.504  0.590 7
0024 pf 07 -0.359  0.465  0.587 7
0024 pf 08 -0.400  0.465  0.613 7
0024 pf 09 -0.370  0.588  0.694 7
0024 pf 10 -0.380  0.538  0.659 7
0048 em 00 -0.342  0.063  0.348 8
0048 cf 00 -0.310  0.018  0.311 8
0048 pf 01 -0.328 -0.070  0.336 1
0048 pf 02 -0.191  0.018  0.192 8
0048 pf 03 -0.279  0.268  0.387 8
0048 pf 04 -0.185 -0.156  0.242 1
0048 pf 05 -0.636  0.027  0.637 8
0048 pf 06 -0.193  0.104  0.219 8
0048 pf 07 -0.503  0.110  0.515 8
0048 pf 08 -0.261  0.171  0.312 8
0048 pf 09 -0.517  0.003  0.517 8
0048 pf 10 -0.366  0.227  0.431 8
0072 em 00 -0.478 -0.027  0.479 1
0072 cf 00 -0.523 -0.048  0.525 1
0072 pf 01 -0.363 -0.034  0.364 1
0072 pf 02 -0.325 -0.089  0.337 1
0072 pf 03 -0.457  0.209  0.503 8
0072 pf 04 -0.177 -0.108  0.207 1
0072 pf 05 -0.729 -0.220  0.761 1
0072 pf 06 -0.343  0.012  0.343 8
0072 pf 07 -0.672  0.031  0.672 8
0072 pf 08 -0.582  0.027  0.583 8
0072 pf 09 -0.576 -0.061  0.579 1
0072 pf 10 -0.508  0.018  0.509 8
0096 em 00 -0.896 -0.158  0.910 1
0096 cf 00 -0.930 -0.191  0.950 1
0096 pf 01 -0.851 -0.124  0.860 1
0096 pf 02 -0.779 -0.099  0.785 1
0096 pf 03 -0.926 -0.023  0.926 1
0096 pf 04 -0.419 -0.285  0.506 1
0096 pf 05 -1.077 -0.389  1.146 1
0096 pf 06 -0.795 -0.042  0.796 1
0096 pf 07 -1.247 -0.162  1.258 1
0096 pf 08 -0.831 -0.080  0.835 1
0096 pf 09 -1.103 -0.245  1.130 1
0096 pf 10 -0.838 -0.062  0.840 1
0120 em 00 -0.996 -0.144  1.007 1
0120 cf 00 -1.056 -0.148  1.066 1
0120 pf 01 -0.972  0.030  0.973 8
0120 pf 02 -0.785 -0.221  0.816 1
0120 pf 03 -1.310  0.075  1.312 8
0120 pf 04 -0.449 -0.140  0.470 1
0120 pf 05 -1.117 -0.329  1.165 1
0120 pf 06 -0.844 -0.119  0.852 1
0120 pf 07 -1.334 -0.163  1.344 1
0120 pf 08 -1.028 -0.152  1.039 1
0120 pf 09 -1.221 -0.436  1.297 1
0120 pf 10 -0.747  0.028  0.748 8
0144 em 00 -0.618 -0.406  0.739 1
0144 cf 00 -0.705 -0.405  0.813 1
0144 pf 01 -0.648 -0.316  0.721 1
0144 pf 02 -0.513 -0.496  0.713 1
0144 pf 03 -0.836 -0.160  0.851 1
0144 pf 04 -0.055 -0.278  0.284 2
0144 pf 05 -0.690 -0.593  0.909 1
0144 pf 06 -0.268 -0.330  0.425 2
0144 pf 07 -0.917 -0.524  1.056 1
0144 pf 08 -0.710 -0.411  0.820 1
0144 pf 09 -0.953 -0.845  1.274 1
0144 pf 10 -0.431 -0.102  0.443 1
0168 em 00 -0.486 -0.728  0.876 2
0168 cf 00 -0.573 -0.810  0.992 2
0168 pf 01 -0.247 -0.707  0.749 2
0168 pf 02 -0.510 -0.869  1.007 2
0168 pf 03 -0.618 -0.594  0.857 1
0168 pf 04 -0.088 -0.533  0.541 2
0168 pf 05 -0.658 -0.701  0.961 2
0168 pf 06 -0.187 -0.385  0.428 2
0168 pf 07 -0.904 -1.004  1.351 2
0168 pf 08 -0.501 -0.654  0.824 2
0168 pf 09 -0.683 -1.204  1.384 2
0168 pf 10 -0.316 -0.507  0.597 2
0192 em 00 -0.384 -0.852  0.934 2
0192 cf 00 -0.501 -0.971  1.093 2
0192 pf 01  0.080 -0.892  0.896 3
0192 pf 02 -0.339 -0.790  0.860 2
0192 pf 03 -0.552 -0.897  1.053 2
0192 pf 04 -0.110 -0.910  0.917 2
0192 pf 05 -0.642 -1.019  1.204 2
0192 pf 06 -0.233 -0.619  0.661 2
0192 pf 07 -0.989 -1.155  1.520 2
0192 pf 08 -0.212 -0.509  0.551 2
0192 pf 09 -0.426 -0.942  1.034 2
0192 pf 10 -0.256 -0.616  0.667 2
0216 em 00 -0.215 -0.919  0.944 2
0216 cf 00 -0.322 -1.061  1.109 2
0216 pf 01  0.092 -0.685  0.691 3
0216 pf 02  0.058 -0.915  0.916 3
0216 pf 03 -0.520 -1.103  1.219 2
0216 pf 04 -0.005 -1.082  1.082 2
0216 pf 05 -0.263 -0.984  1.018 2
0216 pf 06 -0.285 -0.680  0.737 2
0216 pf 07 -0.948 -1.231  1.553 2
0216 pf 08 -0.165 -0.577  0.600 2
0216 pf 09  0.102 -0.853  0.859 3
0216 pf 10 -0.112 -0.897  0.904 2
0240 em 00  0.165 -1.000  1.014 3
0240 cf 00  0.197 -1.100  1.117 3
0240 pf 01  0.392 -0.794  0.885 3
