ecmf prod rf 2022072000 20230720 11 046
0024 em 00 -1.187  0.400  1.253 8
0024 cf 00 -1.171  0.408  1.241 8
0024 pf 01 -1.226  0.358  1.278 8
0024 pf 02 -1.000  0.610  1.171 8
0024 pf 03 -1.108  0.325  1.155 8
0024 pf 04 -1.280  0.358  1.329 8
0024 pf 05 -1.134  0.397  1.202 8
0024 pf 06 -1.255  0.351  1.303 8
0024 pf 07 -1.178  0.449  1.260 8
0024 pf 08 -1.178  0.321  1.221 8
0024 pf 09 -1.209  0.362  1.262 8
0024 pf 10 -1.086  0.358  1.144 8
0048 em 00 -1.535  0.132  1.541 8
0048 cf 00 -1.563  0.178  1.573 8
0048 pf 01 -1.709  0.182  1.719 8
0048 pf 02 -1.258  0.296  1.292 8
0048 pf 03 -1.444  0.089  1.447 8
0048 pf 04 -1.537  0.015  1.537 8
0048 pf 05 -1.494 -0.008  1.494 1
0048 pf 06 -1.848  0.031  1.849 8
0048 pf 07 -1.375  0.253  1.398 8
0048 pf 08 -1.506  0.053  1.507 8
0048 pf 09 -1.499  0.091  1.501 8
0048 pf 10 -1.392  0.214  1.408 8
0072 em 00 -1.491 -0.130  1.496 1
0072 cf 00 -1.572  0.014  1.572 8
0072 pf 01 -1.604 -0.031  1.605 1
0072 pf 02 -1.160  0.165  1.171 8
0072 pf 03 -1.460 -0.048  1.461 1
0072 pf 04 -1.209 -0.441  1.287 1
0072 pf 05 -1.605 -0.255  1.625 1
0072 pf 06 -1.906 -0.478  1.965 1
0072 pf 07 -1.308  0.150  1.317 8
0072 pf 08 -1.386 -0.165  1.396 1
0072 pf 09 -1.519 -0.502  1.600 1
0072 pf 10 -1.406  0.139  1.413 8
0096 em 00 -1.225 -0.524  1.332 1
0096 cf 00 -1.423 -0.450  1.493 1
0096 pf 01 -1.533 -0.253  1.554 1
0096 pf 02 -0.862  0.044  0.863 8
0096 pf 03 -1.143 -0.491  1.244 1
0096 pf 04 -0.959 -0.920  1.329 1
0096 pf 05 -1.276 -0.751  1.481 1
0096 pf 06 -1.713 -0.925  1.947 1
0096 pf 07 -0.929 -0.189  0.948 1
0096 pf 08 -0.982 -0.422  1.069 1
0096 pf 09 -1.150 -0.998  1.523 1
0096 pf 10 -1.285 -0.382  1.341 1
0120 em 00 -1.079 -0.641  1.255 1
0120 cf 00 -1.292 -0.569  1.412 1
0120 pf 01 -1.465 -0.472  1.539 1
0120 pf 02 -0.795  0.175  0.814 8
0120 pf 03 -1.146 -0.564  1.277 1
0120 pf 04 -0.694 -1.031  1.243 2
0120 pf 05 -1.027 -0.857  1.338 1
0120 pf 06 -1.724 -1.115  2.053 1
0120 pf 07 -0.634 -0.012  0.634 1
0120 pf 08 -0.778 -0.516  0.934 1
0120 pf 09 -0.947 -1.357  1.655 2
0120 pf 10 -1.200 -0.660  1.370 1
0144 em 00 -0.860 -0.737  1.132 1
0144 cf 00 -1.111 -0.651  1.288 1
0144 pf 01 -1.291 -0.673  1.456 1
0144 pf 02 -0.689  0.192  0.715 8
0144 pf 03 -0.903 -0.568  1.067 1
