ecmf prod rf 2009092500 20170925 11 046
0024 em 00  1.224  0.479  1.314 5
0024 cf 00  1.185  0.526  1.296 5
0024 pf 01  1.208  0.466  1.295 5
0024 pf 02  1.225  0.532  1.335 5
0024 pf 03  1.159  0.259  1.188 5
0024 pf 04  1.199  0.512  1.304 5
0024 pf 05  1.087  0.449  1.176 5
0024 pf 06  1.346  0.345  1.389 5
0024 pf 07  1.335  0.551  1.444 5
0024 pf 08  1.128  0.561  1.260 5
0024 pf 09  1.249  0.538  1.360 5
0024 pf 10  1.257  0.488  1.348 5
0048 em 00  1.097  0.576  1.239 5
0048 cf 00  1.111  0.564  1.246 5
0048 pf 01  1.107  0.683  1.301 5
0048 pf 02  1.017  0.544  1.154 5
0048 pf 03  1.090  0.502  1.200 5
0048 pf 04  1.032  0.630  1.209 5
0048 pf 05  0.996  0.458  1.096 5
0048 pf 06  1.248  0.394  1.308 5
0048 pf 07  1.338  0.608  1.470 5
0048 pf 08  0.967  0.627  1.153 5
0048 pf 09  1.075  0.676  1.270 5
0048 pf 10  1.026  0.584  1.180 5
0072 em 00  1.063  0.570  1.206 5
0072 cf 00  1.032  0.612  1.200 5
0072 pf 01  0.814  0.799  1.140 5
0072 pf 02  0.983  0.415  1.067 5
0072 pf 03  1.046  0.527  1.171 5
0072 pf 04  0.967  0.551  1.114 5
0072 pf 05  0.944  0.363  1.011 5
0072 pf 06  1.241  0.619  1.386 5
0072 pf 07  1.557  0.625  1.678 5
0072 pf 08  1.083  0.549  1.215 5
0072 pf 09  1.020  0.672  1.221 5
0072 pf 10  0.975  0.472  1.084 5
0096 em 00  1.061  0.436  1.147 5
0096 cf 00  1.012  0.523  1.139 5
0096 pf 01  0.737  0.411  0.843 5
0096 pf 02  1.009  0.250  1.040 5
0096 pf 03  0.971  0.404  1.051 5
0096 pf 04  1.021  0.362  1.083 5
0096 pf 05  1.122  0.155  1.132 5
0096 pf 06  1.193  0.590  1.331 5
0096 pf 07  1.392  0.564  1.502 5
0096 pf 08  1.118  0.568  1.254 5
0096 pf 09  0.986  0.444  1.082 5
0096 pf 10  1.095  0.485  1.198 5
0120 em 00  0.948  0.233  0.976 5
0120 cf 00  0.936  0.294  0.981 5
0120 pf 01  0.926  0.182  0.943 5
0120 pf 02  0.988  0.001  0.988 5
0120 pf 03  0.847  0.293  0.896 5
0120 pf 04  0.783  0.127  0.793 5
0120 pf 05  1.091  0.124  1.098 5
0120 pf 06  0.866  0.346  0.933 5
0120 pf 07  1.225  0.509  1.327 5
0120 pf 08  1.062  0.329  1.112 5
0120 pf 09  0.779  0.145  0.793 5
0120 pf 10  0.943  0.199  0.964 5
0144 em 00  0.684 -0.134  0.697 4
0144 cf 00  0.739 -0.171  0.759 4
0144 pf 01  0.811 -0.140  0.823 4
0144 pf 02  0.619 -0.472  0.778 4
0144 pf 03  0.753 -0.257  0.796 4
0144 pf 04  0.485 -0.185  0.519 4
0144 pf 05  0.762 -0.187  0.784 4
0144 pf 06  0.560 -0.085  0.566 4
0144 pf 07  0.762  0.219  0.793 5
0144 pf 08  0.979  0.097  0.984 5
0144 pf 09  0.302 -0.136  0.331 4
0144 pf 10  0.795 -0.105  0.802 4
0168 em 00  0.452 -0.530  0.697 3
0168 cf 00  0.356 -0.726  0.809 3
0168 pf 01  0.727 -0.411  0.835 4
0168 pf 02  0.307 -0.891  0.942 3
0168 pf 03  0.379 -0.548  0.667 3
0168 pf 04  0.303 -0.635  0.703 3
0168 pf 05  0.563 -0.569  0.800 3
0168 pf 06  0.337 -0.306  0.455 4
0168 pf 07  0.633 -0.110  0.643 4
0168 pf 08  0.705 -0.402  0.812 4
0168 pf 09  0.095 -0.501  0.510 3
0168 pf 10  0.633 -0.623  0.889 4
0192 em 00  0.387 -0.738  0.833 3
0192 cf 00  0.174 -1.043  1.057 3
0192 pf 01  0.613 -0.640  0.886 3
0192 pf 02  0.149 -0.998  1.009 3
0192 pf 03  0.553 -0.752  0.934 3
0192 pf 04  0.368 -0.942  1.011 3
0192 pf 05  0.528 -0.613  0.809 3
0192 pf 06  0.152 -0.335  0.367 3
0192 pf 07  0.824 -0.316  0.882 4
0192 pf 08  0.634 -0.569  0.852 4
0192 pf 09  0.091 -0.824  0.829 3
0192 pf 10  0.238 -0.940  0.969 3
0216 em 00  0.383 -0.727  0.821 3
0216 cf 00  0.275 -1.140  1.173 3
0216 pf 01  0.589 -0.736  0.942 3
0216 pf 02  0.322 -0.588  0.670 3
0216 pf 03  0.713 -0.742  1.029 3
0216 pf 04  0.356 -0.928  0.994 3
0216 pf 05  0.388 -0.791  0.881 3
0216 pf 06  0.186 -0.303  0.356 3
0216 pf 07  0.796 -0.255  0.836 4
0216 pf 08  0.651 -0.601  0.886 4
0216 pf 09 -0.131 -0.816  0.826 2
0216 pf 10  0.114 -0.931  0.938 3
0240 em 00  0.289 -0.680  0.739 3
0240 cf 00  0.209 -1.212  1.230 3
0240 pf 01  0.364 -0.718  0.805 3
0240 pf 02  0.387 -0.633  0.742 3
0240 pf 03  0.572 -0.378  0.685 4
0240 pf 04  0.370 -0.516  0.635 3
0240 pf 05  0.413 -0.933  1.020 3
0240 pf 06 -0.073 -0.428  0.434 2
0240 pf 07  0.760 -0.180  0.781 4
0240 pf 08  0.501 -0.506  0.712 3
0240 pf 09 -0.404 -0.719  0.824 2
0240 pf 10  0.130 -1.089  1.096 3
0264 em 00  0.232 -0.645  0.686 3
0264 cf 00  0.213 -1.152  1.172 3
0264 pf 01  0.109 -0.558  0.568 3
0264 pf 02  0.381 -0.425  0.571 3
0264 pf 03  0.263 -0.150  0.303 4
0264 pf 04  0.427 -0.751  0.864 3
0264 pf 05  0.462 -0.831  0.951 3
0264 pf 06  0.099 -0.402  0.414 3
0264 pf 07  0.623 -0.399  0.740 4
0264 pf 08  0.308 -0.293  0.425 4
0264 pf 09 -0.553 -0.537  0.771 1
0264 pf 10  0.265 -1.409  1.433 3
0288 em 00  0.225 -0.600  0.641 3
0288 cf 00  0.190 -1.099  1.116 3
0288 pf 01 -0.087 -0.515  0.523 2
0288 pf 02  0.428 -0.473  0.638 3
0288 pf 03  0.105  0.121  0.160 6
0288 pf 04  0.127 -0.882  0.891 3
0288 pf 05  0.391 -0.806  0.896 3
0288 pf 06  0.330 -0.396  0.516 3
0288 pf 07  0.545 -0.504  0.742 4
0288 pf 08  0.474 -0.058  0.478 4
0288 pf 09 -0.554 -0.554  0.784 2
0288 pf 10  0.543 -1.230  1.345 3
0312 em 00  0.182 -0.517  0.549 3
0312 cf 00  0.376 -0.784  0.870 3
0312 pf 01 -0.056 -0.469  0.473 2
0312 pf 02  0.319 -0.476  0.573 3
0312 pf 03 -0.149  0.178  0.232 7
0312 pf 04  0.081 -0.866  0.870 3
0312 pf 05  0.274 -0.723  0.773 3
0312 pf 06  0.083 -0.484  0.491 3
0312 pf 07  0.420 -0.451  0.616 3
0312 pf 08  0.332  0.120  0.353 5
0312 pf 09 -0.405 -0.296  0.502 1
0312 pf 10  0.717 -1.228  1.422 3
0336 em 00  0.073 -0.437  0.444 3
0336 cf 00  0.495 -0.598  0.776 3
0336 pf 01  0.118 -0.361  0.380 3
0336 pf 02  0.123 -0.563  0.576 3
0336 pf 03 -0.396  0.367  0.540 8
0336 pf 04 -0.030 -0.906  0.907 2
0336 pf 05  0.232 -0.716  0.753 3
0336 pf 06 -0.589 -0.317  0.669 1
