ecmf prod rf 2018010400 20210104 11 046
0024 em 00 -0.684 -1.482  1.632 2
0024 cf 00 -0.701 -1.504  1.659 2
0024 pf 01 -0.789 -1.487  1.683 2
0024 pf 02 -0.540 -1.410  1.510 2
0024 pf 03 -0.692 -1.544  1.692 2
0024 pf 04 -0.699 -1.461  1.620 2
0024 pf 05 -0.638 -1.385  1.525 2
0024 pf 06 -0.674 -1.477  1.624 2
0024 pf 07 -0.724 -1.513  1.677 2
0024 pf 08 -0.529 -1.441  1.535 2
0024 pf 09 -0.692 -1.551  1.698 2
0024 pf 10 -0.778 -1.440  1.637 2
0048 em 00 -0.751 -1.846  1.993 2
0048 cf 00 -0.781 -1.896  2.050 2
0048 pf 01 -0.813 -1.807  1.982 2
0048 pf 02 -0.501 -1.694  1.767 2
0048 pf 03 -0.791 -1.783  1.951 2
0048 pf 04 -0.616 -1.688  1.797 2
0048 pf 05 -0.833 -1.777  1.962 2
0048 pf 06 -0.748 -1.875  2.018 2
0048 pf 07 -0.735 -2.117  2.241 2
0048 pf 08 -0.646 -1.719  1.837 2
0048 pf 09 -0.794 -1.951  2.107 2
0048 pf 10 -0.974 -1.883  2.120 2
0072 em 00 -0.574 -1.965  2.047 2
0072 cf 00 -0.591 -2.068  2.150 2
0072 pf 01 -0.778 -1.842  2.000 2
0072 pf 02 -0.308 -1.752  1.779 2
0072 pf 03 -0.595 -1.891  1.982 2
0072 pf 04 -0.342 -1.810  1.842 2
0072 pf 05 -0.731 -1.871  2.009 2
0072 pf 06 -0.777 -1.975  2.122 2
0072 pf 07 -0.299 -2.324  2.343 2
0072 pf 08 -0.606 -1.700  1.805 2
0072 pf 09 -0.538 -2.096  2.164 2
0072 pf 10 -0.767 -2.154  2.287 2
0096 em 00 -0.363 -1.954  1.987 2
0096 cf 00 -0.332 -2.117  2.143 2
0096 pf 01 -0.528 -1.796  1.872 2
0096 pf 02 -0.105 -1.802  1.805 2
0096 pf 03 -0.353 -1.665  1.702 2
0096 pf 04 -0.245 -1.875  1.891 2
0096 pf 05 -0.488 -1.828  1.892 2
0096 pf 06 -0.693 -2.044  2.158 2
0096 pf 07  0.039 -2.333  2.333 3
0096 pf 08 -0.462 -1.662  1.725 2
0096 pf 09 -0.327 -2.025  2.052 2
0096 pf 10 -0.522 -2.201  2.262 2
0120 em 00 -0.210 -1.909  1.920 2
0120 cf 00 -0.015 -2.007  2.007 2
0120 pf 01 -0.580 -1.669  1.767 2
0120 pf 02 -0.082 -1.729  1.731 2
0120 pf 03 -0.223 -1.722  1.736 2
0120 pf 04 -0.073 -1.932  1.933 2
0120 pf 05 -0.426 -1.744  1.795 2
0120 pf 06 -0.530 -2.037  2.105 2
0120 pf 07  0.216 -2.144  2.155 3
0120 pf 08 -0.517 -1.807  1.879 2
0120 pf 09  0.165 -2.021  2.028 3
0120 pf 10 -0.309 -2.068  2.091 2
0144 em 00  0.099 -1.823  1.825 3
0144 cf 00  0.307 -1.897  1.922 3
0144 pf 01 -0.406 -1.662  1.710 2
0144 pf 02  0.356 -1.779  1.814 3
0144 pf 03  0.031 -1.683  1.683 3
0144 pf 04  0.300 -1.664  1.691 3
0144 pf 05 -0.513 -1.544  1.627 2
0144 pf 06 -0.068 -2.171  2.172 2
0144 pf 07  0.704 -1.963  2.086 3
0144 pf 08 -0.474 -1.744  1.808 2
0144 pf 09  0.564 -1.746  1.835 3
0144 pf 10  0.185 -2.088  2.096 3
0168 em 00  0.282 -1.785  1.807 3
0168 cf 00  0.612 -1.805  1.906 3
0168 pf 01 -0.076 -1.856  1.857 2
0168 pf 02  0.377 -1.536  1.581 3
0168 pf 03  0.309 -1.822  1.848 3
0168 pf 04  0.342 -1.409  1.450 3
0168 pf 05 -0.499 -1.445  1.529 2
0168 pf 06  0.201 -2.249  2.258 3
0168 pf 07  0.962 -1.765  2.010 3
0168 pf 08 -0.356 -1.836  1.870 2
0168 pf 09  0.748 -1.655  1.816 3
0168 pf 10  0.353 -2.181  2.209 3
0192 em 00  0.283 -1.746  1.769 3
0192 cf 00  0.539 -1.690  1.774 3
0192 pf 01 -0.071 -2.205  2.206 2
0192 pf 02  0.531 -1.422  1.518 3
0192 pf 03  0.468 -1.793  1.853 3
0192 pf 04  0.329 -1.479  1.515 3
0192 pf 05 -0.476 -1.585  1.655 2
0192 pf 06  0.436 -2.204  2.247 3
0192 pf 07  0.754 -1.476  1.658 3
0192 pf 08 -0.130 -1.803  1.808 2
0192 pf 09  0.483 -1.553  1.626 3
0192 pf 10  0.134 -1.917  1.922 3
0216 em 00  0.336 -1.633  1.667 3
0216 cf 00  0.400 -1.476  1.529 3
0216 pf 01 -0.032 -2.312  2.312 2
0216 pf 02  0.946 -1.337  1.638 3
