ecmf prod rf 2006122800 20201228 11 046
0024 em 00  1.202 -2.071  2.394 3
0024 cf 00  1.188 -2.107  2.419 3
0024 pf 01  1.217 -2.192  2.507 3
0024 pf 02  1.195 -1.835  2.189 3
0024 pf 03  1.112 -2.045  2.328 3
0024 pf 04  1.178 -2.129  2.433 3
0024 pf 05  1.141 -2.040  2.337 3
0024 pf 06  1.219 -2.036  2.373 3
0024 pf 07  1.291 -1.902  2.298 3
0024 pf 08  1.191 -2.188  2.491 3
0024 pf 09  1.201 -2.090  2.410 3
0024 pf 10  1.204 -2.031  2.361 3
0048 em 00  1.404 -1.728  2.226 3
0048 cf 00  1.378 -1.806  2.271 3
0048 pf 01  1.334 -1.823  2.259 3
0048 pf 02  1.426 -1.287  1.921 4
0048 pf 03  1.407 -1.681  2.193 3
0048 pf 04  1.444 -1.847  2.344 3
0048 pf 05  1.313 -1.794  2.223 3
0048 pf 06  1.410 -1.720  2.224 3
0048 pf 07  1.477 -1.583  2.165 3
0048 pf 08  1.239 -1.989  2.344 3
0048 pf 09  1.484 -1.537  2.137 3
0048 pf 10  1.407 -1.775  2.265 3
0072 em 00  1.498 -1.023  1.814 4
0072 cf 00  1.464 -1.044  1.798 4
0072 pf 01  1.350 -1.119  1.753 4
0072 pf 02  1.449 -0.535  1.545 4
0072 pf 03  1.398 -0.906  1.666 4
0072 pf 04  1.543 -1.371  2.064 4
0072 pf 05  1.367 -1.042  1.719 4
0072 pf 06  1.671 -0.909  1.902 4
0072 pf 07  1.592 -0.804  1.784 4
0072 pf 08  1.452 -1.456  2.057 3
0072 pf 09  1.486 -0.842  1.708 4
0072 pf 10  1.561 -1.113  1.917 4
0096 em 00  1.582 -0.709  1.734 4
0096 cf 00  1.585 -0.733  1.746 4
0096 pf 01  1.528 -0.726  1.691 4
0096 pf 02  1.503 -0.388  1.553 4
0096 pf 03  1.219 -0.558  1.341 4
0096 pf 04  1.699 -0.984  1.963 4
0096 pf 05  1.253 -0.898  1.542 4
0096 pf 06  1.748 -0.592  1.845 4
0096 pf 07  1.590 -0.614  1.704 4
0096 pf 08  1.649 -0.929  1.893 4
0096 pf 09  1.777 -0.389  1.819 4
0096 pf 10  1.690 -0.899  1.914 4
0120 em 00  1.870 -0.399  1.912 4
0120 cf 00  1.784 -0.506  1.854 4
0120 pf 01  1.685 -0.472  1.750 4
0120 pf 02  1.841 -0.260  1.859 4
0120 pf 03  1.382 -0.332  1.421 4
0120 pf 04  2.339 -0.512  2.395 4
0120 pf 05  1.471 -0.470  1.544 4
0120 pf 06  2.018 -0.144  2.024 4
0120 pf 07  1.677 -0.325  1.708 4
0120 pf 08  2.048 -0.386  2.084 4
0120 pf 09  1.996 -0.302  2.018 4
0120 pf 10  2.143 -0.585  2.221 4
0144 em 00  2.038 -0.133  2.042 4
0144 cf 00  2.109 -0.240  2.122 4
0144 pf 01  1.664 -0.234  1.680 4
0144 pf 02  1.804  0.095  1.806 5
0144 pf 03  1.474 -0.226  1.491 4
0144 pf 04  2.608 -0.167  2.614 4
0144 pf 05  1.959 -0.231  1.973 4
0144 pf 06  2.147  0.075  2.148 5
0144 pf 07  1.774 -0.295  1.798 4
0144 pf 08  2.185  0.011  2.185 5
0144 pf 09  2.107 -0.131  2.111 4
0144 pf 10  2.351 -0.034  2.351 4
0168 em 00  1.956 -0.052  1.957 4
0168 cf 00  1.972 -0.136  1.977 4
0168 pf 01  1.550  0.004  1.550 5
0168 pf 02  1.447 -0.013  1.447 4
0168 pf 03  1.457 -0.417  1.516 4
0168 pf 04  2.692 -0.072  2.693 4
0168 pf 05  1.907 -0.129  1.911 4
0168 pf 06  2.212  0.142  2.217 5
0168 pf 07  1.774  0.028  1.774 5
0168 pf 08  1.985  0.178  1.993 5
0168 pf 09  2.057  0.116  2.060 5
0168 pf 10  2.248 -0.207  2.257 4
0192 em 00  1.694  0.134  1.699 5
0192 cf 00  1.663 -0.087  1.665 4
0192 pf 01  1.217  0.195  1.233 5
0192 pf 02  1.241  0.114  1.246 5
0192 pf 03  1.298 -0.679  1.465 4
0192 pf 04  2.083  0.199  2.092 5
0192 pf 05  1.668  0.168  1.676 5
0192 pf 06  1.914  0.306  1.938 5
0192 pf 07  1.565  0.412  1.618 5
0192 pf 08  1.679  0.488  1.749 5
0192 pf 09  1.952  0.460  2.006 5
0192 pf 10  2.160 -0.059  2.160 4
0216 em 00  1.365  0.170  1.375 5
0216 cf 00  1.361 -0.158  1.370 4
0216 pf 01  0.774  0.020  0.774 5
0216 pf 02  1.065 -0.031  1.065 4
0216 pf 03  1.481 -0.394  1.533 4
0216 pf 04  1.514  0.460  1.583 5
0216 pf 05  1.200 -0.070  1.202 4
0216 pf 06  1.674  0.410  1.724 5
0216 pf 07  1.364  0.511  1.457 5
0216 pf 08  1.068  0.345  1.122 5
0216 pf 09  1.555  0.631  1.678 5
0216 pf 10  1.787  0.180  1.796 5
0240 em 00  1.170  0.215  1.189 5
0240 cf 00  1.160 -0.378  1.220 4
0240 pf 01  0.730  0.101  0.737 5
0240 pf 02  0.704 -0.251  0.747 4
0240 pf 03  1.578 -0.189  1.589 4
0240 pf 04  1.046  0.665  1.240 5
0240 pf 05  0.986 -0.139  0.996 4
0240 pf 06  1.419  0.492  1.502 5
0240 pf 07  1.352  0.447  1.424 5
0240 pf 08  0.644  0.409  0.763 5
0240 pf 09  1.326  0.675  1.488 5
0240 pf 10  1.753  0.516  1.827 5
0264 em 00  0.980  0.124  0.988 5
0264 cf 00  1.033 -0.384  1.102 4
0264 pf 01  0.507 -0.034  0.508 4
0264 pf 02  0.633 -0.372  0.734 4
0264 pf 03  1.441 -0.107  1.445 4
0264 pf 04  0.764  0.837  1.133 6
0264 pf 05  0.816 -0.608  1.018 4
0264 pf 06  1.180  0.173  1.192 5
0264 pf 07  1.421  0.352  1.464 5
0264 pf 08  0.231  0.542  0.589 6
0264 pf 09  0.881  0.359  0.951 5
0264 pf 10  1.734  0.577  1.827 5
0288 em 00  0.841  0.026  0.841 5
0288 cf 00  1.153 -0.406  1.222 4
0288 pf 01  0.301 -0.319  0.439 3
0288 pf 02  0.650 -0.589  0.877 4
0288 pf 03  1.533 -0.247  1.553 4
0288 pf 04  0.534  1.045  1.174 6
0288 pf 05  0.583 -0.765  0.962 3
0288 pf 06  0.654  0.064  0.657 5
0288 pf 07  1.289  0.224  1.308 5
0288 pf 08  0.351  0.242  0.426 5
0288 pf 09  0.502  0.413  0.650 5
0288 pf 10  1.582  0.574  1.683 5
0312 em 00  0.717 -0.080  0.722 4
0312 cf 00  1.087 -0.472  1.185 4
0312 pf 01  0.301 -0.705  0.767 3
0312 pf 02  0.524 -0.539  0.752 3
0312 pf 03  1.570 -0.242  1.589 4
0312 pf 04  0.316  0.676  0.746 6
0312 pf 05  0.502 -1.037  1.152 3
0312 pf 06  0.493  0.193  0.530 5
0312 pf 07  1.065  0.198  1.083 5
0312 pf 08  0.780  0.174  0.799 5
0312 pf 09  0.004  0.241  0.241 6
0312 pf 10  1.156  0.584  1.295 5
0336 em 00  0.580 -0.114  0.591 4
0336 cf 00  0.783 -0.522  0.941 4
0336 pf 01  0.440 -0.831  0.940 3
0336 pf 02  0.323 -0.615  0.695 3
0336 pf 03  1.423  0.131  1.429 5
0336 pf 04  0.054  0.532  0.534 6
0336 pf 05  0.449 -1.072  1.162 3
0336 pf 06  0.169  0.117  0.205 5
0336 pf 07  1.017  0.269  1.052 5
0336 pf 08  0.929  0.386  1.006 5
0336 pf 09 -0.012 -0.040  0.042 2
0336 pf 10  0.758  0.342  0.831 5
0360 em 00  0.540 -0.296  0.616 4
0360 cf 00  0.555 -0.679  0.877 3
0360 pf 01  0.582 -0.930  1.098 3
0360 pf 02  0.044 -0.868  0.869 3
0360 pf 03  1.053 -0.046  1.054 4
0360 pf 04 -0.062  0.106  0.123 7
0360 pf 05  0.769 -1.301  1.512 3
0360 pf 06  0.321 -0.127  0.345 4
0360 pf 07  0.611  0.136  0.626 5
0360 pf 08  0.865  0.546  1.023 5
0360 pf 09  0.398 -0.169  0.433 4
0360 pf 10  0.777  0.045  0.778 5
0384 em 00  0.657 -0.381  0.759 4
0384 cf 00  0.730 -0.773  1.063 3
0384 pf 01  0.911 -0.381  0.987 4
0384 pf 02  0.193 -1.395  1.408 3
0384 pf 03  0.740  0.012  0.740 5
0384 pf 04  0.008  0.106  0.106 6
0384 pf 05  1.160 -1.207  1.675 3
0384 pf 06  0.373 -0.589  0.697 3
0384 pf 07  0.529  0.078  0.535 5
0384 pf 08  0.920  0.300  0.968 5
0384 pf 09  0.961 -0.444  1.058 4
0384 pf 10  0.695  0.083  0.700 5
0408 em 00  0.663 -0.484  0.821 4
0408 cf 00  1.032 -0.785  1.297 4
0408 pf 01  0.905 -0.177  0.922 4
0408 pf 02  0.362 -1.498  1.541 3
0408 pf 03  0.505 -0.278  0.576 4
0408 pf 04  0.043 -0.227  0.231 3
0408 pf 05  1.597 -1.021  1.895 4
0408 pf 06  0.360 -0.863  0.935 3
0408 pf 07  0.532 -0.104  0.542 4
0408 pf 08  0.708 -0.117  0.718 4
0408 pf 09  0.940 -0.155  0.953 4
0408 pf 10  0.295 -0.127  0.321 4
0432 em 00  0.688 -0.528  0.867 4
0432 cf 00  0.977 -0.848  1.294 4
0432 pf 01  1.064 -0.021  1.064 4
0432 pf 02  0.792 -1.564  1.753 3
0432 pf 03  0.139 -0.539  0.557 3
0432 pf 04 -0.026 -0.192  0.194 2
0432 pf 05  1.851 -0.577  1.939 4
0432 pf 06  0.281 -1.088  1.123 3
0432 pf 07  0.744 -0.177  0.764 4
0432 pf 08  0.591 -0.407  0.718 4
0432 pf 09  0.728 -0.128  0.739 4
0432 pf 10  0.395 -0.288  0.489 4
0456 em 00  0.733 -0.528  0.904 4
0456 cf 00  0.892 -0.786  1.189 4
0456 pf 01  1.225  0.047  1.226 5
0456 pf 02  0.757 -2.060  2.195 3
0456 pf 03  0.118 -0.858  0.866 3
0456 pf 04 -0.117 -0.210  0.241 2
0456 pf 05  2.372 -0.190  2.379 4
0456 pf 06  0.027 -0.998  0.998 3
0456 pf 07  0.841  0.033  0.841 5
0456 pf 08  0.625 -0.390  0.737 4
0456 pf 09  0.806  0.035  0.807 5
0456 pf 10  0.467 -0.424  0.631 4
0480 em 00  0.804 -0.436  0.915 4
0480 cf 00  0.871 -0.812  1.191 4
0480 pf 01  1.399 -0.015  1.399 4
0480 pf 02  0.748 -1.996  2.132 3
0480 pf 03  0.370 -0.783  0.866 3
0480 pf 04  0.026 -0.548  0.548 3
0480 pf 05  2.412  0.127  2.416 5
0480 pf 06  0.340 -1.024  1.079 3
0480 pf 07  0.811  0.294  0.863 5
0480 pf 08  0.717 -0.222  0.751 4
0480 pf 09  0.779  0.663  1.023 5
0480 pf 10  0.320 -0.467  0.566 3
0504 em 00  0.782 -0.271  0.828 4
0504 cf 00  0.645 -0.793  1.022 3
0504 pf 01  1.394 -0.048  1.395 4
0504 pf 02  1.201 -1.688  2.071 3
0504 pf 03  0.437 -0.669  0.799 3
0504 pf 04  0.245 -0.772  0.810 3
0504 pf 05  2.244  0.411  2.281 5
0504 pf 06  0.420 -0.709  0.824 3
0504 pf 07  0.735  0.662  0.989 5
0504 pf 08  0.453 -0.014  0.453 4
0504 pf 09  0.479  0.939  1.054 6
0504 pf 10  0.311 -0.295  0.429 4
0528 em 00  0.731 -0.154  0.747 4
0528 cf 00  0.574 -0.436  0.721 4
0528 pf 01  1.185 -0.230  1.207 4
0528 pf 02  1.441 -1.444  2.040 3
0528 pf 03  0.264 -0.666  0.716 3
0528 pf 04  0.265 -1.022  1.055 3
0528 pf 05  2.011  0.821  2.172 5
0528 pf 06  0.480 -0.320  0.577 4
0528 pf 07  0.683  0.733  1.002 6
0528 pf 08  0.458  0.074  0.464 5
0528 pf 09  0.059  0.997  0.999 6
0528 pf 10  0.581 -0.212  0.619 4
0552 em 00  0.648  0.057  0.650 5
0552 cf 00  0.326 -0.285  0.433 4
0552 pf 01  1.035 -0.256  1.066 4
0552 pf 02  1.690 -0.870  1.901 4
