ecmf prod rf 2009091700 20200917 11 046
0024 em 00  0.556 -0.294  0.629 4
0024 cf 00  0.569 -0.284  0.636 4
0024 pf 01  0.457 -0.257  0.524 4
0024 pf 02  0.567 -0.417  0.704 4
0024 pf 03  0.654 -0.279  0.711 4
0024 pf 04  0.480 -0.241  0.537 4
0024 pf 05  0.581 -0.284  0.647 4
0024 pf 06  0.639 -0.294  0.703 4
0024 pf 07  0.467 -0.243  0.526 4
0024 pf 08  0.559 -0.408  0.692 4
0024 pf 09  0.478 -0.352  0.594 4
0024 pf 10  0.645 -0.213  0.679 4
0048 em 00  0.733 -0.147  0.748 4
0048 cf 00  0.763 -0.158  0.779 4
0048 pf 01  0.617 -0.132  0.631 4
0048 pf 02  0.686 -0.417  0.803 4
0048 pf 03  0.677 -0.116  0.687 4
0048 pf 04  0.697 -0.165  0.716 4
0048 pf 05  0.713 -0.112  0.721 4
0048 pf 06  0.881 -0.149  0.893 4
0048 pf 07  0.632  0.029  0.633 5
0048 pf 08  0.766 -0.337  0.837 4
0048 pf 09  0.861 -0.160  0.875 4
0048 pf 10  0.747  0.076  0.751 5
0072 em 00  0.888  0.030  0.889 5
0072 cf 00  0.957  0.008  0.957 5
0072 pf 01  0.707  0.087  0.712 5
0072 pf 02  0.836 -0.196  0.859 4
0072 pf 03  0.978  0.092  0.983 5
0072 pf 04  0.735  0.112  0.744 5
0072 pf 05  1.011  0.129  1.019 5
0072 pf 06  1.042 -0.065  1.044 4
0072 pf 07  0.711  0.173  0.731 5
0072 pf 08  0.779 -0.361  0.859 4
0072 pf 09  1.187 -0.077  1.189 4
0072 pf 10  0.783  0.390  0.875 5
0096 em 00  0.893  0.037  0.894 5
0096 cf 00  0.970 -0.015  0.970 4
0096 pf 01  0.869 -0.022  0.870 4
0096 pf 02  0.573 -0.148  0.591 4
0096 pf 03  0.934  0.084  0.938 5
0096 pf 04  0.801  0.111  0.809 5
0096 pf 05  1.200  0.140  1.208 5
0096 pf 06  0.964 -0.120  0.971 4
0096 pf 07  0.614  0.408  0.737 5
0096 pf 08  0.772 -0.514  0.928 4
0096 pf 09  1.338 -0.004  1.338 4
0096 pf 10  0.716  0.480  0.862 5
0120 em 00  0.876 -0.058  0.878 4
0120 cf 00  1.042 -0.119  1.049 4
0120 pf 01  0.973 -0.092  0.977 4
0120 pf 02  0.459 -0.419  0.622 4
0120 pf 03  0.983 -0.058  0.984 4
0120 pf 04  1.016  0.075  1.018 5
0120 pf 05  1.257  0.061  1.259 5
0120 pf 06  0.781 -0.241  0.817 4
0120 pf 07  0.523  0.474  0.706 5
0120 pf 08  0.607 -0.796  1.001 3
0120 pf 09  1.410  0.038  1.410 5
0120 pf 10  0.511  0.429  0.667 5
0144 em 00  0.811 -0.137  0.822 4
0144 cf 00  0.998 -0.248  1.028 4
0144 pf 01  1.038 -0.202  1.057 4
0144 pf 02  0.316 -0.413  0.520 3
0144 pf 03  0.945 -0.214  0.969 4
0144 pf 04  0.843  0.011  0.843 5
0144 pf 05  1.439  0.147  1.446 5
0144 pf 06  0.786 -0.408  0.885 4
0144 pf 07  0.199  0.412  0.458 6
0144 pf 08  0.557 -0.813  0.985 3
0144 pf 09  1.504  0.062  1.506 5
0144 pf 10  0.219  0.141  0.261 5
0168 em 00  0.671 -0.135  0.685 4
0168 cf 00  0.825 -0.263  0.866 4
0168 pf 01  1.029 -0.241  1.057 4
0168 pf 02  0.004 -0.680  0.680 3
0168 pf 03  1.113 -0.162  1.125 4
0168 pf 04  0.579  0.025  0.580 5
0168 pf 05  1.398  0.186  1.411 5
0168 pf 06  0.783 -0.613  0.994 4
0168 pf 07 -0.254  0.529  0.587 7
0168 pf 08  0.531 -0.610  0.809 3
0168 pf 09  1.301  0.135  1.308 5
0168 pf 10  0.042  0.191  0.195 6
0192 em 00  0.713 -0.101  0.720 4
0192 cf 00  0.887 -0.153  0.900 4
0192 pf 01  1.074 -0.358  1.132 4
0192 pf 02 -0.348 -0.640  0.728 2
0192 pf 03  1.541 -0.023  1.541 4
0192 pf 04  0.564  0.146  0.583 5
0192 pf 05  1.416  0.035  1.417 5
0192 pf 06  1.005 -0.598  1.169 4
0192 pf 07 -0.286  0.521  0.594 7
0192 pf 08  0.668 -0.388  0.773 4
0192 pf 09  1.479  0.280  1.505 5
0192 pf 10 -0.160  0.072  0.175 8
0216 em 00  0.731 -0.241  0.770 4
0216 cf 00  0.955 -0.199  0.975 4
0216 pf 01  1.061 -0.306  1.104 4
0216 pf 02 -0.673 -0.901  1.125 2
0216 pf 03  1.958 -0.114  1.961 4
0216 pf 04  0.627 -0.191  0.656 4
0216 pf 05  1.224 -0.208  1.242 4
0216 pf 06  1.209 -0.663  1.379 4
0216 pf 07 -0.446 -0.103  0.458 1
0216 pf 08  0.527 -0.489  0.719 4
