ecmf prod rf 2003063000 20220630 11 046
0024 em 00 -0.172 -1.425  1.435 2
0024 cf 00 -0.177 -1.424  1.435 2
0024 pf 01 -0.130 -1.557  1.562 2
0024 pf 02 -0.240 -1.376  1.396 2
0024 pf 03 -0.192 -1.354  1.367 2
0024 pf 04 -0.176 -1.364  1.376 2
0024 pf 05 -0.037 -1.409  1.409 2
0024 pf 06 -0.237 -1.403  1.423 2
0024 pf 07 -0.147 -1.362  1.370 2
0024 pf 08 -0.133 -1.418  1.424 2
0024 pf 09 -0.115 -1.399  1.404 2
0024 pf 10 -0.186 -1.415  1.427 2
0048 em 00 -0.497 -1.671  1.744 2
0048 cf 00 -0.485 -1.715  1.782 2
0048 pf 01 -0.351 -1.905  1.937 2
0048 pf 02 -0.529 -1.521  1.610 2
0048 pf 03 -0.505 -1.490  1.573 2
0048 pf 04 -0.506 -1.668  1.743 2
0048 pf 05 -0.448 -1.695  1.753 2
0048 pf 06 -0.630 -1.711  1.823 2
0048 pf 07 -0.618 -1.651  1.763 2
0048 pf 08 -0.457 -1.644  1.706 2
0048 pf 09 -0.373 -1.445  1.492 2
0048 pf 10 -0.418 -1.718  1.768 2
0072 em 00 -0.532 -1.387  1.486 2
0072 cf 00 -0.560 -1.394  1.503 2
0072 pf 01 -0.200 -1.620  1.632 2
0072 pf 02 -0.443 -1.070  1.158 2
0072 pf 03 -0.488 -1.364  1.449 2
0072 pf 04 -0.716 -1.334  1.514 2
0072 pf 05 -0.481 -1.567  1.639 2
0072 pf 06 -0.720 -1.793  1.932 2
0072 pf 07 -0.828 -1.317  1.556 2
0072 pf 08 -0.554 -1.390  1.497 2
0072 pf 09 -0.210 -0.907  0.931 2
0072 pf 10 -0.507 -1.296  1.391 2
0096 em 00 -0.316 -1.088  1.132 2
0096 cf 00 -0.444 -1.127  1.211 2
0096 pf 01 -0.044 -1.376  1.377 2
0096 pf 02 -0.237 -0.720  0.758 2
0096 pf 03 -0.317 -1.009  1.057 2
0096 pf 04 -0.568 -1.131  1.265 2
0096 pf 05 -0.149 -1.325  1.333 2
0096 pf 06 -0.357 -1.527  1.568 2
0096 pf 07 -0.556 -0.911  1.067 2
0096 pf 08 -0.459 -1.235  1.318 2
0096 pf 09 -0.005 -0.473  0.473 2
0096 pf 10 -0.206 -0.960  0.982 2
0120 em 00 -0.121 -1.003  1.010 2
0120 cf 00 -0.272 -1.014  1.049 2
0120 pf 01  0.399 -1.021  1.096 3
0120 pf 02 -0.171 -0.557  0.583 2
0120 pf 03  0.047 -1.106  1.107 3
0120 pf 04 -0.411 -1.087  1.162 2
0120 pf 05 -0.066 -1.349  1.351 2
0120 pf 06 -0.068 -1.546  1.548 2
0120 pf 07 -0.284 -0.785  0.835 2
0120 pf 08 -0.219 -1.416  1.433 2
0120 pf 09 -0.046 -0.090  0.101 2
0120 pf 10 -0.152 -0.868  0.882 2
0144 em 00 -0.135 -0.998  1.007 2
0144 cf 00 -0.275 -0.980  1.018 2
0144 pf 01  0.351 -0.854  0.923 3
0144 pf 02 -0.193 -0.553  0.586 2
0144 pf 03 -0.007 -1.143  1.143 2
0144 pf 04 -0.468 -1.030  1.132 2
0144 pf 05  0.144 -1.428  1.435 3
0144 pf 06 -0.067 -1.620  1.621 2
0144 pf 07 -0.215 -0.713  0.744 2
0144 pf 08 -0.369 -1.309  1.360 2
0144 pf 09 -0.244  0.081  0.257 8
0144 pf 10 -0.065 -1.246  1.247 2
0168 em 00 -0.065 -0.984  0.987 2
