ecmf prod rf 2005052500 20150525 11 046
0024 em 00  0.810 -0.434  0.919 4
0024 cf 00  0.777 -0.410  0.878 4
0024 pf 01  0.718 -0.439  0.842 4
0024 pf 02  0.897 -0.454  1.005 4
0024 pf 03  0.798 -0.454  0.918 4
0024 pf 04  0.818 -0.511  0.965 4
0024 pf 05  0.731 -0.326  0.800 4
0024 pf 06  0.917 -0.497  1.043 4
0024 pf 07  0.852 -0.398  0.940 4
0024 pf 08  0.676 -0.326  0.751 4
0024 pf 09  0.813 -0.433  0.921 4
0024 pf 10  0.815 -0.423  0.919 4
0048 em 00  1.244 -0.560  1.364 4
0048 cf 00  1.254 -0.634  1.405 4
0048 pf 01  1.260 -0.601  1.396 4
0048 pf 02  1.283 -0.546  1.394 4
0048 pf 03  1.282 -0.510  1.380 4
0048 pf 04  1.109 -0.810  1.373 4
0048 pf 05  1.186 -0.389  1.248 4
0048 pf 06  1.509 -0.460  1.578 4
0048 pf 07  1.141 -0.377  1.202 4
0048 pf 08  1.080 -0.547  1.211 4
0048 pf 09  1.335 -0.614  1.469 4
0048 pf 10  1.125 -0.586  1.268 4
0072 em 00  1.257 -0.612  1.399 4
0072 cf 00  1.277 -0.689  1.451 4
0072 pf 01  1.338 -0.626  1.477 4
0072 pf 02  1.354 -0.677  1.514 4
0072 pf 03  1.254 -0.233  1.276 4
0072 pf 04  1.130 -0.884  1.434 4
0072 pf 05  1.231 -0.584  1.363 4
0072 pf 06  1.446 -0.590  1.562 4
0072 pf 07  1.296 -0.473  1.380 4
0072 pf 08  1.175 -0.609  1.323 4
0072 pf 09  1.212 -0.649  1.375 4
0072 pf 10  1.028 -0.644  1.213 4
0096 em 00  1.172 -0.537  1.289 4
0096 cf 00  1.246 -0.524  1.351 4
0096 pf 01  1.290 -0.628  1.435 4
0096 pf 02  1.377 -0.436  1.444 4
0096 pf 03  1.121 -0.337  1.171 4
0096 pf 04  1.038 -0.751  1.281 4
0096 pf 05  1.033 -0.567  1.179 4
0096 pf 06  1.299 -0.404  1.361 4
0096 pf 07  1.051 -0.257  1.082 4
0096 pf 08  1.080 -0.658  1.265 4
0096 pf 09  1.278 -0.520  1.380 4
0096 pf 10  0.995 -0.765  1.255 4
0120 em 00  1.173 -0.464  1.261 4
0120 cf 00  1.264 -0.467  1.347 4
0120 pf 01  1.160 -0.400  1.227 4
0120 pf 02  1.606 -0.417  1.659 4
0120 pf 03  1.061 -0.177  1.076 4
0120 pf 04  0.953 -0.683  1.172 4
0120 pf 05  0.986 -0.703  1.211 4
0120 pf 06  1.384 -0.215  1.400 4
0120 pf 07  1.204 -0.398  1.268 4
0120 pf 08  1.102 -0.629  1.269 4
0120 pf 09  1.167 -0.329  1.212 4
0120 pf 10  0.942 -0.620  1.128 4
0144 em 00  1.169 -0.216  1.189 4
0144 cf 00  1.285 -0.180  1.298 4
0144 pf 01  1.276 -0.112  1.280 4
0144 pf 02  1.769 -0.019  1.769 4
0144 pf 03  0.902 -0.066  0.904 4
0144 pf 04  0.996 -0.357  1.058 4
0144 pf 05  0.982 -0.356  1.045 4
0144 pf 06  1.130  0.001  1.130 5
0144 pf 07  1.272 -0.223  1.291 4
0144 pf 08  1.051 -0.560  1.191 4
0144 pf 09  1.071 -0.100  1.075 4
0144 pf 10  1.066 -0.351  1.123 4
0168 em 00  1.017  0.015  1.017 5
0168 cf 00  1.056  0.133  1.064 5
0168 pf 01  1.265  0.193  1.280 5
0168 pf 02  1.381  0.296  1.412 5
0168 pf 03  0.827 -0.114  0.835 4
0168 pf 04  0.966 -0.009  0.966 4
0168 pf 05  0.910 -0.169  0.926 4
0168 pf 06  0.751  0.102  0.758 5
0168 pf 07  1.093  0.082  1.096 5
0168 pf 08  1.091 -0.374  1.154 4
0168 pf 09  0.964  0.146  0.975 5
0168 pf 10  0.828 -0.082  0.832 4
0192 em 00  0.759  0.096  0.765 5
0192 cf 00  0.871  0.224  0.899 5
0192 pf 01  0.879  0.322  0.936 5
0192 pf 02  0.864  0.222  0.892 5
0192 pf 03  0.589 -0.209  0.625 4
0192 pf 04  0.794  0.130  0.805 5
0192 pf 05  0.787 -0.048  0.788 4
0192 pf 06  0.396  0.039  0.398 5
0192 pf 07  1.053  0.026  1.054 5
0192 pf 08  0.630 -0.153  0.648 4
0192 pf 09  0.718  0.364  0.805 5
0192 pf 10  0.751  0.214  0.781 5
0216 em 00  0.653  0.191  0.680 5
0216 cf 00  0.685  0.346  0.768 5
0216 pf 01  0.708  0.440  0.833 5
0216 pf 02  0.360  0.584  0.686 6
0216 pf 03  0.608  0.029  0.609 5
0216 pf 04  0.971  0.098  0.976 5
0216 pf 05  0.615 -0.018  0.615 4
0216 pf 06  0.385 -0.061  0.390 4
0216 pf 07  1.131  0.152  1.141 5
0216 pf 08  0.544 -0.098  0.552 4
0216 pf 09  0.579  0.332  0.668 5
0216 pf 10  0.600  0.394  0.718 5
0240 em 00  0.476  0.276  0.550 5
0240 cf 00  0.523  0.415  0.668 5
0240 pf 01  0.621  0.488  0.790 5
0240 pf 02 -0.047  0.833  0.834 7
0240 pf 03  0.594  0.283  0.658 5
0240 pf 04  0.927  0.103  0.933 5
0240 pf 05  0.309  0.072  0.317 5
0240 pf 06  0.167 -0.002  0.167 4
0240 pf 07  1.006  0.267  1.041 5
0240 pf 08  0.252 -0.318  0.405 3
0240 pf 09  0.380  0.298  0.483 5
0240 pf 10  0.484  0.711  0.860 6
0264 em 00  0.383  0.280  0.474 5
0264 cf 00  0.343  0.359  0.497 6
0264 pf 01  0.230  0.742  0.777 6
0264 pf 02 -0.035  0.930  0.931 7
0264 pf 03  0.859  0.315  0.915 5
0264 pf 04  0.692  0.041  0.694 5
0264 pf 05  0.308  0.144  0.340 5
0264 pf 06  0.184 -0.162  0.245 4
0264 pf 07  1.127  0.190  1.143 5
0264 pf 08  0.015 -0.274  0.275 3
0264 pf 09  0.123  0.241  0.271 6
0264 pf 10  0.351  0.677  0.763 6
