ecmf prod rf 2008041900 20180419 11 046
0024 em 00 -0.280 -0.270  0.389 1
0024 cf 00 -0.261 -0.300  0.397 2
0024 pf 01 -0.273 -0.417  0.499 2
0024 pf 02 -0.354 -0.231  0.422 1
0024 pf 03 -0.267 -0.220  0.346 1
0024 pf 04 -0.230 -0.319  0.394 2
0024 pf 05 -0.282 -0.344  0.445 2
0024 pf 06 -0.253 -0.228  0.340 1
0024 pf 07 -0.217 -0.344  0.406 2
0024 pf 08 -0.280 -0.350  0.448 2
0024 pf 09 -0.167 -0.100  0.195 1
0024 pf 10 -0.370 -0.267  0.456 1
0048 em 00 -0.217  0.100  0.239 8
0048 cf 00 -0.229  0.023  0.230 8
0048 pf 01 -0.146  0.023  0.148 8
0048 pf 02 -0.221 -0.086  0.238 1
0048 pf 03 -0.326  0.205  0.385 8
0048 pf 04 -0.232  0.137  0.269 8
0048 pf 05 -0.172 -0.013  0.173 1
0048 pf 06 -0.205  0.228  0.307 7
0048 pf 07 -0.016  0.026  0.031 7
0048 pf 08 -0.342 -0.060  0.348 1
0048 pf 09 -0.076  0.255  0.267 7
0048 pf 10 -0.271  0.208  0.342 8
0072 em 00 -0.518  0.207  0.558 8
0072 cf 00 -0.502  0.094  0.511 8
0072 pf 01 -0.545  0.135  0.561 8
0072 pf 02 -0.600  0.046  0.602 8
0072 pf 03 -0.601  0.255  0.652 8
0072 pf 04 -0.467  0.381  0.602 8
0072 pf 05 -0.393  0.106  0.407 8
0072 pf 06 -0.426  0.371  0.565 8
0072 pf 07 -0.349  0.121  0.370 8
0072 pf 08 -0.555 -0.004  0.555 1
0072 pf 09 -0.397  0.418  0.576 7
0072 pf 10 -0.662  0.230  0.701 8
0096 em 00 -0.651  0.237  0.693 8
0096 cf 00 -0.630  0.207  0.663 8
0096 pf 01 -0.596  0.200  0.628 8
0096 pf 02 -0.541  0.069  0.545 8
0096 pf 03 -0.659  0.145  0.675 8
0096 pf 04 -0.804  0.408  0.902 8
0096 pf 05 -0.454  0.261  0.524 8
0096 pf 06 -0.610  0.383  0.720 8
0096 pf 07 -0.613  0.160  0.633 8
0096 pf 08 -0.475  0.052  0.478 8
0096 pf 09 -0.711  0.325  0.782 8
0096 pf 10 -0.847  0.303  0.899 8
0120 em 00 -0.701  0.355  0.786 8
0120 cf 00 -0.641  0.328  0.721 8
0120 pf 01 -0.502  0.355  0.614 8
0120 pf 02 -0.684  0.167  0.704 8
0120 pf 03 -0.764  0.276  0.812 8
0120 pf 04 -0.846  0.483  0.974 8
0120 pf 05 -0.503  0.455  0.678 8
0120 pf 06 -0.507  0.538  0.740 7
0120 pf 07 -0.665  0.310  0.734 8
0120 pf 08 -0.407  0.239  0.472 8
0120 pf 09 -0.916  0.353  0.982 8
0120 pf 10 -1.014  0.331  1.067 8
0144 em 00 -0.689  0.516  0.861 8
0144 cf 00 -0.700  0.587  0.914 8
0144 pf 01 -0.469  0.639  0.793 7
0144 pf 02 -0.675  0.317  0.745 8
0144 pf 03 -0.714  0.691  0.994 8
0144 pf 04 -0.664  0.468  0.812 8
0144 pf 05 -0.707  0.758  1.037 7
0144 pf 06 -0.483  0.747  0.890 7
0144 pf 07 -0.652  0.352  0.741 8
0144 pf 08 -0.321  0.326  0.458 7
0144 pf 09 -0.856  0.335  0.919 8
0144 pf 10 -1.098  0.376  1.160 8
0168 em 00 -0.663  0.871  1.095 7
0168 cf 00 -0.857  0.951  1.280 7
0168 pf 01 -0.420  1.145  1.219 7
0168 pf 02 -0.654  0.497  0.822 8
0168 pf 03 -0.700  1.123  1.323 7
0168 pf 04 -0.624  0.789  1.005 7
0168 pf 05 -0.897  1.032  1.367 7
0168 pf 06 -0.480  1.086  1.187 7
0168 pf 07 -0.384  0.873  0.954 7
0168 pf 08 -0.251  0.603  0.653 7
0168 pf 09 -0.701  0.712  0.999 7
0168 pf 10 -1.116  0.685  1.309 8
0192 em 00 -0.602  1.115  1.267 7
0192 cf 00 -0.814  1.067  1.342 7
0192 pf 01 -0.447  1.513  1.577 7
0192 pf 02 -0.447  0.665  0.801 7
0192 pf 03 -0.810  1.420  1.634 7
0192 pf 04 -0.527  0.940  1.077 7
0192 pf 05 -0.940  1.311  1.614 7
0192 pf 06 -0.529  1.146  1.262 7
0192 pf 07 -0.329  1.053  1.103 7
0192 pf 08 -0.166  1.112  1.124 7
0192 pf 09 -0.575  1.042  1.190 7
0192 pf 10 -0.855  0.908  1.247 7
0216 em 00 -0.653  0.962  1.163 7
0216 cf 00 -0.806  0.861  1.179 7
0216 pf 01 -0.578  1.456  1.566 7
0216 pf 02 -0.447  0.410  0.606 8
0216 pf 03 -0.794  1.328  1.547 7
0216 pf 04 -0.623  0.624  0.882 7
0216 pf 05 -1.040  1.177  1.571 7
0216 pf 06 -0.691  0.955  1.179 7
0216 pf 07 -0.316  0.948  0.999 7
0216 pf 08 -0.392  0.928  1.007 7
0216 pf 09 -0.539  0.924  1.070 7
0216 pf 10 -0.768  0.937  1.212 7
0240 em 00 -0.844  0.801  1.163 8
0240 cf 00 -0.797  0.584  0.988 8
0240 pf 01 -0.754  1.202  1.419 7
0240 pf 02 -0.474  0.199  0.514 8
0240 pf 03 -1.190  1.233  1.713 7
0240 pf 04 -0.565  0.607  0.829 7
0240 pf 05 -1.421  0.957  1.713 8
0240 pf 06 -0.746  0.797  1.092 7
0240 pf 07 -0.716  0.775  1.055 7
0240 pf 08 -0.593  0.856  1.041 7
0240 pf 09 -0.920  0.765  1.196 8
0240 pf 10 -0.876  0.827  1.205 8
0264 em 00 -0.935  0.650  1.139 8
0264 cf 00 -0.756  0.437  0.874 8
0264 pf 01 -0.804  1.104  1.366 7
0264 pf 02 -0.669 -0.036  0.670 1
0264 pf 03 -1.351  0.999  1.680 8
0264 pf 04 -0.528  0.505  0.730 8
0264 pf 05 -1.498  0.739  1.670 8
0264 pf 06 -0.870  0.596  1.054 8
0264 pf 07 -0.827  0.751  1.117 8
0264 pf 08 -0.955  0.818  1.257 8
0264 pf 09 -0.932  0.547  1.081 8
0264 pf 10 -0.886  0.711  1.136 8
0288 em 00 -0.818  0.547  0.984 8
0288 cf 00 -0.580  0.400  0.704 8
0288 pf 01 -0.662  0.673  0.944 7
0288 pf 02 -0.604 -0.063  0.607 1
0288 pf 03 -1.361  0.976  1.675 8
0288 pf 04 -0.506  0.541  0.741 7
0288 pf 05 -1.167  0.781  1.404 8
0288 pf 06 -0.624  0.550  0.832 8
0288 pf 07 -1.042  0.724  1.269 8
0288 pf 08 -0.909  0.940  1.308 7
0288 pf 09 -0.831  0.191  0.853 8
0288 pf 10 -0.527  0.348  0.632 8
0312 em 00 -0.608  0.351  0.702 8
0312 cf 00 -0.253  0.310  0.400 7
0312 pf 01 -0.611  0.238  0.655 8
0312 pf 02 -0.066 -0.123  0.139 2
0312 pf 03 -1.187  0.594  1.327 8
0312 pf 04 -0.403  0.457  0.609 7
0312 pf 05 -0.782  0.625  1.001 8
0312 pf 06 -0.782  0.563  0.963 8
0312 pf 07 -1.090  0.403  1.162 8
0312 pf 08 -0.527  0.892  1.036 7
0312 pf 09 -0.514 -0.043  0.516 1
0312 pf 10 -0.309  0.005  0.309 8
0336 em 00 -0.430  0.280  0.513 8
0336 cf 00  0.164  0.321  0.360 6
0336 pf 01 -0.897 -0.031  0.898 1
0336 pf 02  0.271 -0.125  0.299 4
0336 pf 03 -0.847  0.540  1.004 8
0336 pf 04 -0.018  0.376  0.377 7
0336 pf 05 -0.728  0.540  0.907 8
0336 pf 06 -0.721  0.604  0.941 8
0336 pf 07 -1.040  0.276  1.076 8
0336 pf 08 -0.215  0.858  0.884 7
0336 pf 09 -0.190 -0.036  0.194 1
0336 pf 10 -0.353 -0.181  0.396 1
0360 em 00 -0.243  0.262  0.358 7
0360 cf 00  0.301  0.421  0.518 6
0360 pf 01 -0.570 -0.114  0.581 1
0360 pf 02  0.651  0.261  0.701 5
0360 pf 03 -0.690  0.455  0.826 8
0360 pf 04  0.124  0.333  0.355 6
0360 pf 05 -0.512  0.341  0.615 8
0360 pf 06 -0.399  0.530  0.663 7
0360 pf 07 -0.806  0.197  0.830 8
0360 pf 08 -0.216  0.778  0.807 7
0360 pf 09 -0.021 -0.098  0.101 2
0360 pf 10 -0.377 -0.156  0.408 1
0384 em 00 -0.042  0.320  0.323 7
0384 cf 00  0.108  0.497  0.508 6
0384 pf 01 -0.155 -0.224  0.272 2
0384 pf 02  0.728  0.518  0.894 5
0384 pf 03 -0.051  0.439  0.442 7
0384 pf 04  0.258  0.336  0.423 6
0384 pf 05 -0.373  0.545  0.660 7
0384 pf 06 -0.252  0.588  0.639 7
0384 pf 07 -0.460  0.148  0.483 8
0384 pf 08 -0.185  0.895  0.914 7
0384 pf 09  0.205 -0.156  0.258 4
0384 pf 10 -0.130  0.013  0.131 8
0408 em 00  0.028  0.420  0.421 6
0408 cf 00 -0.270  0.752  0.799 7
0408 pf 01  0.076 -0.198  0.212 3
0408 pf 02  0.898  0.862  1.245 5
0408 pf 03  0.084  0.371  0.380 6
0408 pf 04  0.271  0.427  0.506 6
0408 pf 05 -0.227  0.614  0.654 7
0408 pf 06 -0.598  0.587  0.838 8
0408 pf 07 -0.035  0.371  0.372 7
0408 pf 08 -0.287  1.172  1.207 7
0408 pf 09  0.379 -0.132  0.401 4
