ecmf prod rf 1997031400 20160314 11 046
0024 em 00 -0.849  2.775  2.902 7
0024 cf 00 -0.809  2.770  2.886 7
0024 pf 01 -0.780  2.677  2.789 7
0024 pf 02 -0.807  2.854  2.966 7
0024 pf 03 -0.838  2.700  2.827 7
0024 pf 04 -0.882  2.696  2.837 7
0024 pf 05 -0.828  2.759  2.881 7
0024 pf 06 -0.928  2.772  2.923 7
0024 pf 07 -0.903  2.712  2.858 7
0024 pf 08 -0.849  2.969  3.088 7
0024 pf 09 -0.852  2.739  2.868 7
0024 pf 10 -0.885  2.818  2.954 7
0048 em 00 -1.115  2.704  2.925 7
0048 cf 00 -1.091  2.731  2.940 7
0048 pf 01 -0.939  2.523  2.692 7
0048 pf 02 -1.243  2.908  3.163 7
0048 pf 03 -1.144  2.781  3.007 7
0048 pf 04 -1.020  2.510  2.709 7
0048 pf 05 -0.988  2.662  2.840 7
0048 pf 06 -1.264  2.607  2.897 7
0048 pf 07 -1.077  2.648  2.859 7
0048 pf 08 -1.305  2.743  3.038 7
0048 pf 09 -1.156  2.737  2.971 7
0048 pf 10 -1.120  2.795  3.011 7
0072 em 00 -1.414  2.820  3.155 7
0072 cf 00 -1.432  2.773  3.121 7
0072 pf 01 -1.258  2.900  3.161 7
0072 pf 02 -1.589  2.925  3.329 7
0072 pf 03 -1.445  2.780  3.133 7
0072 pf 04 -1.178  2.565  2.823 7
0072 pf 05 -1.360  2.833  3.142 7
0072 pf 06 -1.538  2.735  3.137 7
0072 pf 07 -1.404  2.782  3.116 7
0072 pf 08 -1.696  2.839  3.307 7
0072 pf 09 -1.485  2.890  3.249 7
0072 pf 10 -1.287  2.855  3.132 7
0096 em 00 -1.795  2.787  3.315 7
0096 cf 00 -1.858  2.772  3.338 7
0096 pf 01 -1.814  2.944  3.458 7
0096 pf 02 -1.968  2.818  3.438 7
0096 pf 03 -1.717  2.810  3.293 7
0096 pf 04 -1.384  2.595  2.941 7
0096 pf 05 -1.763  2.701  3.225 7
0096 pf 06 -1.837  2.789  3.340 7
0096 pf 07 -1.898  2.713  3.311 7
0096 pf 08 -1.908  2.743  3.341 7
0096 pf 09 -2.014  2.877  3.512 7
0096 pf 10 -1.677  2.713  3.190 7
0120 em 00 -1.848  2.725  3.293 7
0120 cf 00 -1.907  2.653  3.267 7
0120 pf 01 -2.062  2.787  3.467 7
0120 pf 02 -1.961  2.856  3.464 7
0120 pf 03 -1.686  2.860  3.320 7
0120 pf 04 -1.500  2.546  2.955 7
0120 pf 05 -1.933  2.383  3.069 7
0120 pf 06 -1.827  2.772  3.320 7
0120 pf 07 -2.119  2.686  3.422 7
0120 pf 08 -1.978  2.809  3.436 7
0120 pf 09 -1.920  2.792  3.389 7
0120 pf 10 -1.498  2.612  3.011 7
0144 em 00 -2.012  2.537  3.238 7
0144 cf 00 -2.031  2.507  3.226 7
0144 pf 01 -2.437  2.499  3.490 7
0144 pf 02 -2.219  2.630  3.441 7
0144 pf 03 -1.754  2.610  3.145 7
0144 pf 04 -1.496  2.750  3.130 7
0144 pf 05 -1.998  2.029  2.847 7
0144 pf 06 -2.185  2.579  3.380 7
0144 pf 07 -2.380  2.348  3.343 8
0144 pf 08 -2.056  2.545  3.272 7
0144 pf 09 -1.993  2.720  3.372 7
0144 pf 10 -1.629  2.458  2.949 7
0168 em 00 -2.552  2.438  3.530 8
0168 cf 00 -2.662  2.385  3.574 8
0168 pf 01 -3.104  2.332  3.882 8
0168 pf 02 -2.913  2.398  3.773 8
0168 pf 03 -2.221  2.541  3.375 7
0168 pf 04 -2.004  2.745  3.399 7
0168 pf 05 -2.202  1.938  2.934 8
0168 pf 06 -3.039  2.382  3.861 8
0168 pf 07 -2.663  2.080  3.379 8
0168 pf 08 -2.445  2.665  3.617 7
0168 pf 09 -2.550  2.526  3.589 8
0168 pf 10 -2.258  2.576  3.426 7
0192 em 00 -2.935  2.346  3.758 8
0192 cf 00 -3.269  2.240  3.963 8
0192 pf 01 -3.461  2.244  4.124 8
0192 pf 02 -3.346  2.171  3.989 8
0192 pf 03 -2.784  2.443  3.704 8
0192 pf 04 -2.470  2.669  3.637 7
0192 pf 05 -2.311  2.098  3.121 8
0192 pf 06 -3.446  2.017  3.993 8
0192 pf 07 -2.525  1.888  3.153 8
0192 pf 08 -2.705  2.536  3.708 8
0192 pf 09 -3.210  2.601  4.131 8
0192 pf 10 -2.693  2.607  3.748 8
0216 em 00 -2.944  2.228  3.692 8
0216 cf 00 -3.097  2.159  3.776 8
0216 pf 01 -3.499  2.005  4.033 8
0216 pf 02 -3.117  2.146  3.785 8
0216 pf 03 -3.033  2.094  3.686 8
0216 pf 04 -2.461  2.559  3.550 7
0216 pf 05 -2.385  1.985  3.103 8
0216 pf 06 -3.423  1.753  3.846 8
0216 pf 07 -2.472  1.976  3.165 8
0216 pf 08 -2.720  2.685  3.822 8
0216 pf 09 -3.394  2.346  4.126 8
0216 pf 10 -2.681  2.491  3.660 8
0240 em 00 -3.048  1.763  3.521 8
0240 cf 00 -2.988  1.800  3.488 8
0240 pf 01 -3.324  1.641  3.707 8
0240 pf 02 -3.198  1.765  3.653 8
0240 pf 03 -3.332  1.428  3.625 8
0240 pf 04 -2.646  2.033  3.337 8
0240 pf 05 -2.644  1.700  3.144 8
0240 pf 06 -3.268  1.269  3.505 8
0240 pf 07 -2.766  1.497  3.145 8
0240 pf 08 -2.841  2.088  3.526 8
0240 pf 09 -3.308  1.838  3.784 8
0240 pf 10 -3.056  2.034  3.671 8
0264 em 00 -3.177  1.280  3.425 8
0264 cf 00 -3.116  1.277  3.368 8
0264 pf 01 -3.100  1.345  3.379 8
0264 pf 02 -3.465  1.354  3.720 8
0264 pf 03 -3.370  0.852  3.476 8
0264 pf 04 -2.973  1.415  3.292 8
0264 pf 05 -2.823  1.235  3.082 8
0264 pf 06 -3.435  0.736  3.513 8
0264 pf 07 -2.846  1.045  3.032 8
0264 pf 08 -2.800  1.817  3.338 8
0264 pf 09 -3.589  1.118  3.759 8
0264 pf 10 -3.231  1.624  3.616 8
0288 em 00 -3.209  0.907  3.335 8
0288 cf 00 -3.467  0.841  3.568 8
0288 pf 01 -2.735  1.009  2.915 8
0288 pf 02 -3.523  0.730  3.598 8
0288 pf 03 -3.383  0.395  3.406 8
0288 pf 04 -3.116  1.229  3.349 8
0288 pf 05 -2.870  1.215  3.117 8
0288 pf 06 -3.338  0.606  3.393 8
0288 pf 07 -2.759  0.670  2.840 8
0288 pf 08 -2.986  1.220  3.226 8
0288 pf 09 -3.653  0.635  3.708 8
0288 pf 10 -3.249  1.194  3.461 8
0312 em 00 -3.029  0.484  3.068 8
0312 cf 00 -3.638  0.235  3.646 8
0312 pf 01 -2.325  0.791  2.455 8
0312 pf 02 -3.181  0.009  3.181 8
0312 pf 03 -3.266 -0.118  3.268 1
0312 pf 04 -2.926  0.702  3.009 8
0312 pf 05 -2.722  1.108  2.939 8
0312 pf 06 -2.927  0.571  2.983 8
0312 pf 07 -2.722  0.216  2.731 8
0312 pf 08 -3.023  0.576  3.077 8
0312 pf 09 -3.252  0.425  3.280 8
0312 pf 10 -3.123  0.608  3.182 8
0336 em 00 -2.838  0.008  2.838 8
0336 cf 00 -3.326 -0.373  3.347 1
0336 pf 01 -1.993  0.409  2.035 8
0336 pf 02 -2.726 -0.837  2.852 1
0336 pf 03 -3.039 -0.663  3.110 1
0336 pf 04 -2.961  0.367  2.984 8
0336 pf 05 -2.747  0.723  2.840 8
0336 pf 06 -2.878  0.133  2.881 8
0336 pf 07 -2.759 -0.255  2.771 1
0336 pf 08 -2.744  0.037  2.744 8
0336 pf 09 -3.018  0.380  3.042 8
0336 pf 10 -2.839  0.014  2.839 8
0360 em 00 -2.713 -0.417  2.745 1
0360 cf 00 -3.120 -0.700  3.197 1
0360 pf 01 -1.887  0.007  1.887 8
0360 pf 02 -2.447 -1.306  2.774 1
0360 pf 03 -2.848 -1.433  3.188 1
0360 pf 04 -2.795 -0.314  2.812 1
0360 pf 05 -2.947  0.163  2.951 8
0360 pf 06 -2.498 -0.046  2.499 1
0360 pf 07 -2.776 -0.571  2.834 1
0360 pf 08 -2.448 -0.186  2.455 1
0360 pf 09 -3.199 -0.011  3.199 1
0360 pf 10 -2.658 -0.298  2.675 1
0384 em 00 -2.603 -0.604  2.672 1
0384 cf 00 -2.816 -0.825  2.935 1
0384 pf 01 -1.873 -0.046  1.873 1
0384 pf 02 -2.189 -1.547  2.681 1
0384 pf 03 -2.500 -1.883  3.129 1
0384 pf 04 -2.298 -0.405  2.334 1
0384 pf 05 -3.027 -0.020  3.027 1
0384 pf 06 -2.233 -0.002  2.233 1
0384 pf 07 -2.627 -1.086  2.843 1
0384 pf 08 -2.739 -0.336  2.760 1
0384 pf 09 -3.432 -0.131  3.434 1
0384 pf 10 -2.672 -0.453  2.710 1
0408 em 00 -2.341 -0.860  2.494 1
0408 cf 00 -2.486 -1.092  2.715 1
0408 pf 01 -1.853 -0.166  1.860 1
0408 pf 02 -1.478 -1.532  2.129 2
0408 pf 03 -2.074 -2.019  2.895 1
0408 pf 04 -2.074 -0.813  2.228 1
0408 pf 05 -2.927 -0.585  2.985 1
0408 pf 06 -1.851 -0.269  1.870 1
0408 pf 07 -2.329 -1.681  2.872 1
0408 pf 08 -2.925 -0.490  2.965 1
0408 pf 09 -3.212 -0.388  3.235 1
0408 pf 10 -2.303 -0.505  2.358 1
0432 em 00 -2.141 -1.163  2.436 1
0432 cf 00 -2.480 -1.407  2.852 1
0432 pf 01 -1.797 -0.265  1.816 1
0432 pf 02 -1.163 -1.459  1.866 2
0432 pf 03 -1.879 -1.944  2.704 2
0432 pf 04 -1.754 -1.214  2.134 1
0432 pf 05 -3.014 -1.026  3.184 1
0432 pf 06 -1.452 -0.906  1.711 1
0432 pf 07 -2.089 -1.993  2.888 1
