Date_day0,RMM1_0,RMM2_0,RMM1_obs,RMM2_obs,RMM1_pf1,RMM2_pf1,RMM1_pf2,RMM2_pf2,RMM1_pf3,RMM2_pf3,RMM1_pf4,RMM2_pf4,RMM1_pf5,RMM2_pf5,RMM1_pf6,RMM2_pf6,RMM1_pf7,RMM2_pf7,RMM1_pf8,RMM2_pf8,RMM1_pf9,RMM2_pf9,RMM1_pf10,RMM2_pf10,RMM1_pf11,RMM2_pf11
2000-01-02,-0.5048875212669373,-0.3698292374610901,-0.46778324246406555,-0.642181932926178,-0.618,-0.604,-0.392,-0.544,-0.569,-0.655,-0.636,-0.616,-0.561,-0.55,-0.586,-0.6,-0.62,-0.635,-0.541,-0.6659999999999999,-0.575,-0.574,-0.66,-0.569,-0.484,-0.6
2000-01-06,-0.1094479113817215,-1.1234924793243408,-0.1478528082370758,-1.3368223905563354,0.113,-1.6680000000000001,0.24,-1.6119999999999999,0.147,-1.695,0.11800000000000001,-1.719,0.257,-1.704,0.11900000000000001,-1.5630000000000002,0.23600000000000002,-1.584,0.168,-1.642,0.098,-1.636,0.124,-1.6680000000000001,0.273,-1.671
2000-01-09,0.3092012107372284,-1.0629550218582153,0.44070011377334595,-1.0224798917770386,0.495,-1.569,0.517,-1.569,0.466,-1.568,0.47600000000000003,-1.653,0.478,-1.5630000000000002,0.43700000000000006,-1.669,0.542,-1.6269999999999998,0.47600000000000003,-1.724,0.524,-1.632,0.637,-1.501,0.537,-1.6380000000000001
2000-01-13,0.6534503698348999,-0.5248188376426697,0.5149142146110535,-0.30158156156539917,0.927,-0.825,0.774,-1.005,0.987,-0.63,1.091,-0.81,0.907,-0.897,0.943,-0.76,1.04,-0.779,0.872,-0.855,1.045,-0.767,0.973,-0.86,0.991,-0.642
2000-01-16,0.3632969856262207,-0.33706358075141907,0.18207556009292603,-0.3630818724632263,0.721,-0.442,0.733,-0.537,0.82,-0.223,0.6629999999999999,-0.327,0.8540000000000001,-0.5589999999999999,0.77,-0.447,0.732,-0.373,0.6970000000000001,-0.57,0.6729999999999999,-0.382,0.8109999999999999,-0.429,0.718,-0.49
2000-01-20,0.09461519122123718,-0.22325293719768524,-0.21237556636333466,-0.08270293474197388,0.17800000000000002,-0.247,0.413,-0.222,0.326,-0.527,0.22699999999999998,-0.23600000000000002,0.256,-0.345,0.237,-0.204,0.361,-0.302,0.268,-0.431,0.365,-0.225,0.335,-0.315,0.321,-0.4
2000-01-23,-0.6647732853889465,-0.15896299481391907,-0.4309072494506836,-0.3030480146408081,-0.499,-0.17300000000000001,-0.48700000000000004,-0.195,-0.46,-0.318,-0.565,-0.265,-0.551,-0.187,-0.561,-0.293,-0.373,-0.37,-0.504,-0.213,-0.53,-0.218,-0.40700000000000003,-0.10099999999999999,-0.5479999999999999,-0.446
2000-01-27,-0.5478533506393433,-0.6767758131027222,-0.5066913962364197,-0.7272474765777588,-0.741,-0.9890000000000001,-0.889,-0.882,-0.745,-0.836,-0.691,-1.051,-0.578,-1.032,-0.757,-0.924,-0.725,-1.181,-0.735,-1.0090000000000001,-0.701,-1.04,-0.6859999999999999,-0.795,-0.713,-1.023
2000-01-30,-0.12206332385540009,-0.9416945576667786,0.05423256382346153,-1.0801459550857544,-0.225,-1.272,-0.316,-1.328,-0.252,-1.273,-0.183,-1.22,-0.188,-1.27,-0.14,-1.2329999999999999,-0.21100000000000002,-1.204,-0.14300000000000002,-1.381,-0.069,-1.308,-0.19399999999999998,-1.24,-0.3,-1.329
2000-02-03,0.005774322431534529,-1.1792749166488647,0.11079054325819016,-1.2450374364852905,0.061,-1.714,-0.006,-1.649,0.11900000000000001,-1.86,0.191,-1.7919999999999998,-0.006999999999999999,-1.7180000000000002,0.027999999999999997,-1.6980000000000002,0.135,-1.621,0.099,-1.764,0.059000000000000004,-1.735,0.098,-1.66,0.158,-1.577
2000-02-06,0.7604079246520996,-0.7043188214302063,0.8900450468063354,-0.4229658544063568,0.725,-0.9259999999999999,0.899,-1.013,0.672,-0.8109999999999999,0.856,-1.018,0.847,-0.807,0.691,-0.848,0.621,-1.015,0.7929999999999999,-0.8859999999999999,0.86,-1.075,0.8370000000000001,-0.914,0.8270000000000001,-1.048
