Date_day0,RMM1_0,RMM2_0,RMM1_obs,RMM2_obs,RMM1_pf1,RMM2_pf1,RMM1_pf2,RMM2_pf2,RMM1_pf3,RMM2_pf3,RMM1_pf4,RMM2_pf4,RMM1_pf5,RMM2_pf5,RMM1_pf6,RMM2_pf6,RMM1_pf7,RMM2_pf7,RMM1_pf8,RMM2_pf8,RMM1_pf9,RMM2_pf9,RMM1_pf10,RMM2_pf10,RMM1_pf11,RMM2_pf11
2000-01-02,-0.5048875212669373,-0.3698292374610901,0.6534503698348999,-0.5248188376426697,0.685,-1.4969999999999999,0.925,-0.326,0.35200000000000004,-0.912,0.24600000000000002,-0.9309999999999999,0.925,-0.48700000000000004,0.111,-1.735,-0.695,-1.44,0.777,-0.9259999999999999,0.306,-1.0170000000000001,1.0390000000000001,-1.186,0.377,-1.7630000000000001
2000-01-06,-0.1094479113817215,-1.1234924793243408,0.18207556009292603,-0.3630818724632263,0.9840000000000001,-0.579,1.4580000000000002,0.011000000000000001,1.216,0.062,1.334,-0.541,1.8869999999999998,-0.789,2.658,-0.304,1.2819999999999998,-0.382,1.224,0.113,0.28600000000000003,-1.26,2.017,-0.563,1.8159999999999998,-0.138
2000-01-09,0.3092012107372284,-1.0629550218582153,0.09461519122123718,-0.22325293719768524,0.48100000000000004,0.083,-0.073,0.5,0.7879999999999999,0.092,0.19699999999999998,-0.894,0.055,0.26,1.005,-0.138,1.127,0.675,1.193,0.9620000000000001,0.856,-0.664,-0.009000000000000001,-0.18100000000000002,-0.33799999999999997,-0.445
2000-01-13,0.6534503698348999,-0.5248188376426697,-0.4309072494506836,-0.3030480146408081,-0.945,-0.4,-0.59,-0.52,-1.281,-0.48100000000000004,-0.696,-0.95,-0.5479999999999999,-0.7959999999999999,-0.71,-0.963,-0.68,0.17600000000000002,-0.846,-0.095,-0.415,-0.735,-0.252,0.057,0.125,0.564
2000-01-16,0.3632969856262207,-0.33706358075141907,-0.5478533506393433,-0.6767758131027222,-0.767,-1.32,-0.45899999999999996,0.053,-0.807,-1.04,0.473,-1.057,-0.6859999999999999,-0.504,0.5,-0.488,-0.731,-0.7909999999999999,-0.732,-1.261,-0.317,-0.627,-1.065,-0.16,0.21100000000000002,-0.15
2000-01-20,0.09461519122123718,-0.22325293719768524,0.05423256382346153,-1.0801459550857544,-0.773,-0.759,-1.368,0.507,-0.831,-0.478,-0.9109999999999999,-0.797,0.21899999999999997,-0.52,-0.615,-0.7190000000000001,-0.619,-0.93,0.282,-0.308,-1.297,-0.7959999999999999,-1.206,-1.258,-0.23800000000000002,-0.7020000000000001
2000-01-23,-0.6647732853889465,-0.15896299481391907,0.005774322431534529,-1.1792749166488647,-0.615,-1.564,-0.7390000000000001,-0.976,0.261,-0.547,-0.738,-1.262,-0.109,-0.6409999999999999,-0.5870000000000001,-0.882,-0.49700000000000005,-0.953,-0.34299999999999997,-1.064,-0.8029999999999999,-1.002,-0.152,-1.181,-0.177,-0.8859999999999999
2000-01-27,-0.5478533506393433,-0.6767758131027222,0.8900450468063354,-0.4229658544063568,-0.47200000000000003,-1.839,0.46399999999999997,-2.3609999999999998,-0.515,-0.504,0.8029999999999999,-0.7559999999999999,-0.731,-1.9869999999999999,-0.094,-1.165,-0.5720000000000001,-1.597,0.77,-0.7659999999999999,-0.557,-1.6669999999999998,-0.129,-0.865,-0.22,-2.001
2000-01-30,-0.12206332385540009,-0.9416945576667786,0.3208513557910919,-0.04477040469646454,0.386,-2.1590000000000003,0.16699999999999998,-2.645,0.635,-1.271,0.563,-1.631,0.542,-1.7469999999999999,0.46,-0.102,0.063,-1.179,0.7559999999999999,-1.213,0.233,-1.202,0.353,-2.123,1.308,-1.197
2000-02-03,0.005774322431534529,-1.1792749166488647,-0.5079066157341003,-0.8000878691673279,0.163,-1.464,1.166,-1.607,1.081,-1.5119999999999998,0.5539999999999999,-0.9129999999999999,0.547,-0.325,0.564,-1.435,0.46,-0.7929999999999999,-0.95,-1.6540000000000001,-0.03,-0.705,0.182,-0.6709999999999999,-0.122,-0.595
