Bivariate Correlation,RMSE,Err Amp,Err Phase,CRPS
0.9677210756265465,0.43365748158184314,-0.03798847673378883,-0.022559939389783498,0.4139187382347883
0.9645856418274598,0.44674564961542895,-0.07819927247048983,-0.008224990365627408,0.4010145226493478
0.9594508269834628,0.47479768162012304,-0.1213906261199111,0.0059448474101501,0.39362841088324785
0.9533225159147739,0.5077101752141803,-0.1622101516777881,-0.03880682441212529,0.40880050729960205
0.9448003782407416,0.5457720568446285,-0.19178955301793454,-0.03668306750181558,0.4797859816998244
0.9355825861873311,0.5820828870823118,-0.21806011414652976,-0.006699142084596985,0.515774406036362
0.9231298947700298,0.6316851322460783,-0.25080530166783255,-0.049416441295927836,0.5279311037459411
0.9111330143828374,0.6705644232027089,-0.27888981502693705,-0.0499697100788312,0.5992347464803607
0.8963344434593978,0.7119071245875432,-0.3065460895679453,-0.04587930119935347,0.5414957745932042
0.8797548570926204,0.7544516168123385,-0.3376618252345371,-0.01794063358701472,0.487489570165053
0.8607802664137668,0.7985838803449853,-0.36435781264615946,-0.03236999884262849,0.5043412650842221
0.8388060825483507,0.8447111655014131,-0.39313023719563794,-0.037668998021368756,0.598614695603028
0.8216366724254645,0.8746739401799095,-0.41706707551309063,-0.003117154842914962,0.5770500759920105
0.8009138798779024,0.9109056439412221,-0.43898809472328937,-0.010049077132782674,0.6181142366025597
0.7797140596626299,0.9394592682488363,-0.4512109032730978,0.011428694699943289,0.6547323775151743
0.7596818669934315,0.9621216326121721,-0.4616778123900929,0.00612304246877975,0.6179994767624885
0.7405541263112484,0.9874131292507092,-0.48143119345202007,0.0020516269133856618,0.6325775343645365
0.7187202802892315,1.011625690651117,-0.49173272738108753,-0.026382950858861644,0.661889124851441
0.6928532987399112,1.0365798557927726,-0.5025869587723992,-0.04846657612004594,0.7205429421912413
0.6675538103486993,1.0584494996837013,-0.5137775100423909,0.005136213436634274,0.8176723131351172
0.6470154489702274,1.0797272982061688,-0.5244009292603047,-0.05233644096598996,0.8329631289374081
0.6261882198952721,1.0982285480976266,-0.52847355955784,-0.03802423928550555,0.8668011107062921
0.601116904166971,1.1163451573744796,-0.5306242100407136,-0.03402001140785204,0.9324119853600858
0.5823083197195361,1.1338178568430062,-0.5453613443257691,-0.058428138115143496,0.9397421192703769
0.56690555377856,1.149302186409301,-0.5565967578484329,-0.07665183086213327,0.9441044135019185
