ecmf prod rf 2017051700 20180517 11 046
0024 em 00  0.991 -1.699  1.967 3
0024 cf 00  0.896 -1.700  1.921 3
0024 pf 01  1.023 -1.679  1.966 3
0024 pf 02  1.060 -1.580  1.902 3
0024 pf 03  1.100 -1.758  2.073 3
0024 pf 04  1.069 -1.493  1.836 3
0024 pf 05  1.012 -1.783  2.050 3
0024 pf 06  0.846 -1.703  1.902 3
0024 pf 07  0.762 -1.774  1.930 3
0024 pf 08  1.067 -1.696  2.004 3
0024 pf 09  0.950 -1.790  2.027 3
0024 pf 10  1.060 -1.519  1.853 3
0048 em 00  0.959 -1.405  1.701 3
0048 cf 00  0.905 -1.528  1.776 3
0048 pf 01  0.884 -1.407  1.662 3
0048 pf 02  1.048 -1.178  1.577 3
0048 pf 03  0.865 -1.410  1.654 3
0048 pf 04  1.055 -1.027  1.472 4
0048 pf 05  1.004 -1.541  1.839 3
0048 pf 06  0.885 -1.547  1.783 3
0048 pf 07  0.830 -1.378  1.609 3
0048 pf 08  1.077 -1.342  1.721 3
0048 pf 09  1.015 -1.528  1.835 3
0048 pf 10  0.895 -1.422  1.680 3
0072 em 00  1.273 -1.194  1.745 4
0072 cf 00  1.251 -1.264  1.778 3
0072 pf 01  1.363 -1.158  1.788 4
0072 pf 02  1.366 -0.854  1.611 4
0072 pf 03  1.133 -1.195  1.647 3
0072 pf 04  1.381 -0.898  1.648 4
0072 pf 05  1.284 -1.353  1.865 3
0072 pf 06  1.224 -1.331  1.808 3
0072 pf 07  1.066 -1.246  1.640 3
0072 pf 08  1.140 -1.166  1.631 3
0072 pf 09  1.482 -1.338  1.996 4
0072 pf 10  1.148 -1.229  1.682 3
0096 em 00  1.439 -0.987  1.745 4
0096 cf 00  1.534 -1.081  1.877 4
0096 pf 01  1.486 -1.061  1.825 4
0096 pf 02  1.354 -0.715  1.531 4
0096 pf 03  1.451 -0.762  1.639 4
0096 pf 04  1.351 -0.589  1.474 4
0096 pf 05  1.426 -1.323  1.945 4
0096 pf 06  1.537 -1.304  2.015 4
0096 pf 07  1.289 -1.079  1.681 4
0096 pf 08  1.310 -0.896  1.587 4
0096 pf 09  1.400 -0.898  1.664 4
0096 pf 10  1.507 -1.086  1.857 4
0120 em 00  1.408 -0.757  1.599 4
0120 cf 00  1.487 -0.813  1.695 4
0120 pf 01  1.591 -0.757  1.762 4
0120 pf 02  1.418 -0.597  1.538 4
0120 pf 03  1.436 -0.652  1.577 4
0120 pf 04  1.214 -0.530  1.325 4
0120 pf 05  1.628 -1.071  1.949 4
0120 pf 06  1.517 -1.015  1.825 4
0120 pf 07  1.196 -0.770  1.423 4
0120 pf 08  0.996 -0.698  1.216 4
0120 pf 09  1.463 -0.494  1.544 4
0120 pf 10  1.355 -0.896  1.625 4
0144 em 00  1.330 -0.492  1.418 4
0144 cf 00  1.413 -0.556  1.518 4
0144 pf 01  1.622 -0.590  1.726 4
0144 pf 02  1.237 -0.245  1.261 4
0144 pf 03  1.406 -0.516  1.498 4
0144 pf 04  1.052 -0.308  1.097 4
0144 pf 05  1.570 -0.781  1.753 4
0144 pf 06  1.478 -0.747  1.656 4
0144 pf 07  1.098 -0.474  1.196 4
0144 pf 08  0.722 -0.486  0.871 4
0144 pf 09  1.551 -0.082  1.553 4
0144 pf 10  1.291 -0.619  1.432 4
0168 em 00  1.173 -0.307  1.212 4
0168 cf 00  1.367 -0.290  1.397 4
0168 pf 01  1.592 -0.374  1.635 4
0168 pf 02  1.146 -0.094  1.150 4
0168 pf 03  1.221 -0.366  1.275 4
0168 pf 04  0.744 -0.051  0.746 4
0168 pf 05  1.349 -0.566  1.463 4
0168 pf 06  1.381 -0.578  1.497 4
0168 pf 07  0.813 -0.408  0.909 4
0168 pf 08  0.472 -0.357  0.592 4
0168 pf 09  1.452  0.045  1.453 5
0168 pf 10  1.220 -0.363  1.273 4
0192 em 00  0.948 -0.417  1.035 4
0192 cf 00  1.106 -0.302  1.146 4
0192 pf 01  1.376 -0.397  1.432 4
0192 pf 02  0.953 -0.252  0.986 4
0192 pf 03  1.000 -0.540  1.137 4
0192 pf 04  0.478 -0.063  0.482 4
0192 pf 05  1.319 -0.610  1.453 4
0192 pf 06  1.125 -0.594  1.272 4
0192 pf 07  0.538 -0.710  0.891 3
0192 pf 08  0.243 -0.444  0.506 3
0192 pf 09  1.107 -0.226  1.130 4
0192 pf 10  1.089 -0.469  1.186 4
0216 em 00  0.737 -0.682  1.004 4
0216 cf 00  0.735 -0.531  0.906 4
0216 pf 01  1.217 -0.481  1.308 4
0216 pf 02  0.666 -0.683  0.953 3
0216 pf 03  0.885 -0.838  1.219 4
0216 pf 04  0.301 -0.096  0.316 4
0216 pf 05  1.044 -0.773  1.299 4
0216 pf 06  1.065 -0.955  1.431 4
0216 pf 07  0.325 -1.123  1.169 3
0216 pf 08  0.017 -0.830  0.830 3
0216 pf 09  0.760 -0.718  1.045 4
0216 pf 10  1.042 -0.452  1.136 4
0240 em 00  0.840 -0.937  1.258 3
0240 cf 00  0.757 -0.821  1.117 3
0240 pf 01  1.410 -0.795  1.619 4
0240 pf 02  0.658 -0.924  1.134 3
0240 pf 03  1.174 -0.902  1.481 4
0240 pf 04  0.102 -0.535  0.544 3
0240 pf 05  1.186 -1.156  1.656 4
0240 pf 06  1.317 -1.193  1.777 4
0240 pf 07  0.639 -1.303  1.452 3
0240 pf 08  0.271 -1.063  1.097 3
0240 pf 09  0.677 -0.956  1.171 3
0240 pf 10  0.980 -0.602  1.150 4
0264 em 00  1.034 -1.094  1.505 3
0264 cf 00  0.850 -0.897  1.236 3
0264 pf 01  1.463 -0.893  1.714 4
0264 pf 02  0.716 -1.051  1.272 3
0264 pf 03  1.455 -0.980  1.754 4
0264 pf 04  0.303 -0.789  0.845 3
0264 pf 05  1.368 -1.420  1.972 3
0264 pf 06  1.692 -1.292  2.129 4
0264 pf 07  1.038 -1.496  1.821 3
0264 pf 08  0.751 -1.397  1.586 3
0264 pf 09  0.773 -1.169  1.401 3
0264 pf 10  0.892 -0.615  1.084 4
0288 em 00  1.162 -1.096  1.597 4
0288 cf 00  1.051 -0.877  1.369 4
0288 pf 01  1.582 -0.679  1.721 4
0288 pf 02  0.815 -0.807  1.146 4
0288 pf 03  1.484 -0.935  1.754 4
0288 pf 04  0.489 -0.970  1.087 3
0288 pf 05  1.604 -1.404  2.131 4
0288 pf 06  1.870 -1.158  2.199 4
0288 pf 07  1.183 -1.603  1.992 3
0288 pf 08  1.105 -1.496  1.859 3
0288 pf 09  0.718 -1.483  1.648 3
0288 pf 10  0.813 -0.610  1.017 4
0312 em 00  1.233 -0.940  1.550 4
0312 cf 00  1.070 -0.693  1.275 4
0312 pf 01  1.417 -0.400  1.472 4
0312 pf 02  0.942 -0.828  1.254 4
0312 pf 03  1.389 -0.644  1.531 4
0312 pf 04  0.591 -1.032  1.189 3
0312 pf 05  1.586 -1.004  1.877 4
0312 pf 06  1.953 -0.732  2.086 4
0312 pf 07  1.392 -1.575  2.102 3
0312 pf 08  1.364 -1.314  1.894 4
0312 pf 09  0.715 -1.543  1.700 3
0312 pf 10  1.082 -0.553  1.215 4
0336 em 00  1.328 -0.683  1.493 4
0336 cf 00  1.050 -0.568  1.194 4
0336 pf 01  1.524  0.050  1.525 5
0336 pf 02  0.991 -0.806  1.278 4
0336 pf 03  1.236 -0.331  1.280 4
0336 pf 04  0.776 -0.969  1.241 3
0336 pf 05  1.843 -0.753  1.991 4
0336 pf 06  2.004 -0.334  2.031 4
0336 pf 07  1.771 -1.106  2.088 4
0336 pf 08  1.487 -0.984  1.783 4
0336 pf 09  0.653 -1.163  1.334 3
0336 pf 10  1.216 -0.525  1.325 4
0360 em 00  1.322 -0.579  1.444 4
0360 cf 00  1.109 -0.677  1.299 4
0360 pf 01  1.583  0.125  1.588 5
0360 pf 02  0.956 -0.981  1.370 3
0360 pf 03  0.964 -0.322  1.016 4
0360 pf 04  0.789 -0.721  1.069 4
0360 pf 05  1.958 -0.712  2.084 4
0360 pf 06  1.838 -0.131  1.842 4
0360 pf 07  1.843 -0.797  2.008 4
0360 pf 08  1.620 -0.847  1.828 4
0360 pf 09  0.724 -0.787  1.070 3
0360 pf 10  1.121 -0.499  1.227 4
0384 em 00  1.441 -0.509  1.528 4
0384 cf 00  1.266 -0.687  1.441 4
0384 pf 01  1.725  0.090  1.728 5
0384 pf 02  1.202 -0.840  1.466 4
0384 pf 03  0.623 -0.117  0.634 4
0384 pf 04  1.094 -0.703  1.300 4
0384 pf 05  2.173 -0.509  2.232 4
0384 pf 06  1.434 -0.058  1.435 4
0384 pf 07  1.918 -0.623  2.017 4
0384 pf 08  1.914 -0.909  2.119 4
0384 pf 09  0.997 -0.492  1.112 4
0384 pf 10  1.471 -0.737  1.645 4
0408 em 00  1.561 -0.357  1.602 4
0408 cf 00  1.384 -0.324  1.422 4
0408 pf 01  2.178 -0.001  2.178 4
0408 pf 02  1.225 -0.738  1.430 4
0408 pf 03  0.754  0.072  0.758 5
0408 pf 04  1.194 -0.551  1.314 4
0408 pf 05  2.362 -0.088  2.364 4
0408 pf 06  1.504 -0.054  1.505 4
0408 pf 07  1.733 -0.494  1.802 4
0408 pf 08  2.082 -0.655  2.183 4
0408 pf 09  1.166 -0.259  1.195 4
0408 pf 10  1.560 -0.825  1.765 4
