ecmf prod rf 2016012700 20220127 11 046
0024 em 00  0.629 -0.898  1.096 3
0024 cf 00  0.557 -0.881  1.042 3
0024 pf 01  0.617 -0.879  1.074 3
0024 pf 02  0.697 -0.954  1.181 3
0024 pf 03  0.515 -0.939  1.071 3
0024 pf 04  0.640 -0.939  1.136 3
0024 pf 05  0.582 -0.928  1.095 3
0024 pf 06  0.601 -0.784  0.988 3
0024 pf 07  0.712 -0.896  1.144 3
0024 pf 08  0.570 -0.912  1.076 3
0024 pf 09  0.708 -0.613  0.936 4
0024 pf 10  0.644 -0.977  1.170 3
0048 em 00  0.550 -0.769  0.946 3
0048 cf 00  0.554 -0.791  0.966 3
0048 pf 01  0.504 -0.749  0.903 3
0048 pf 02  0.623 -0.551  0.832 4
0048 pf 03  0.505 -0.877  1.012 3
0048 pf 04  0.441 -0.865  0.971 3
0048 pf 05  0.580 -0.762  0.958 3
0048 pf 06  0.516 -0.656  0.835 3
0048 pf 07  0.702 -0.960  1.189 3
0048 pf 08  0.448 -0.759  0.881 3
0048 pf 09  0.537 -0.519  0.747 4
0048 pf 10  0.542 -0.826  0.988 3
0072 em 00  0.559 -0.667  0.870 3
0072 cf 00  0.575 -0.694  0.901 3
0072 pf 01  0.565 -0.808  0.986 3
0072 pf 02  0.571 -0.334  0.661 4
0072 pf 03  0.605 -0.644  0.883 3
0072 pf 04  0.544 -1.009  1.146 3
0072 pf 05  0.604 -0.789  0.994 3
0072 pf 06  0.496 -0.381  0.626 4
0072 pf 07  0.739 -0.803  1.091 3
0072 pf 08  0.472 -0.638  0.794 3
0072 pf 09  0.398 -0.322  0.512 4
0072 pf 10  0.464 -0.779  0.907 3
0096 em 00  0.486 -0.899  1.022 3
0096 cf 00  0.507 -0.962  1.087 3
0096 pf 01  0.737 -0.923  1.181 3
0096 pf 02  0.461 -0.687  0.827 3
0096 pf 03  0.698 -0.830  1.085 3
0096 pf 04  0.497 -1.167  1.269 3
0096 pf 05  0.475 -0.908  1.025 3
0096 pf 06  0.313 -0.621  0.695 3
0096 pf 07  0.571 -0.882  1.051 3
0096 pf 08  0.363 -0.922  0.991 3
0096 pf 09  0.124 -0.819  0.828 3
0096 pf 10  0.467 -0.998  1.102 3
0120 em 00  0.476 -1.242  1.330 3
0120 cf 00  0.460 -1.290  1.369 3
0120 pf 01  0.737 -1.245  1.446 3
0120 pf 02  0.522 -1.077  1.196 3
0120 pf 03  0.789 -1.064  1.325 3
0120 pf 04  0.734 -1.610  1.769 3
0120 pf 05  0.548 -1.376  1.481 3
0120 pf 06  0.316 -1.012  1.060 3
0120 pf 07  0.284 -1.269  1.301 3
0120 pf 08  0.251 -1.178  1.204 3
0120 pf 09  0.007 -1.202  1.202 3
0120 pf 10  0.448 -1.138  1.223 3
0144 em 00  0.620 -1.273  1.416 3
0144 cf 00  0.652 -1.396  1.541 3
0144 pf 01  0.625 -1.231  1.381 3
0144 pf 02  0.709 -1.011  1.235 3
0144 pf 03  1.126 -0.901  1.442 4
0144 pf 04  1.060 -1.577  1.900 3
0144 pf 05  0.865 -1.479  1.713 3
0144 pf 06  0.526 -1.173  1.285 3
0144 pf 07  0.232 -1.254  1.275 3
0144 pf 08  0.249 -1.177  1.203 3
0144 pf 09  0.146 -1.302  1.310 3
0144 pf 10  0.487 -1.294  1.382 3
0168 em 00  0.635 -1.172  1.333 3
0168 cf 00  0.544 -1.355  1.460 3
0168 pf 01  0.646 -1.008  1.198 3
0168 pf 02  0.898 -0.792  1.198 4
0168 pf 03  1.072 -0.958  1.438 4
0168 pf 04  1.176 -1.263  1.725 3
0168 pf 05  0.755 -1.454  1.638 3
0168 pf 06  0.671 -0.833  1.069 3
0168 pf 07  0.182 -1.231  1.245 3
0168 pf 08  0.220 -1.231  1.250 3
0168 pf 09  0.118 -1.487  1.492 3
0168 pf 10  0.533 -1.075  1.200 3
0192 em 00  0.892 -1.225  1.516 3
0192 cf 00  0.775 -1.389  1.590 3
0192 pf 01  0.824 -0.881  1.206 3
0192 pf 02  0.942 -1.077  1.431 3
0192 pf 03  1.369 -1.062  1.733 4
0192 pf 04  1.421 -1.227  1.877 4
0192 pf 05  1.211 -1.688  2.077 3
0192 pf 06  1.025 -0.746  1.267 4
0192 pf 07  0.427 -1.214  1.286 3
0192 pf 08  0.427 -1.545  1.603 3
0192 pf 09  0.361 -1.391  1.437 3
0192 pf 10  0.855 -1.043  1.349 3
0216 em 00  1.221 -1.116  1.655 4
0216 cf 00  1.199 -1.237  1.723 3
0216 pf 01  1.183 -0.834  1.448 4
0216 pf 02  1.193 -0.903  1.496 4
0216 pf 03  1.791 -0.910  2.008 4
0216 pf 04  1.732 -0.848  1.928 4
0216 pf 05  1.826 -1.462  2.339 4
0216 pf 06  1.238 -0.845  1.499 4
0216 pf 07  0.554 -1.070  1.205 3
0216 pf 08  0.785 -1.564  1.750 3
0216 pf 09  0.500 -1.256  1.352 3
0216 pf 10  1.254 -1.142  1.696 4
0240 em 00  1.473 -1.194  1.896 4
0240 cf 00  1.643 -1.358  2.131 4
0240 pf 01  1.448 -0.958  1.736 4
0240 pf 02  1.563 -0.803  1.757 4
0240 pf 03  2.079 -1.052  2.330 4
0240 pf 04  1.791 -0.750  1.942 4
0240 pf 05  2.219 -1.592  2.731 4
0240 pf 06  1.537 -0.870  1.766 4
0240 pf 07  0.725 -1.086  1.306 3
0240 pf 08  1.195 -1.817  2.175 3
0240 pf 09  0.410 -1.605  1.657 3
0240 pf 10  1.409 -1.017  1.738 4
0264 em 00  1.544 -1.168  1.936 4
0264 cf 00  1.686 -1.343  2.156 4
0264 pf 01  1.308 -1.034  1.667 4
0264 pf 02  1.779 -1.022  2.051 4
0264 pf 03  1.952 -0.716  2.079 4
0264 pf 04  1.918 -0.561  1.999 4
0264 pf 05  2.363 -1.518  2.808 4
0264 pf 06  1.512 -0.754  1.690 4
0264 pf 07  1.052 -1.114  1.532 3
0264 pf 08  1.323 -1.816  2.247 3
0264 pf 09  0.494 -2.001  2.061 3
0264 pf 10  1.418 -0.745  1.601 4
0288 em 00  1.511 -1.215  1.939 4
0288 cf 00  1.753 -1.326  2.198 4
0288 pf 01  1.509 -1.249  1.959 4
0288 pf 02  1.609 -1.242  2.033 4
0288 pf 03  1.806 -0.591  1.900 4
0288 pf 04  2.063 -0.626  2.156 4
0288 pf 05  2.208 -1.687  2.778 4
0288 pf 06  1.334 -0.587  1.457 4
0288 pf 07  1.008 -1.170  1.545 3
0288 pf 08  1.324 -1.804  2.238 3
0288 pf 09  0.522 -2.274  2.333 3
0288 pf 10  1.316 -0.576  1.437 4
0312 em 00  1.548 -1.070  1.881 4
0312 cf 00  1.727 -1.089  2.042 4
0312 pf 01  1.521 -1.135  1.898 4
0312 pf 02  1.606 -1.496  2.195 4
0312 pf 03  1.993 -0.378  2.028 4
0312 pf 04  2.143 -0.169  2.150 4
0312 pf 05  2.512 -1.250  2.805 4
0312 pf 06  1.304 -0.391  1.361 4
0312 pf 07  0.675 -1.148  1.332 3
0312 pf 08  1.498 -1.470  2.099 4
0312 pf 09  0.692 -2.441  2.537 3
0312 pf 10  1.193 -0.581  1.327 4
0336 em 00  1.632 -0.897  1.862 4
0336 cf 00  2.001 -1.123  2.294 4
0336 pf 01  1.591 -0.905  1.830 4
0336 pf 02  1.736 -1.563  2.335 4
0336 pf 03  2.105 -0.210  2.116 4
0336 pf 04  2.108  0.266  2.125 5
0336 pf 05  2.766 -0.936  2.920 4
0336 pf 06  1.426 -0.158  1.435 4
0336 pf 07  0.973 -1.302  1.626 3
0336 pf 08  1.623 -0.983  1.897 4
0336 pf 09  0.642 -2.563  2.642 3
0336 pf 10  0.842 -0.198  0.865 4
0360 em 00  1.697 -0.631  1.810 4
0360 cf 00  2.071 -1.265  2.427 4
0360 pf 01  1.555 -0.180  1.565 4
0360 pf 02  1.683 -1.515  2.265 4
0360 pf 03  2.152 -0.003  2.152 4
0360 pf 04  2.124  0.640  2.218 5
0360 pf 05  2.755 -0.329  2.774 4
0360 pf 06  1.452  0.065  1.453 5
0360 pf 07  1.291 -1.316  1.843 3
0360 pf 08  1.941 -0.478  1.999 4
0360 pf 09  0.782 -2.668  2.781 3
0360 pf 10  0.716  0.294  0.774 5
0384 em 00  1.724 -0.322  1.754 4
0384 cf 00  1.838 -0.900  2.046 4
0384 pf 01  1.550  0.546  1.644 5
0384 pf 02  1.602 -1.234  2.022 4
0384 pf 03  2.206  0.494  2.261 5
0384 pf 04  1.951  0.811  2.113 5
0384 pf 05  2.553  0.089  2.554 5
0384 pf 06  1.526 -0.078  1.528 4
0384 pf 07  1.689 -1.180  2.061 4
0384 pf 08  2.254 -0.171  2.261 4
0384 pf 09  1.123 -2.393  2.643 3
0384 pf 10  0.518  0.640  0.823 6
0408 em 00  1.759  0.046  1.759 5
0408 cf 00  1.628 -0.157  1.636 4
0408 pf 01  1.462  1.121  1.842 5
0408 pf 02  1.775 -0.829  1.959 4
0408 pf 03  2.269  0.701  2.375 5
0408 pf 04  1.679  1.027  1.968 5
0408 pf 05  2.893  0.774  2.995 5
0408 pf 06  1.607 -0.079  1.609 4
0408 pf 07  1.868 -1.089  2.162 4
0408 pf 08  2.191  0.173  2.198 5
0408 pf 09  1.083 -1.934  2.216 3
0408 pf 10  0.725  0.946  1.191 6
0432 em 00  1.691  0.459  1.752 5
0432 cf 00  1.426  0.148  1.434 5
0432 pf 01  1.292  1.556  2.023 6
0432 pf 02  2.030 -0.492  2.089 4
0432 pf 03  2.533  0.791  2.654 5
0432 pf 04  1.530  1.914  2.451 6
0432 pf 05  2.752  1.714  3.242 5
0432 pf 06  1.319 -0.104  1.324 4
0432 pf 07  1.923 -0.429  1.970 4
0432 pf 08  1.967  0.495  2.029 5
