ecmf prod rf 2004101500 20201015 11 046
0024 em 00 -0.542  1.468  1.565 7
0024 cf 00 -0.564  1.425  1.532 7
0024 pf 01 -0.458  1.575  1.641 7
0024 pf 02 -0.539  1.291  1.399 7
0024 pf 03 -0.473  1.481  1.554 7
0024 pf 04 -0.573  1.483  1.589 7
0024 pf 05 -0.586  1.423  1.539 7
0024 pf 06 -0.521  1.564  1.649 7
0024 pf 07 -0.436  1.446  1.510 7
0024 pf 08 -0.581  1.360  1.479 7
0024 pf 09 -0.602  1.620  1.728 7
0024 pf 10 -0.474  1.380  1.459 7
0048 em 00 -0.824  1.483  1.697 7
0048 cf 00 -0.806  1.455  1.663 7
0048 pf 01 -0.850  1.754  1.949 7
0048 pf 02 -0.725  1.219  1.419 7
0048 pf 03 -0.729  1.580  1.741 7
0048 pf 04 -0.925  1.429  1.702 7
0048 pf 05 -0.920  1.454  1.721 7
0048 pf 06 -0.643  1.604  1.728 7
0048 pf 07 -0.876  1.344  1.604 7
0048 pf 08 -0.984  1.372  1.689 7
0048 pf 09 -0.895  1.564  1.802 7
0048 pf 10 -0.538  1.449  1.546 7
0072 em 00 -1.094  1.100  1.552 7
0072 cf 00 -1.030  1.086  1.496 7
0072 pf 01 -1.426  1.153  1.834 8
0072 pf 02 -0.975  0.942  1.356 8
0072 pf 03 -1.067  1.401  1.761 7
0072 pf 04 -1.269  0.918  1.566 8
0072 pf 05 -1.192  0.964  1.533 8
0072 pf 06 -0.906  1.440  1.701 7
0072 pf 07 -1.045  1.059  1.488 7
0072 pf 08 -1.117  0.918  1.446 8
0072 pf 09 -1.186  1.145  1.649 8
0072 pf 10 -0.608  1.076  1.236 7
0096 em 00 -1.218  0.728  1.419 8
0096 cf 00 -1.158  0.711  1.358 8
0096 pf 01 -1.708  0.484  1.775 8
0096 pf 02 -1.327  0.584  1.450 8
0096 pf 03 -1.422  0.993  1.734 8
0096 pf 04 -1.353  0.604  1.481 8
0096 pf 05 -1.169  0.635  1.330 8
0096 pf 06 -1.100  1.125  1.573 7
0096 pf 07 -0.894  0.816  1.210 8
0096 pf 08 -1.207  0.502  1.307 8
0096 pf 09 -1.214  0.759  1.432 8
0096 pf 10 -0.624  0.852  1.056 7
0120 em 00 -1.363  0.536  1.465 8
0120 cf 00 -1.228  0.517  1.332 8
0120 pf 01 -1.967  0.275  1.986 8
0120 pf 02 -1.351  0.407  1.411 8
0120 pf 03 -1.582  0.584  1.687 8
0120 pf 04 -1.439  0.497  1.523 8
0120 pf 05 -1.331  0.311  1.366 8
0120 pf 06 -1.204  0.950  1.533 8
0120 pf 07 -1.187  0.808  1.436 8
0120 pf 08 -1.378  0.177  1.389 8
0120 pf 09 -1.595  0.488  1.668 8
0120 pf 10 -0.466  0.944  1.053 7
0144 em 00 -1.509  0.284  1.535 8
0144 cf 00 -1.403  0.364  1.449 8
0144 pf 01 -1.948 -0.141  1.954 1
0144 pf 02 -1.447  0.117  1.452 8
0144 pf 03 -1.754  0.229  1.769 8
0144 pf 04 -1.610  0.207  1.623 8
0144 pf 05 -1.128  0.149  1.137 8
0144 pf 06 -1.345  0.546  1.451 8
0144 pf 07 -1.390  0.807  1.607 8
0144 pf 08 -1.755 -0.301  1.780 1
0144 pf 09 -1.797  0.259  1.816 8
0144 pf 10 -0.751  0.942  1.205 7
0168 em 00 -1.489 -0.030  1.489 1
0168 cf 00 -1.547  0.023  1.548 8
0168 pf 01 -1.605 -0.532  1.691 1
0168 pf 02 -1.524 -0.077  1.525 1
0168 pf 03 -1.806 -0.169  1.814 1
0168 pf 04 -1.436  0.108  1.440 8
0168 pf 05 -1.332 -0.101  1.336 1
0168 pf 06 -1.243 -0.073  1.245 1
0168 pf 07 -1.374  0.778  1.580 8
0168 pf 08 -1.555 -0.777  1.738 1
0168 pf 09 -2.003 -0.207  2.014 1
0168 pf 10 -0.691  0.813  1.067 7
0192 em 00 -1.326 -0.409  1.387 1
0192 cf 00 -1.356 -0.401  1.414 1
0192 pf 01 -1.376 -0.915  1.652 1
0192 pf 02 -1.301 -0.367  1.351 1
0192 pf 03 -1.674 -0.847  1.876 1
0192 pf 04 -1.274 -0.311  1.311 1
0192 pf 05 -1.261 -0.408  1.325 1
0192 pf 06 -0.866 -0.472  0.987 1
0192 pf 07 -1.430  0.609  1.554 8
0192 pf 08 -1.610 -1.258  2.043 1
0192 pf 09 -1.692 -0.576  1.788 1
0192 pf 10 -0.515  0.601  0.792 7
0216 em 00 -1.162 -0.684  1.349 1
0216 cf 00 -1.177 -0.583  1.314 1
0216 pf 01 -1.260 -1.287  1.801 2
0216 pf 02 -1.247 -0.659  1.410 1
0216 pf 03 -1.443 -1.232  1.898 1
0216 pf 04 -0.961 -0.338  1.018 1
0216 pf 05 -1.191 -0.548  1.311 1
0216 pf 06 -0.542 -0.814  0.978 2
0216 pf 07 -1.372  0.262  1.396 8
0216 pf 08 -1.496 -1.803  2.343 2
0216 pf 09 -1.565 -0.802  1.758 1
0216 pf 10 -0.347  0.463  0.578 7
0240 em 00 -0.920 -0.787  1.211 1
0240 cf 00 -0.833 -0.727  1.105 1
0240 pf 01 -0.896 -1.407  1.668 2
0240 pf 02 -1.091 -0.816  1.362 1
0240 pf 03 -1.264 -1.409  1.892 2
0240 pf 04 -0.991 -0.233  1.018 1
0240 pf 05 -1.066 -0.553  1.201 1
0240 pf 06 -0.071 -0.916  0.918 2
0240 pf 07 -1.494  0.287  1.521 8
0240 pf 08 -0.770 -2.275  2.402 2
0240 pf 09 -1.398 -0.752  1.587 1
0240 pf 10 -0.095  0.340  0.352 7
0264 em 00 -0.641 -0.835  1.052 2
0264 cf 00 -0.562 -0.884  1.048 2
0264 pf 01 -0.613 -1.398  1.527 2
0264 pf 02 -0.742 -0.952  1.207 2
0264 pf 03 -0.652 -1.625  1.751 2
0264 pf 04 -1.025 -0.456  1.122 1
0264 pf 05 -0.875 -0.627  1.076 1
0264 pf 06  0.147 -0.556  0.575 3
0264 pf 07 -1.396  0.092  1.399 8
0264 pf 08 -0.169 -2.330  2.336 2
0264 pf 09 -1.179 -0.736  1.390 1
0264 pf 10  0.140  0.494  0.514 6
0288 em 00 -0.441 -0.933  1.032 2
0288 cf 00 -0.455 -0.909  1.017 2
0288 pf 01 -0.399 -1.322  1.381 2
0288 pf 02 -0.667 -1.301  1.462 2
0288 pf 03 -0.502 -1.753  1.823 2
0288 pf 04 -0.965 -0.638  1.157 1
0288 pf 05 -0.575 -0.687  0.896 2
0288 pf 06  0.215 -0.335  0.398 3
0288 pf 07 -1.241 -0.285  1.273 1
0288 pf 08  0.411 -2.463  2.497 3
0288 pf 09 -0.902 -0.921  1.289 2
0288 pf 10  0.318  0.563  0.647 6
0312 em 00 -0.348 -0.874  0.941 2
0312 cf 00 -0.281 -0.763  0.814 2
0312 pf 01 -0.377 -1.116  1.178 2
0312 pf 02 -0.444 -1.376  1.446 2
0312 pf 03 -0.330 -1.665  1.698 2
0312 pf 04 -0.782 -0.943  1.225 2
0312 pf 05 -0.679 -0.717  0.988 2
0312 pf 06  0.046  0.068  0.082 6
0312 pf 07 -1.126 -0.704  1.328 1
0312 pf 08  0.790 -2.181  2.320 3
0312 pf 09 -0.676 -0.786  1.036 2
0312 pf 10  0.118  0.818  0.827 6
0336 em 00 -0.267 -0.713  0.762 2
0336 cf 00 -0.329 -0.635  0.715 2
0336 pf 01 -0.248 -0.832  0.869 2
0336 pf 02 -0.280 -1.301  1.331 2
0336 pf 03 -0.178 -1.298  1.310 2
0336 pf 04 -0.460 -1.030  1.128 2
0336 pf 05 -0.669 -0.601  0.900 1
0336 pf 06 -0.316  0.549  0.634 7
0336 pf 07 -1.010 -0.765  1.267 1
0336 pf 08  1.189 -1.770  2.132 3
0336 pf 09 -0.519 -0.809  0.962 2
0336 pf 10 -0.050  0.927  0.928 7
0360 em 00 -0.261 -0.602  0.656 2
0360 cf 00 -0.416 -0.568  0.704 2
0360 pf 01 -0.508 -0.701  0.866 2
0360 pf 02 -0.360 -1.181  1.234 2
0360 pf 03 -0.011 -1.038  1.038 2
0360 pf 04 -0.338 -0.972  1.029 2
0360 pf 05 -0.813 -0.531  0.971 1
0360 pf 06 -0.518  0.634  0.818 7
0360 pf 07 -0.997 -0.464  1.099 1
0360 pf 08  1.494 -1.812  2.348 3
0360 pf 09 -0.127 -0.663  0.675 2
0360 pf 10 -0.233  0.911  0.940 7
0384 em 00 -0.462 -0.541  0.711 2
0384 cf 00 -0.784 -0.451  0.904 1
0384 pf 01 -1.058 -0.814  1.335 1
0384 pf 02 -0.317 -0.734  0.799 2
0384 pf 03  0.055 -0.942  0.944 3
0384 pf 04 -0.529 -0.736  0.906 2
0384 pf 05 -1.059 -0.440  1.147 1
0384 pf 06 -0.919  0.259  0.955 8
0384 pf 07 -1.072 -0.361  1.131 1
0384 pf 08  1.453 -1.946  2.429 3
0384 pf 09 -0.089 -0.309  0.321 2
0384 pf 10 -0.733  0.698  1.012 8
0408 em 00 -0.556 -0.503  0.750 1
0408 cf 00 -0.833 -0.549  0.997 1
0408 pf 01 -1.290 -0.800  1.518 1
0408 pf 02 -0.619 -0.695  0.931 2
0408 pf 03  0.146 -0.863  0.875 3
0408 pf 04 -0.512 -0.686  0.856 2
0408 pf 05 -1.027 -0.411  1.107 1
0408 pf 06 -1.029  0.235  1.056 8
0408 pf 07 -1.021 -0.405  1.099 1
0408 pf 08  1.373 -1.677  2.167 3
0408 pf 09 -0.187 -0.094  0.209 1
0408 pf 10 -1.104  0.562  1.239 8
0432 em 00 -0.527 -0.484  0.716 1
0432 cf 00 -0.856 -0.457  0.970 1
0432 pf 01 -1.296 -1.035  1.658 1
0432 pf 02 -0.768 -0.591  0.969 1
0432 pf 03  0.239 -1.035  1.062 3
0432 pf 04 -0.211 -0.336  0.396 2
0432 pf 05 -0.779 -0.457  0.903 1
0432 pf 06 -1.307  0.170  1.318 8
0432 pf 07 -0.787 -0.444  0.904 1
0432 pf 08  1.493 -1.332  2.001 4
0432 pf 09 -0.350 -0.137  0.376 1
0432 pf 10 -1.173  0.439  1.252 8
0456 em 00 -0.432 -0.531  0.685 2
0456 cf 00 -0.950 -0.444  1.049 1
0456 pf 01 -1.086 -1.131  1.568 2
0456 pf 02 -0.814 -0.794  1.137 1
0456 pf 03  0.397 -1.135  1.202 3
0456 pf 04 -0.113 -0.296  0.317 2
0456 pf 05 -0.612 -0.409  0.736 1
0456 pf 06 -1.382 -0.101  1.386 1
0456 pf 07 -0.652 -0.295  0.715 1
0456 pf 08  1.811 -1.026  2.081 4
0456 pf 09 -0.220 -0.252  0.334 2
0456 pf 10 -1.155  0.123  1.161 8
0480 em 00 -0.379 -0.624  0.730 2
0480 cf 00 -0.925 -0.428  1.019 1
0480 pf 01 -0.669 -1.121  1.305 2
0480 pf 02 -0.607 -0.835  1.033 2
0480 pf 03  0.261 -1.321  1.346 3
0480 pf 04 -0.147 -0.157  0.215 2
0480 pf 05 -0.635 -0.291  0.699 1
0480 pf 06 -1.592 -0.508  1.671 1
0480 pf 07 -0.647 -0.422  0.772 1
0480 pf 08  1.988 -0.977  2.215 4
0480 pf 09 -0.256 -0.372  0.452 2
0480 pf 10 -0.989 -0.362  1.053 1
0504 em 00 -0.324 -0.658  0.734 2
0504 cf 00 -0.756 -0.573  0.949 1
0504 pf 01 -0.464 -1.216  1.302 2
0504 pf 02 -0.778 -0.746  1.078 1
0504 pf 03  0.252 -1.341  1.364 3
0504 pf 04 -0.131  0.096  0.163 8
0504 pf 05 -0.598 -0.396  0.717 1
0504 pf 06 -1.466 -0.786  1.663 1
0504 pf 07 -0.784 -0.385  0.873 1
0504 pf 08  2.292 -0.672  2.388 4
0504 pf 09 -0.434 -0.364  0.566 1
0504 pf 10 -0.778 -0.809  1.122 2
0528 em 00 -0.276 -0.742  0.792 2
0528 cf 00 -0.688 -0.778  1.039 2
0528 pf 01 -0.344 -1.605  1.642 2
0528 pf 02 -0.820 -1.103  1.374 2
0528 pf 03  0.167 -1.581  1.589 3
0528 pf 04 -0.205  0.081  0.220 8
0528 pf 05 -0.333 -0.413  0.531 2
0528 pf 06 -1.348 -0.927  1.636 1
0528 pf 07 -0.853 -0.412  0.947 1
0528 pf 08  2.421 -0.336  2.445 4
0528 pf 09 -0.489 -0.182  0.522 1
0528 pf 10 -0.629 -0.892  1.092 2
0552 em 00 -0.247 -0.806  0.843 2
0552 cf 00 -0.510 -0.839  0.982 2
0552 pf 01 -0.130 -1.608  1.613 2
0552 pf 02 -0.845 -1.425  1.657 2
0552 pf 03  0.228 -1.814  1.828 3
0552 pf 04 -0.380 -0.215  0.437 1
0552 pf 05 -0.328 -0.284  0.433 1
0552 pf 06 -1.007 -0.975  1.402 1
0552 pf 07 -1.141 -0.572  1.277 1
0552 pf 08  2.380  0.122  2.384 5
0552 pf 09 -0.359 -0.268  0.447 1
0552 pf 10 -0.714 -0.978  1.211 2
0576 em 00 -0.238 -0.798  0.833 2
0576 cf 00 -0.362 -1.004  1.067 2
0576 pf 01  0.133 -1.408  1.414 3
0576 pf 02 -0.592 -1.344  1.468 2
0576 pf 03  0.352 -1.597  1.635 3
0576 pf 04 -0.567 -0.603  0.828 2
0576 pf 05 -0.879 -0.358  0.949 1
0576 pf 06 -0.823 -0.829  1.168 2
0576 pf 07 -1.010 -0.701  1.229 1
0576 pf 08  2.293  0.683  2.392 5
0576 pf 09 -0.369 -0.385  0.533 2
0576 pf 10 -0.873 -1.224  1.503 2
0600 em 00 -0.201 -0.677  0.707 2
0600 cf 00 -0.301 -1.275  1.310 2
0600 pf 01  0.169 -1.002  1.016 3
0600 pf 02 -0.317 -1.329  1.366 2
0600 pf 03  0.699 -1.167  1.360 3
0600 pf 04 -0.287 -0.303  0.418 2
0600 pf 05 -1.026 -0.277  1.062 1
0600 pf 06 -0.656 -0.834  1.061 2
0600 pf 07 -1.142 -0.756  1.370 1
0600 pf 08  2.064  1.209  2.392 5
0600 pf 09 -0.522 -0.539  0.750 2
0600 pf 10 -0.963 -1.200  1.539 2
0624 em 00 -0.137 -0.707  0.720 2
0624 cf 00 -0.363 -1.340  1.388 2
0624 pf 01  0.291 -0.618  0.683 3
0624 pf 02  0.136 -1.357  1.364 3
0624 pf 03  0.825 -0.941  1.251 3
0624 pf 04  0.059 -0.682  0.685 3
0624 pf 05 -1.050 -0.689  1.256 1
0624 pf 06 -0.445 -0.763  0.884 2
0624 pf 07 -1.152 -1.059  1.565 1
0624 pf 08  1.793  1.515  2.347 5
0624 pf 09 -0.689 -0.610  0.920 1
0624 pf 10 -0.981 -1.240  1.581 2
0648 em 00 -0.057 -0.692  0.694 2
0648 cf 00 -0.366 -1.189  1.244 2
0648 pf 01  0.553 -0.033  0.554 4
0648 pf 02  0.146 -1.614  1.621 3
0648 pf 03  0.618 -0.778  0.993 3
0648 pf 04  0.140 -0.936  0.946 3
0648 pf 05 -0.774 -0.529  0.937 1
0648 pf 06 -0.108 -0.473  0.486 2
0648 pf 07 -0.789 -1.109  1.361 2
0648 pf 08  1.223  1.381  1.844 6
0648 pf 09 -0.451 -1.010  1.106 2
0648 pf 10 -0.854 -1.331  1.582 2
0672 em 00  0.028 -0.680  0.680 3
0672 cf 00 -0.350 -1.266  1.314 2
0672 pf 01  0.578  0.362  0.682 5
0672 pf 02  0.439 -1.568  1.628 3
0672 pf 03  0.437 -0.876  0.980 3
0672 pf 04  0.235 -1.058  1.083 3
0672 pf 05 -0.512 -0.494  0.712 1
0672 pf 06  0.273 -0.155  0.314 4
0672 pf 07 -0.329 -1.115  1.163 2
0672 pf 08  0.593  1.407  1.526 6
0672 pf 09 -0.432 -1.223  1.297 2
0672 pf 10 -0.686 -1.515  1.663 2
0696 em 00  0.062 -0.567  0.570 3
0696 cf 00 -0.182 -1.072  1.088 2
0696 pf 01  0.384  0.469  0.606 6
0696 pf 02  0.607 -1.414  1.539 3
0696 pf 03  0.610 -0.598  0.854 4
0696 pf 04  0.534 -1.020  1.151 3
0696 pf 05 -0.510 -0.323  0.604 1
0696 pf 06 -0.038  0.187  0.190 7
0696 pf 07  0.037 -1.151  1.151 3
0696 pf 08  0.068  1.457  1.459 6
0696 pf 09 -0.320 -1.368  1.405 2
0696 pf 10 -0.573 -1.433  1.543 2
0720 em 00  0.143 -0.550  0.569 3
0720 cf 00  0.062 -0.970  0.972 3
0720 pf 01  0.204  0.480  0.522 6
0720 pf 02  0.789 -1.317  1.535 3
0720 pf 03  0.778 -0.354  0.855 4
0720 pf 04  0.752 -1.007  1.257 3
0720 pf 05 -0.413 -0.418  0.588 2
0720 pf 06 -0.337  0.452  0.564 7
0720 pf 07  0.242 -1.136  1.161 3
0720 pf 08 -0.141  1.193  1.201 7
0720 pf 09 -0.306 -1.622  1.651 2
0720 pf 10 -0.118 -1.397  1.402 2
0744 em 00  0.219 -0.475  0.523 3
0744 cf 00  0.323 -1.028  1.077 3
0744 pf 01 -0.007  0.647  0.647 7
0744 pf 02  0.706 -1.006  1.229 3
0744 pf 03  0.686 -0.152  0.703 4
0744 pf 04  0.842 -1.029  1.330 3
0744 pf 05 -0.195 -0.372  0.420 2
0744 pf 06 -0.462  0.544  0.713 7
0744 pf 07  0.578 -1.251  1.379 3
0744 pf 08 -0.155  0.994  1.006 7
0744 pf 09 -0.189 -1.483  1.495 2
0744 pf 10  0.220 -1.125  1.147 3
0768 em 00  0.330 -0.444  0.553 3
0768 cf 00  0.363 -1.187  1.242 3
0768 pf 01 -0.107  0.877  0.884 7
0768 pf 02  0.697 -0.920  1.154 3
0768 pf 03  0.592 -0.031  0.592 4
0768 pf 04  1.269 -0.964  1.593 4
0768 pf 05  0.023 -0.210  0.211 3
0768 pf 06 -0.431  0.694  0.817 7
0768 pf 07  0.786 -1.221  1.453 3
0768 pf 08 -0.031  0.699  0.700 7
0768 pf 09  0.124 -1.586  1.591 3
0768 pf 10  0.280 -1.054  1.090 3
0792 em 00  0.326 -0.339  0.470 3
0792 cf 00  0.289 -1.327  1.358 3
0792 pf 01 -0.352  0.871  0.939 7
0792 pf 02  0.757 -0.455  0.883 4
0792 pf 03  0.154  0.106  0.187 5
0792 pf 04  1.449 -0.683  1.602 4
0792 pf 05 -0.147  0.018  0.148 8
0792 pf 06 -0.429  0.523  0.677 7
0792 pf 07  1.021 -0.856  1.332 4
0792 pf 08  0.102  0.240  0.261 6
0792 pf 09  0.354 -1.548  1.588 3
0792 pf 10  0.331 -0.613  0.697 3
0816 em 00  0.346 -0.298  0.457 4
0816 cf 00  0.274 -1.356  1.383 3
0816 pf 01 -0.476  0.639  0.797 7
0816 pf 02  0.704 -0.239  0.744 4
0816 pf 03 -0.054  0.176  0.184 7
0816 pf 04  1.674 -0.358  1.712 4
0816 pf 05 -0.065  0.252  0.260 7
0816 pf 06 -0.386  0.297  0.487 8
0816 pf 07  0.848 -0.658  1.074 4
0816 pf 08  0.332  0.031  0.334 5
0816 pf 09  0.349 -1.685  1.721 3
0816 pf 10  0.559 -0.369  0.670 4
0840 em 00  0.377 -0.239  0.446 4
0840 cf 00  0.373 -1.291  1.344 3
0840 pf 01 -0.405  0.619  0.739 7
0840 pf 02  0.409 -0.334  0.528 4
0840 pf 03 -0.178  0.374  0.414 7
0840 pf 04  1.949  0.178  1.957 5
0840 pf 05  0.089  0.313  0.326 6
0840 pf 06 -0.355 -0.225  0.420 1
0840 pf 07  0.837 -0.478  0.964 4
0840 pf 08  0.688 -0.039  0.689 4
0840 pf 09  0.136 -1.828  1.833 3
0840 pf 10  0.543  0.100  0.552 5
0864 em 00  0.352 -0.149  0.382 4
0864 cf 00  0.408 -0.980  1.062 3
0864 pf 01 -0.479  0.467  0.669 8
0864 pf 02  0.400 -0.323  0.514 4
0864 pf 03 -0.467  0.460  0.655 8
0864 pf 04  1.772  0.380  1.812 5
0864 pf 05  0.338  0.614  0.700 6
0864 pf 06 -0.480 -0.298  0.565 1
0864 pf 07  0.629 -0.497  0.801 4
0864 pf 08  0.877  0.257  0.914 5
0864 pf 09  0.225 -1.908  1.921 3
0864 pf 10  0.586  0.191  0.616 5
0888 em 00  0.339 -0.013  0.339 4
0888 cf 00  0.336 -0.566  0.658 3
0888 pf 01 -0.422  0.349  0.547 8
0888 pf 02  0.528 -0.082  0.535 4
0888 pf 03 -0.819  0.263  0.860 8
0888 pf 04  1.416  0.297  1.447 5
0888 pf 05  0.577  0.927  1.092 6
0888 pf 06 -0.487 -0.519  0.712 2
0888 pf 07  0.474 -0.269  0.545 4
0888 pf 08  0.839  0.621  1.044 5
0888 pf 09  0.377 -1.932  1.968 3
0888 pf 10  0.844  0.735  1.119 5
0912 em 00  0.301 -0.048  0.305 4
0912 cf 00  0.346 -0.327  0.476 4
0912 pf 01 -0.279  0.185  0.334 8
0912 pf 02  0.443 -0.117  0.458 4
0912 pf 03 -0.916 -0.153  0.929 1
0912 pf 04  1.442  0.054  1.443 5
0912 pf 05  0.452  1.255  1.334 6
0912 pf 06 -0.323 -0.562  0.648 2
0912 pf 07  0.314 -0.513  0.602 3
0912 pf 08  0.691  0.784  1.045 6
0912 pf 09  0.287 -1.977  1.997 3
0912 pf 10  0.775  0.804  1.117 6
0936 em 00  0.212 -0.041  0.216 4
0936 cf 00  0.238 -0.285  0.372 3
0936 pf 01 -0.221 -0.000  0.221 1
0936 pf 02  0.283  0.035  0.285 5
0936 pf 03 -1.078 -0.629  1.248 1
0936 pf 04  1.378  0.410  1.438 5
0936 pf 05  0.163  1.268  1.279 6
0936 pf 06 -0.000 -0.702  0.702 3
0936 pf 07  0.153 -0.800  0.815 3
0936 pf 08  0.548  1.292  1.403 6
0936 pf 09  0.321 -1.833  1.861 3
0936 pf 10  0.477  0.740  0.880 6
0960 em 00  0.137  0.030  0.140 5
0960 cf 00  0.070 -0.412  0.418 3
0960 pf 01 -0.047 -0.088  0.100 2
0960 pf 02  0.243  0.041  0.247 5
0960 pf 03 -1.051 -1.000  1.451 1
0960 pf 04  1.122  0.772  1.362 5
0960 pf 05 -0.123  1.523  1.528 7
0960 pf 06  0.278 -0.858  0.902 3
0960 pf 07  0.092 -0.569  0.576 3
0960 pf 08  0.549  1.536  1.631 6
0960 pf 09  0.428 -1.682  1.735 3
0960 pf 10 -0.081  1.018  1.021 7
0984 em 00  0.052  0.089  0.103 6
0984 cf 00  0.163 -0.634  0.655 3
0984 pf 01 -0.011 -0.050  0.051 2
0984 pf 02 -0.135  0.182  0.226 7
0984 pf 03 -0.875 -1.144  1.440 2
0984 pf 04  0.905  1.115  1.436 6
0984 pf 05 -0.330  1.480  1.516 7
0984 pf 06  0.298 -0.815  0.868 3
0984 pf 07 -0.122 -0.249  0.277 2
0984 pf 08  0.414  1.663  1.714 6
0984 pf 09  0.694 -1.602  1.746 3
0984 pf 10 -0.418  0.976  1.062 7
1008 em 00  0.015 -0.022  0.027 3
1008 cf 00  0.282 -0.769  0.819 3
1008 pf 01  0.107 -0.341  0.357 3
1008 pf 02 -0.263 -0.384  0.465 2
1008 pf 03 -0.449 -1.175  1.257 2
