ecmf prod rf 1996071300 20150713 11 046
0312 cf 00  0.298  0.006  0.298 5
0312 pf 01 -0.182 -0.016  0.182 1
0312 pf 02  0.579  0.291  0.648 5
0312 pf 03  0.291  0.365  0.467 6
0312 pf 04 -0.166 -0.139  0.216 1
0312 pf 05  0.622  0.742  0.969 6
0312 pf 06  0.371  0.265  0.457 5
0312 pf 07  0.061 -0.381  0.386 3
0312 pf 08  0.587  0.617  0.852 6
0312 pf 09  1.100  0.960  1.460 5
0312 pf 10  0.314  0.206  0.376 5
0336 em 00  0.284  0.297  0.411 6
0336 cf 00  0.143  0.062  0.156 5
0336 pf 01 -0.221 -0.116  0.249 1
0336 pf 02  0.372  0.645  0.745 6
0336 pf 03  0.556  0.668  0.869 6
0336 pf 04 -0.630 -0.302  0.699 1
0336 pf 05  0.445  0.628  0.770 6
0336 pf 06  0.546  0.388  0.670 5
0336 pf 07  0.009 -0.728  0.728 3
0336 pf 08  0.410  0.722  0.830 6
0336 pf 09  1.352  1.058  1.716 5
0336 pf 10  0.143  0.054  0.153 5
0360 em 00  0.211  0.366  0.422 6
0360 cf 00  0.196  0.161  0.254 5
0360 pf 01 -0.266  0.216  0.342 8
0360 pf 02  0.225  0.792  0.824 6
0360 pf 03  0.695  0.636  0.943 5
0360 pf 04 -0.856 -0.264  0.896 1
0360 pf 05  0.573  0.330  0.661 5
0360 pf 06  0.310  0.601  0.676 6
0360 pf 07 -0.175 -0.578  0.604 2
0360 pf 08  0.282  0.628  0.689 6
0360 pf 09  1.252  1.174  1.716 5
0360 pf 10  0.109  0.148  0.184 6
0384 em 00  0.210  0.392  0.444 6
0384 cf 00  0.176  0.194  0.262 6
0384 pf 01  0.023  0.024  0.033 6
0384 pf 02  0.124  0.872  0.880 6
0384 pf 03  0.614  0.854  1.052 6
0384 pf 04 -0.969 -0.316  1.019 1
0384 pf 05  0.938  0.158  0.951 5
0384 pf 06  0.500  0.637  0.810 6
0384 pf 07  0.009 -0.297  0.297 3
0384 pf 08  0.150  0.777  0.791 6
0384 pf 09  0.787  1.240  1.469 6
0384 pf 10 -0.009  0.014  0.016 7
0408 em 00  0.336  0.413  0.532 6
0408 cf 00  0.219  0.153  0.267 5
0408 pf 01  0.193 -0.313  0.368 3
0408 pf 02 -0.144  0.832  0.845 7
0408 pf 03  0.480  0.935  1.051 6
0408 pf 04 -0.938 -0.572  1.098 1
0408 pf 05  1.139  0.236  1.163 5
0408 pf 06  1.018  0.914  1.368 5
0408 pf 07  0.417 -0.137  0.439 4
0408 pf 08  0.295  1.153  1.190 6
0408 pf 09  0.702  1.055  1.267 6
0408 pf 10  0.352  0.126  0.374 5
0432 em 00  0.474  0.492  0.683 6
0432 cf 00  0.048 -0.015  0.051 4
0432 pf 01  0.378 -0.415  0.562 3
0432 pf 02  0.092  1.165  1.168 6
0432 pf 03  0.657  1.255  1.416 6
0432 pf 04 -0.674 -0.606  0.907 1
0432 pf 05  1.110  0.583  1.254 5
0432 pf 06  0.989  0.681  1.201 5
0432 pf 07  0.950  0.055  0.951 5
0432 pf 08  0.646  1.100  1.276 6
0432 pf 09  0.441  1.143  1.225 6
0432 pf 10  0.629  0.331  0.711 5
0456 em 00  0.541  0.649  0.845 6
0456 cf 00 -0.209 -0.021  0.210 1
0456 pf 01  0.658  0.080  0.663 5
0456 pf 02  0.029  1.184  1.185 6
0456 pf 03  0.740  1.512  1.684 6
0456 pf 04 -0.124 -0.381  0.400 2
0456 pf 05  1.237  0.652  1.398 5
0456 pf 06  0.665  0.779  1.025 6
0456 pf 07  1.140  0.426  1.218 5
0456 pf 08  0.943  1.152  1.489 6
0456 pf 09  0.045  1.124  1.125 6
0456 pf 10  0.886  0.494  1.015 5
0480 em 00  0.539  0.713  0.894 6
0480 cf 00 -0.076  0.118  0.141 7
0480 pf 01  0.547  0.633  0.837 6
0480 pf 02 -0.309  0.818  0.874 7
0480 pf 03  0.882  1.922  2.115 6
0480 pf 04  0.487 -0.624  0.791 3
0480 pf 05  1.051  0.514  1.170 5
0480 pf 06  0.405  0.794  0.892 6
0480 pf 07  1.204  0.621  1.355 5
0480 pf 08  0.851  1.319  1.570 6
0480 pf 09 -0.070  0.986  0.989 7
