ecmf prod rf 2018112400 20221124 11 046
0024 em 00 -0.510  1.484  1.569 7
0024 cf 00 -0.572  1.465  1.573 7
0024 pf 01 -0.511  1.572  1.653 7
0024 pf 02 -0.460  1.502  1.571 7
0024 pf 03 -0.581  1.556  1.661 7
0024 pf 04 -0.462  1.308  1.388 7
0024 pf 05 -0.508  1.447  1.533 7
0024 pf 06 -0.443  1.490  1.554 7
0024 pf 07 -0.531  1.390  1.488 7
0024 pf 08 -0.551  1.444  1.546 7
0024 pf 09 -0.477  1.416  1.494 7
0024 pf 10 -0.435  1.655  1.711 7
0048 em 00 -0.698  1.292  1.469 7
0048 cf 00 -0.755  1.286  1.491 7
0048 pf 01 -0.859  1.489  1.719 7
0048 pf 02 -0.522  1.353  1.450 7
0048 pf 03 -0.955  1.271  1.590 7
0048 pf 04 -0.457  1.192  1.276 7
0048 pf 05 -0.700  1.226  1.412 7
0048 pf 06 -0.690  1.348  1.514 7
0048 pf 07 -0.872  1.159  1.450 7
0048 pf 08 -0.682  1.272  1.444 7
0048 pf 09 -0.560  1.206  1.329 7
0048 pf 10 -0.528  1.337  1.437 7
0072 em 00 -1.151  1.063  1.566 8
0072 cf 00 -1.251  1.043  1.629 8
0072 pf 01 -1.501  1.183  1.911 8
0072 pf 02 -0.993  1.236  1.586 7
0072 pf 03 -1.401  0.991  1.716 8
0072 pf 04 -1.153  1.022  1.541 8
0072 pf 05 -0.939  0.957  1.341 7
0072 pf 06 -1.022  0.986  1.420 8
0072 pf 07 -1.246  0.899  1.536 8
0072 pf 08 -1.219  1.086  1.633 8
0072 pf 09 -0.912  0.968  1.330 7
0072 pf 10 -0.885  1.243  1.526 7
0096 em 00 -1.254  1.009  1.609 8
0096 cf 00 -1.379  0.936  1.667 8
0096 pf 01 -1.562  1.190  1.963 8
0096 pf 02 -1.112  1.247  1.671 7
0096 pf 03 -1.629  0.708  1.776 8
0096 pf 04 -1.266  1.115  1.687 8
0096 pf 05 -1.053  0.904  1.388 8
0096 pf 06 -1.124  0.909  1.446 8
0096 pf 07 -1.210  0.910  1.513 8
0096 pf 08 -1.460  0.931  1.732 8
0096 pf 09 -0.958  0.907  1.319 8
0096 pf 10 -0.907  1.259  1.552 7
0120 em 00 -1.360  0.743  1.549 8
0120 cf 00 -1.533  0.703  1.686 8
0120 pf 01 -1.966  0.734  2.099 8
0120 pf 02 -1.159  1.269  1.719 7
0120 pf 03 -1.823  0.230  1.838 8
0120 pf 04 -1.171  0.938  1.500 8
0120 pf 05 -1.053  0.691  1.259 8
0120 pf 06 -1.338  0.428  1.405 8
0120 pf 07 -1.273  0.503  1.369 8
0120 pf 08 -1.658  0.812  1.846 8
0120 pf 09 -0.982  0.720  1.217 8
0120 pf 10 -0.863  1.087  1.388 7
0144 em 00 -1.320  0.344  1.364 8
0144 cf 00 -1.516  0.114  1.520 8
0144 pf 01 -1.857  0.079  1.858 8
0144 pf 02 -1.190  1.069  1.599 8
0144 pf 03 -1.789 -0.362  1.825 1
0144 pf 04 -1.257  0.496  1.351 8
0144 pf 05 -0.884  0.275  0.926 8
0144 pf 06 -1.239  0.074  1.241 8
0144 pf 07 -1.061  0.085  1.064 8
0144 pf 08 -1.835  0.547  1.915 8
0144 pf 09 -0.987  0.467  1.092 8
0144 pf 10 -0.781  0.928  1.213 7
0168 em 00 -1.217 -0.039  1.217 1
0168 cf 00 -1.481 -0.405  1.535 1
0168 pf 01 -2.077 -0.586  2.158 1
0168 pf 02 -1.065  0.825  1.347 8
0168 pf 03 -1.436 -0.910  1.700 1
0168 pf 04 -0.838  0.136  0.849 8
0168 pf 05 -0.608  0.021  0.608 8
0168 pf 06 -1.205 -0.144  1.213 1
0168 pf 07 -0.961 -0.039  0.962 1
0168 pf 08 -1.865 -0.256  1.883 1
0168 pf 09 -0.817  0.275  0.862 8
0168 pf 10 -0.938  0.692  1.165 8
0192 em 00 -1.065 -0.659  1.253 1
0192 cf 00 -1.329 -1.202  1.792 1
0192 pf 01 -1.886 -1.563  2.450 1
0192 pf 02 -0.958  0.146  0.969 8
0192 pf 03 -0.931 -1.679  1.920 2
0192 pf 04 -0.440 -0.251  0.507 1
0192 pf 05 -0.383 -0.151  0.412 1
0192 pf 06 -1.119 -0.738  1.340 1
0192 pf 07 -0.756 -0.738  1.057 1
0192 pf 08 -2.018 -0.778  2.163 1
0192 pf 09 -0.826 -0.191  0.848 1
0192 pf 10 -1.001 -0.002  1.001 1
0216 em 00 -0.893 -0.982  1.327 2
0216 cf 00 -1.037 -1.449  1.782 2
0216 pf 01 -1.593 -1.933  2.505 2
0216 pf 02 -0.978 -0.156  0.991 1
0216 pf 03 -0.350 -2.163  2.192 2
0216 pf 04 -0.070 -0.268  0.277 2
0216 pf 05 -0.417 -0.465  0.625 2
0216 pf 06 -1.037 -1.157  1.553 2
0216 pf 07 -0.502 -0.854  0.991 2
0216 pf 08 -1.794 -1.251  2.187 1
0216 pf 09 -0.786 -0.570  0.971 1
0216 pf 10 -1.201 -0.440  1.279 1
