ecmf prod rf 2000102000 20161020 11 046
0024 em 00  1.699  0.867  1.907 5
0024 cf 00  1.667  0.825  1.860 5
0024 pf 01  1.621  0.814  1.814 5
0024 pf 02  1.693  0.950  1.941 5
0024 pf 03  1.679  0.926  1.918 5
0024 pf 04  1.791  0.909  2.009 5
0024 pf 05  1.702  0.775  1.870 5
0024 pf 06  1.593  0.813  1.788 5
0024 pf 07  1.691  0.949  1.939 5
0024 pf 08  1.637  0.842  1.841 5
0024 pf 09  1.681  0.731  1.833 5
0024 pf 10  1.701  0.846  1.899 5
0048 em 00  1.750  0.954  1.993 5
0048 cf 00  1.772  0.938  2.005 5
0048 pf 01  1.707  0.912  1.935 5
0048 pf 02  1.580  0.905  1.821 5
0048 pf 03  1.772  0.985  2.027 5
0048 pf 04  1.877  1.075  2.163 5
0048 pf 05  1.685  0.831  1.879 5
0048 pf 06  1.858  0.923  2.075 5
0048 pf 07  1.544  1.093  1.892 5
0048 pf 08  1.464  0.836  1.686 5
0048 pf 09  1.977  1.035  2.232 5
0048 pf 10  1.775  0.808  1.950 5
0072 em 00  1.817  0.943  2.047 5
0072 cf 00  1.867  0.897  2.071 5
0072 pf 01  1.735  0.996  2.001 5
0072 pf 02  1.672  0.803  1.855 5
0072 pf 03  1.717  1.061  2.019 5
0072 pf 04  1.882  1.052  2.155 5
0072 pf 05  1.718  0.943  1.959 5
0072 pf 06  1.963  0.974  2.192 5
0072 pf 07  1.654  0.963  1.914 5
0072 pf 08  1.785  0.941  2.018 5
0072 pf 09  1.957  1.001  2.198 5
0072 pf 10  1.835  0.596  1.929 5
0096 em 00  1.713  0.894  1.933 5
0096 cf 00  1.756  0.889  1.969 5
0096 pf 01  1.657  0.940  1.905 5
0096 pf 02  1.646  0.677  1.780 5
0096 pf 03  1.588  0.972  1.862 5
0096 pf 04  1.702  0.985  1.967 5
0096 pf 05  1.692  0.865  1.900 5
0096 pf 06  1.776  0.860  1.973 5
0096 pf 07  1.544  1.029  1.856 5
0096 pf 08  1.641  0.857  1.851 5
0096 pf 09  1.812  1.001  2.070 5
0096 pf 10  1.874  0.614  1.972 5
0120 em 00  1.623  0.951  1.881 5
0120 cf 00  1.637  0.937  1.886 5
0120 pf 01  1.379  0.767  1.578 5
