ecmf prod rf 2000101700 20161017 11 046
0024 em 00  2.019  0.329  2.046 5
0024 cf 00  1.893  0.321  1.920 5
0024 pf 01  1.988  0.364  2.022 5
0024 pf 02  2.135  0.277  2.153 5
0024 pf 03  1.912  0.356  1.945 5
0024 pf 04  1.995  0.239  2.009 5
0024 pf 05  1.957  0.374  1.992 5
0024 pf 06  2.054  0.299  2.076 5
0024 pf 07  2.065  0.382  2.100 5
0024 pf 08  1.936  0.284  1.957 5
0024 pf 09  2.041  0.371  2.074 5
0024 pf 10  1.969  0.274  1.988 5
0048 em 00  1.921  0.249  1.937 5
0048 cf 00  1.841  0.143  1.847 5
0048 pf 01  2.068  0.429  2.112 5
0048 pf 02  1.918  0.170  1.925 5
0048 pf 03  1.763  0.306  1.790 5
0048 pf 04  1.916  0.118  1.920 5
0048 pf 05  2.067  0.435  2.112 5
0048 pf 06  1.732  0.323  1.762 5
0048 pf 07  1.957  0.403  1.998 5
0048 pf 08  1.806 -0.051  1.807 4
0048 pf 09  1.911  0.340  1.941 5
0048 pf 10  1.898  0.049  1.899 5
0072 em 00  1.819  0.394  1.861 5
0072 cf 00  1.818  0.274  1.839 5
0072 pf 01  1.942  0.588  2.029 5
0072 pf 02  1.688  0.286  1.712 5
0072 pf 03  1.532  0.271  1.555 5
0072 pf 04  1.987  0.401  2.027 5
0072 pf 05  1.787  0.309  1.814 5
0072 pf 06  1.681  0.519  1.759 5
0072 pf 07  1.796  0.506  1.866 5
0072 pf 08  1.687  0.144  1.693 5
0072 pf 09  1.820  0.528  1.895 5
0072 pf 10  2.020  0.412  2.062 5
0096 em 00  1.919  0.584  2.006 5
0096 cf 00  1.890  0.429  1.938 5
0096 pf 01  1.918  0.894  2.116 5
0096 pf 02  1.825  0.433  1.876 5
0096 pf 03  1.629  0.376  1.672 5
0096 pf 04  2.253  0.685  2.354 5
0096 pf 05  1.911  0.645  2.017 5
0096 pf 06  1.583  0.720  1.739 5
0096 pf 07  1.854  0.692  1.979 5
0096 pf 08  2.031  0.315  2.055 5
0096 pf 09  1.869  0.650  1.979 5
0096 pf 10  2.094  0.455  2.143 5
0120 em 00  2.006  0.693  2.122 5
0120 cf 00  2.046  0.605  2.134 5
0120 pf 01  1.928  0.768  2.076 5
0120 pf 02  1.852  0.586  1.943 5
0120 pf 03  1.934  0.565  2.015 5
0120 pf 04  2.217  0.622  2.302 5
0120 pf 05  2.061  0.662  2.164 5
0120 pf 06  1.453  0.642  1.589 5
0120 pf 07  1.968  0.990  2.203 5
0120 pf 08  2.171  0.500  2.228 5
0120 pf 09  1.910  0.729  2.045 5
0120 pf 10  2.269  0.825  2.414 5
0144 em 00  2.039  0.788  2.186 5
0144 cf 00  2.099  0.693  2.211 5
0144 pf 01  1.923  0.727  2.056 5
0144 pf 02  1.768  0.572  1.858 5
0144 pf 03  1.821  0.809  1.992 5
0144 pf 04  2.333  1.044  2.556 5
0144 pf 05  1.943  0.581  2.028 5
0144 pf 06  1.463  0.685  1.616 5
0144 pf 07  1.920  1.066  2.196 5
0144 pf 08  2.321  0.717  2.429 5
0144 pf 09  2.050  0.750  2.183 5
0144 pf 10  2.570  0.886  2.718 5
0168 em 00  1.981  0.931  2.189 5
0168 cf 00  2.061  1.017  2.298 5
0168 pf 01  1.827  0.954  2.062 5
0168 pf 02  1.869  0.713  2.001 5
0168 pf 03  1.758  0.837  1.947 5
0168 pf 04  2.119  1.263  2.466 5
0168 pf 05  1.923  0.573  2.006 5
0168 pf 06  1.290  0.698  1.467 5
0168 pf 07  1.921  1.152  2.240 5
0168 pf 08  2.253  0.960  2.449 5
0168 pf 09  2.111  0.776  2.249 5
0168 pf 10  2.476  1.154  2.732 5
0192 em 00  1.786  1.104  2.099 5
0192 cf 00  1.850  1.148  2.177 5
0192 pf 01  1.516  0.863  1.744 5
0192 pf 02  1.581  0.835  1.788 5
0192 pf 03  1.602  1.143  1.968 5
0192 pf 04  1.713  1.533  2.299 5
0192 pf 05  2.165  0.749  2.291 5
0192 pf 06  1.185  1.091  1.611 5
0192 pf 07  1.596  0.955  1.860 5
0192 pf 08  2.123  1.295  2.487 5
0192 pf 09  2.133  0.978  2.347 5
0192 pf 10  2.038  1.380  2.461 5
0216 em 00  1.428  1.294  1.927 5
0216 cf 00  1.280  1.205  1.758 5
0216 pf 01  1.266  1.137  1.701 5
0216 pf 02  1.219  0.993  1.572 5
0216 pf 03  1.569  1.325  2.054 5
0216 pf 04  1.077  1.515  1.859 6
0216 pf 05  1.981  1.233  2.333 5
0216 pf 06  0.807  1.265  1.501 6
0216 pf 07  1.255  0.895  1.542 5
0216 pf 08  1.780  1.502  2.329 5
0216 pf 09  1.820  1.284  2.227 5
0216 pf 10  1.559  1.704  2.310 6
0240 em 00  1.106  1.471  1.841 6
0240 cf 00  0.913  1.323  1.607 6
0240 pf 01  1.070  1.174  1.589 6
0240 pf 02  0.893  1.117  1.430 6
0240 pf 03  1.144  1.310  1.739 6
0240 pf 04  0.812  1.544  1.745 6
0240 pf 05  1.667  1.374  2.160 5
0240 pf 06  0.783  1.624  1.803 6
0240 pf 07  0.686  0.854  1.095 6
0240 pf 08  1.668  1.934  2.554 6
0240 pf 09  1.347  1.618  2.105 6
0240 pf 10  1.120  2.119  2.397 6
0264 em 00  0.860  1.458  1.693 6
0264 cf 00  0.670  1.253  1.421 6
0264 pf 01  0.842  1.145  1.422 6
0264 pf 02  1.040  1.158  1.557 6
0264 pf 03  0.799  1.554  1.748 6
0264 pf 04  0.639  1.173  1.336 6
0264 pf 05  1.303  1.254  1.808 5
0264 pf 06  0.465  1.576  1.643 6
0264 pf 07  0.566  0.925  1.084 6
0264 pf 08  1.546  1.982  2.514 6
0264 pf 09  0.980  1.589  1.867 6
0264 pf 10  0.581  2.227  2.302 6
0288 em 00  0.590  1.367  1.489 6
0288 cf 00  0.662  1.064  1.253 6
0288 pf 01  0.654  1.258  1.418 6
0288 pf 02  0.950  0.922  1.324 5
0288 pf 03  0.374  1.428  1.476 6
0288 pf 04  0.443  1.054  1.143 6
0288 pf 05  0.947  1.216  1.542 6
0288 pf 06  0.054  1.423  1.424 6
0288 pf 07  0.408  0.882  0.971 6
0288 pf 08  0.986  1.860  2.106 6
0288 pf 09  0.685  1.480  1.631 6
0288 pf 10  0.334  2.262  2.287 6
0312 em 00  0.323  1.316  1.355 6
0312 cf 00  0.504  0.978  1.101 6
0312 pf 01  0.292  1.457  1.486 6
0312 pf 02  0.672  1.219  1.392 6
0312 pf 03 -0.058  1.123  1.125 7
0312 pf 04  0.358  0.900  0.968 6
0312 pf 05  0.816  1.289  1.526 6
0312 pf 06 -0.174  1.410  1.421 7
0312 pf 07 -0.039  0.804  0.805 7
0312 pf 08  0.584  1.781  1.874 6
0312 pf 09  0.330  1.194  1.239 6
0312 pf 10  0.296  2.144  2.164 6
0336 em 00  0.217  1.213  1.232 6
0336 cf 00  0.151  0.933  0.945 6
0336 pf 01  0.086  1.304  1.306 6
0336 pf 02  0.386  1.578  1.625 6
0336 pf 03 -0.072  0.830  0.833 7
0336 pf 04  0.291  0.858  0.906 6
0336 pf 05  1.154  1.543  1.926 6
0336 pf 06 -0.365  1.131  1.188 7
0336 pf 07 -0.059  0.431  0.435 7
0336 pf 08  0.395  1.640  1.687 6
0336 pf 09  0.175  1.108  1.122 6
0336 pf 10  0.278  1.829  1.850 6
0360 em 00  0.164  1.098  1.110 6
0360 cf 00  0.011  0.903  0.903 6
0360 pf 01  0.188  1.174  1.188 6
0360 pf 02  0.552  1.650  1.739 6
0360 pf 03 -0.205  0.973  0.994 7
0360 pf 04  0.182  0.650  0.675 6
0360 pf 05  1.265  1.552  2.003 6
0360 pf 06 -0.464  0.945  1.053 7
0360 pf 07 -0.087  0.163  0.185 7
0360 pf 08  0.279  1.351  1.379 6
0360 pf 09  0.198  1.211  1.227 6
0360 pf 10 -0.080  1.370  1.373 7
0384 em 00  0.114  1.107  1.113 6
0384 cf 00  0.147  0.868  0.881 6
0384 pf 01  0.190  1.245  1.260 6
0384 pf 02  0.285  1.704  1.728 6
0384 pf 03 -0.326  0.932  0.987 7
0384 pf 04  0.319  0.944  0.996 6
0384 pf 05  0.797  1.305  1.529 6
0384 pf 06 -0.538  0.622  0.822 7
0384 pf 07  0.203  0.108  0.230 5
0384 pf 08  0.322  1.444  1.479 6
0384 pf 09  0.364  1.427  1.473 6
0384 pf 10 -0.454  1.437  1.507 7
0408 em 00  0.028  1.108  1.108 6
0408 cf 00  0.132  0.857  0.867 6
0408 pf 01 -0.058  1.270  1.271 7
0408 pf 02 -0.050  1.823  1.824 7
0408 pf 03 -0.298  0.721  0.780 7
0408 pf 04  0.602  1.011  1.177 6
0408 pf 05  0.324  1.282  1.322 6
0408 pf 06 -0.568  0.333  0.658 8
0408 pf 07  0.564  0.345  0.661 5
0408 pf 08  0.030  1.461  1.461 6
0408 pf 09  0.289  1.712  1.737 6
0408 pf 10 -0.560  1.236  1.357 7
0432 em 00  0.078  1.049  1.051 6
0432 cf 00  0.138  0.824  0.835 6
0432 pf 01 -0.236  1.167  1.190 7
0432 pf 02 -0.512  1.697  1.773 7
0432 pf 03 -0.061  0.492  0.496 7
0432 pf 04  0.902  1.141  1.454 6
0432 pf 05  0.135  1.323  1.330 6
0432 pf 06 -0.480 -0.055  0.483 1
0432 pf 07  1.150  0.463  1.239 5
0432 pf 08  0.098  1.366  1.369 6
0432 pf 09  0.220  1.786  1.800 6
0432 pf 10 -0.381  1.213  1.271 7
0456 em 00  0.048  0.988  0.989 6
0456 cf 00  0.317  0.797  0.858 6
0456 pf 01 -0.631  1.047  1.222 7
0456 pf 02 -0.656  1.650  1.776 7
0456 pf 03  0.089  0.496  0.504 6
0456 pf 04  0.882  1.153  1.452 6
0456 pf 05  0.086  1.540  1.542 6
0456 pf 06 -0.257 -0.187  0.318 1
0456 pf 07  1.175  0.272  1.206 5
0456 pf 08  0.100  1.412  1.415 6
0456 pf 09  0.183  1.632  1.642 6
0456 pf 10 -0.617  0.974  1.153 7
