ecmf prod rf 2003022500 20190225 11 046
0024 em 00  0.811  0.115  0.819 5
0024 cf 00  0.728  0.107  0.736 5
0024 pf 01  0.685  0.183  0.709 5
0024 pf 02  0.821  0.015  0.821 5
0024 pf 03  0.794  0.113  0.802 5
0024 pf 04  0.742 -0.050  0.744 4
0024 pf 05  0.758  0.173  0.778 5
0024 pf 06  0.970  0.041  0.971 5
0024 pf 07  0.696  0.177  0.718 5
0024 pf 08  0.801  0.074  0.804 5
0024 pf 09  0.829  0.163  0.845 5
0024 pf 10  0.926  0.303  0.974 5
0048 em 00  0.864  0.155  0.878 5
0048 cf 00  0.814  0.010  0.814 5
0048 pf 01  0.688  0.218  0.722 5
0048 pf 02  0.874 -0.084  0.878 4
0048 pf 03  0.799  0.063  0.802 5
0048 pf 04  1.015 -0.173  1.030 4
0048 pf 05  0.909  0.240  0.941 5
0048 pf 06  0.939  0.315  0.990 5
0048 pf 07  0.738  0.231  0.774 5
0048 pf 08  0.786  0.244  0.823 5
0048 pf 09  0.720  0.305  0.782 5
0048 pf 10  1.019  0.355  1.079 5
0072 em 00  0.816  0.175  0.834 5
0072 cf 00  0.826  0.032  0.827 5
0072 pf 01  0.592  0.153  0.612 5
0072 pf 02  0.997 -0.138  1.006 4
0072 pf 03  0.732  0.044  0.733 5
0072 pf 04  1.185  0.004  1.185 5
0072 pf 05  0.828  0.256  0.867 5
0072 pf 06  0.837  0.183  0.857 5
0072 pf 07  0.587  0.194  0.618 5
0072 pf 08  0.559  0.253  0.614 5
0072 pf 09  0.516  0.374  0.637 5
0072 pf 10  1.118  0.565  1.253 5
0096 em 00  0.975  0.211  0.997 5
0096 cf 00  1.054  0.060  1.056 5
0096 pf 01  0.703  0.334  0.778 5
0096 pf 02  1.333 -0.109  1.337 4
0096 pf 03  1.060  0.007  1.060 5
0096 pf 04  1.501  0.178  1.512 5
0096 pf 05  0.944  0.053  0.946 5
0096 pf 06  0.771  0.352  0.848 5
0096 pf 07  0.746  0.096  0.752 5
0096 pf 08  0.638  0.332  0.720 5
0096 pf 09  0.624  0.186  0.651 5
0096 pf 10  1.132  0.806  1.390 5
0120 em 00  1.042  0.186  1.058 5
0120 cf 00  1.278  0.165  1.288 5
0120 pf 01  0.641  0.242  0.685 5
0120 pf 02  1.459 -0.077  1.461 4
0120 pf 03  1.400 -0.005  1.400 4
0120 pf 04  1.609  0.257  1.630 5
0120 pf 05  0.996  0.104  1.001 5
0120 pf 06  0.871  0.309  0.925 5
0120 pf 07  0.901 -0.079  0.905 4
0120 pf 08  0.701  0.237  0.740 5
0120 pf 09  0.579 -0.042  0.580 4
0120 pf 10  0.818  0.909  1.222 6
0144 em 00  0.975  0.298  1.020 5
0144 cf 00  1.263  0.309  1.300 5
0144 pf 01  0.277  0.138  0.309 5
0144 pf 02  1.400  0.024  1.400 5
0144 pf 03  1.506  0.125  1.511 5
0144 pf 04  1.587  0.347  1.624 5
0144 pf 05  1.062  0.260  1.093 5
0144 pf 06  0.606  0.448  0.754 5
0144 pf 07  0.994 -0.097  0.998 4
0144 pf 08  0.648  0.353  0.738 5
0144 pf 09  0.435  0.164  0.465 5
0144 pf 10  0.740  1.163  1.378 6
0168 em 00  1.177  0.508  1.282 5
0168 cf 00  1.409  0.481  1.489 5
0168 pf 01  0.518  0.184  0.550 5
0168 pf 02  1.405  0.409  1.463 5
0168 pf 03  1.752  0.295  1.776 5
0168 pf 04  1.895  0.714  2.025 5
0168 pf 05  1.247  0.380  1.303 5
0168 pf 06  0.800  0.541  0.966 5
0168 pf 07  1.350  0.178  1.362 5
0168 pf 08  0.903  0.671  1.125 5
0168 pf 09  0.647  0.282  0.705 5
0168 pf 10  0.797  1.376  1.590 6
0192 em 00  1.250  0.461  1.332 5
0192 cf 00  1.498  0.257  1.520 5
0192 pf 01  0.828  0.100  0.834 5
0192 pf 02  1.380  0.523  1.476 5
0192 pf 03  1.865  0.499  1.931 5
0192 pf 04  1.730  0.784  1.899 5
0192 pf 05  1.184 -0.016  1.184 4
0192 pf 06  0.710  0.431  0.830 5
0192 pf 07  1.409  0.403  1.465 5
0192 pf 08  1.211  0.728  1.413 5
0192 pf 09  0.835  0.025  0.835 5
0192 pf 10  0.867  1.243  1.515 6
0216 em 00  1.093  0.386  1.159 5
0216 cf 00  1.351  0.179  1.363 5
0216 pf 01  0.804  0.048  0.805 5
0216 pf 02  1.221  0.357  1.272 5
0216 pf 03  1.643  0.386  1.687 5
0216 pf 04  1.518  0.649  1.651 5
0216 pf 05  0.974 -0.242  1.003 4
0216 pf 06  0.517  0.367  0.634 5
0216 pf 07  1.217  0.344  1.265 5
0216 pf 08  1.113  1.033  1.518 5
0216 pf 09  0.734 -0.072  0.738 4
0216 pf 10  0.724  1.088  1.307 6
0240 em 00  0.882  0.238  0.913 5
0240 cf 00  1.052  0.164  1.064 5
0240 pf 01  0.590  0.050  0.592 5
0240 pf 02  1.113  0.157  1.124 5
0240 pf 03  1.332  0.375  1.384 5
0240 pf 04  1.446  0.714  1.612 5
0240 pf 05  0.732 -0.455  0.862 4
0240 pf 06  0.460  0.251  0.524 5
0240 pf 07  1.226  0.118  1.231 5
0240 pf 08  0.794  0.794  1.123 6
0240 pf 09  0.462 -0.395  0.608 4
0240 pf 10  0.319  0.732  0.798 6
0264 em 00  0.677  0.188  0.702 5
0264 cf 00  0.720  0.228  0.756 5
0264 pf 01  0.347  0.048  0.350 5
0264 pf 02  0.733  0.069  0.736 5
0264 pf 03  0.973  0.447  1.070 5
0264 pf 04  0.969  0.744  1.222 5
0264 pf 05  0.850 -0.734  1.123 4
0264 pf 06  0.264  0.077  0.275 5
0264 pf 07  1.223  0.130  1.230 5
0264 pf 08  0.602  0.698  0.922 6
0264 pf 09  0.534 -0.330  0.628 4
0264 pf 10  0.109  0.571  0.582 6
0288 em 00  0.475  0.271  0.547 5
