Date_day0,RMM1(0),RMM2(0),RMM1(forecast),RMM2(forecast),RMM1(obs),RMM2(obs)
2000-01-02,-0.5048875212669373,-0.3698292374610901,-0.573,-0.608,-0.46778324246406555,-0.642181932926178
2000-01-06,-0.1094479113817215,-1.1234924793243408,0.18100000000000002,-1.6680000000000001,-0.1478528082370758,-1.3368223905563354
2000-01-09,0.3092012107372284,-1.0629550218582153,0.519,-1.6269999999999998,0.44070011377334595,-1.0224798917770386
2000-01-13,0.6534503698348999,-0.5248188376426697,0.9740000000000001,-0.812,0.5149142146110535,-0.30158156156539917
2000-01-16,0.3632969856262207,-0.33706358075141907,0.758,-0.44,0.18207556009292603,-0.3630818724632263
2000-01-20,0.09461519122123718,-0.22325293719768524,0.315,-0.313,-0.21237556636333466,-0.08270293474197388
2000-01-23,-0.6647732853889465,-0.15896299481391907,-0.48700000000000004,-0.247,-0.4309072494506836,-0.3030480146408081
2000-01-27,-0.5478533506393433,-0.6767758131027222,-0.7120000000000001,-0.97,-0.5066913962364197,-0.7272474765777588
2000-01-30,-0.12206332385540009,-0.9416945576667786,-0.18899999999999997,-1.27,0.05423256382346153,-1.0801459550857544
2000-02-03,0.005774322431534529,-1.1792749166488647,0.099,-1.7080000000000002,0.11079054325819016,-1.2450374364852905
2000-02-06,0.7604079246520996,-0.7043188214302063,0.8,-0.9359999999999999,0.8900450468063354,-0.4229658544063568
2000-02-10,0.3208513557910919,-0.04477040469646454,0.43700000000000006,-0.409,0.021159326657652855,-0.10985268652439117
2000-02-13,-0.23397625982761383,-0.4371630847454071,0.251,-0.9009999999999999,-0.5079066157341003,-0.8000878691673279
2000-02-17,0.13238760828971863,-1.5304287672042847,0.5379999999999999,-1.775,0.30231744050979614,-1.650923490524292
2000-02-20,1.1724613904953003,-1.5809342861175537,1.75,-1.534,1.3750141859054565,-1.248727798461914
2000-02-24,1.1805918216705322,-1.1073192358016968,1.551,-1.2919999999999998,1.0399476289749146,-1.1363439559936523
2000-02-27,1.098630666732788,-1.202126145362854,1.073,-1.041,1.193781852722168,-1.0796760320663452
2000-03-02,1.267158031463623,-0.8739400506019592,1.035,-0.9690000000000001,1.2849011421203613,-0.8732954263687134
2000-03-05,0.7445371150970459,-0.16680960357189178,0.868,-0.259,0.8271921873092651,-0.013883966021239758
2000-03-09,0.5946404933929443,0.35121843218803406,0.845,0.146,0.5779323577880859,0.21710734069347382
2000-03-12,0.7444543242454529,0.3320172429084778,1.024,0.273,0.7891930937767029,0.267208456993103
2000-03-16,0.41046640276908875,0.17009127140045166,0.85,0.057,0.4250596761703491,0.04401871934533119
2000-03-19,0.09687390923500061,0.14425508677959442,0.064,-0.043,-0.40895703434944153,-0.03939264640212059
2000-03-23,-1.2844898700714111,0.032416291534900665,-1.354,-0.141,-1.6139662265777588,-0.1334867775440216
2000-03-26,-1.1561095714569092,-0.48044294118881226,-0.843,-0.7190000000000001,-1.0369442701339722,-0.45148637890815735
2000-03-30,-0.7946490049362183,-0.088038370013237,-0.387,-0.307,-0.4765656590461731,-0.11592020094394684
2000-04-02,-0.08382225781679153,-0.33070555329322815,0.20800000000000002,-0.637,0.1509077101945877,-0.1789572834968567
2000-04-06,0.44094419479370117,-0.09836430847644806,0.662,-0.402,0.2363208830356598,0.03908861055970192
2000-04-09,-0.05721024051308632,0.2593685984611511,0.46799999999999997,0.09,-0.09480150043964386,0.11767861992120743
2000-04-13,0.15091244876384735,0.2140129953622818,0.392,0.105,0.36343154311180115,0.24117492139339447
2000-04-16,1.087019920349121,0.24284592270851135,1.166,0.042,1.2215303182601929,0.31216195225715637
2000-04-20,0.7610073089599609,0.814346432685852,0.7909999999999999,0.583,0.6067091226577759,0.6985175013542175
2000-04-23,0.4179474115371704,0.7780091762542725,0.564,0.736,0.23360778391361237,0.7941815257072449
2000-04-27,0.23395733535289764,0.9679967761039734,0.669,0.71,0.21435454487800598,0.8547669053077698
2000-04-30,0.40137094259262085,1.1266132593154907,0.9640000000000001,1.19,0.4530296325683594,1.5245215892791748
2000-05-04,0.21944674849510193,1.8226954936981201,0.34,1.6840000000000002,-0.01135797705501318,1.6439622640609741
2000-05-07,-0.28349658846855164,1.7660529613494873,-0.327,1.528,-0.3774378001689911,1.642712950706482
2000-05-11,-0.4001213014125824,1.2566853761672974,-0.66,0.922,-0.3130967319011688,1.2965753078460693
2000-05-14,-0.34634703397750854,1.1135728359222412,-0.122,0.593,-0.33560463786125183,1.0238455533981323
2000-05-18,-0.5625321269035339,0.3391963541507721,0.076,-0.446,-0.5613258481025696,0.16503506898880005
2000-05-21,-0.7480446696281433,0.20976334810256958,0.016,-0.55,-0.8762137293815613,0.12738242745399475
2000-05-25,-0.5771663188934326,0.10104849189519882,0.35,-0.145,-0.6355740427970886,0.06127150356769562
2000-05-28,-0.838822603225708,-0.11308220028877258,-0.17600000000000002,-0.016,-0.8673670291900635,-0.09443001449108124
2000-06-01,-0.30116355419158936,-0.721977710723877,0.11800000000000001,-0.608,-0.34629544615745544,-0.5394294857978821
2000-06-04,-0.42173728346824646,-0.5012522339820862,-0.04,-0.442,-0.3921452760696411,-0.6317035555839539
2000-06-08,-0.2536156177520752,-0.10890885442495346,0.256,0.231,-0.11954401433467865,0.22793617844581604
2000-06-11,-0.11037730425596237,0.39586585760116577,0.121,0.765,-0.14336439967155457,0.5825024843215942
2000-06-15,-1.0864617824554443,0.2954874634742737,-1.2830000000000001,0.307,-1.3958828449249268,0.19092200696468353
2000-06-18,-1.1929737329483032,-0.2776837944984436,-1.24,-0.25,-1.1298192739486694,-0.3468310832977295
2000-06-22,-0.7536708116531372,-0.5370641946792603,-0.706,-0.691,-0.42280542850494385,-0.47471511363983154
2000-06-25,0.16907329857349396,-0.0886908546090126,0.187,-0.282,0.1715838462114334,-0.06685514748096466
2000-06-29,0.331333726644516,-0.1656307578086853,0.45799999999999996,-0.41100000000000003,0.32425248622894287,-0.04301230609416962
2000-07-02,0.1687871515750885,0.07533412426710129,0.7040000000000001,-0.319,0.45782485604286194,0.3407951295375824
2000-07-06,1.1805108785629272,1.1214905977249146,1.716,0.9470000000000001,1.373078465461731,1.49936044216156
2000-07-09,1.4027166366577148,1.643834114074707,1.7280000000000002,1.357,0.8711522221565247,1.613840937614441
2000-07-13,-0.8625009059906006,1.918892741203308,-0.185,1.702,-1.1271902322769165,1.9189987182617188
2000-07-16,-1.3295361995697021,1.20454740524292,-0.6,1.148,-1.372139573097229,1.0688469409942627
2000-07-20,-1.553928256034851,0.2746652364730835,-1.517,0.35200000000000004,-1.5894640684127808,0.06260564923286438
2000-07-23,-1.271630048751831,-0.00418925192207098,-1.4280000000000002,0.28,-1.5949400663375854,0.09865555167198181
2000-07-27,-1.834122896194458,-0.09922678768634796,-1.956,-0.022000000000000002,-1.9791779518127441,-0.3278464078903198
2000-07-30,-2.207620859146118,-0.5734387040138245,-2.523,-0.547,-2.1881988048553467,-0.6358157396316528
