Date_day0,RMM1(0),RMM2(0),RMM1(forecast),RMM2(forecast),RMM1(obs),RMM2(obs)
2000-01-02,-0.5048875212669373,-0.3698292374610901,0.10400000000000001,-1.226,-0.1478528082370758,-1.3368223905563354
2000-01-06,-0.1094479113817215,-1.1234924793243408,0.555,-1.47,0.6086547374725342,-0.9012733101844788
2000-01-09,0.3092012107372284,-1.0629550218582153,0.779,-1.185,0.5149142146110535,-0.30158156156539917
2000-01-13,0.6534503698348999,-0.5248188376426697,0.327,-0.248,0.015620746649801731,-0.19416876137256622
2000-01-16,0.3632969856262207,-0.33706358075141907,-0.273,-0.35,-0.21237556636333466,-0.08270293474197388
2000-01-20,0.09461519122123718,-0.22325293719768524,-0.159,-0.155,-0.41315609216690063,-0.32544252276420593
2000-01-23,-0.6647732853889465,-0.15896299481391907,-0.792,-0.619,-0.5066913962364197,-0.7272474765777588
2000-01-27,-0.5478533506393433,-0.6767758131027222,-0.034,-1.526,-0.00609615771099925,-1.2123706340789795
2000-01-30,-0.12206332385540009,-0.9416945576667786,0.09300000000000001,-1.413,0.11079054325819016,-1.2450374364852905
2000-02-03,0.005774322431534529,-1.1792749166488647,0.626,-1.172,0.871886134147644,-0.3459116816520691
2000-02-06,0.7604079246520996,-0.7043188214302063,0.305,-0.8109999999999999,0.021159326657652855,-0.10985268652439117
2000-02-10,0.3208513557910919,-0.04477040469646454,-0.05,-1.304,-0.6678962707519531,-1.1724659204483032
2000-02-13,-0.23397625982761383,-0.4371630847454071,0.49,-1.744,0.30231744050979614,-1.650923490524292
2000-02-17,0.13238760828971863,-1.5304287672042847,1.8159999999999998,-1.045,1.5481597185134888,-1.1426547765731812
2000-02-20,1.1724613904953003,-1.5809342861175537,1.355,-1.185,1.0399476289749146,-1.1363439559936523
2000-02-24,1.1805918216705322,-1.1073192358016968,0.902,-0.8270000000000001,1.2743349075317383,-1.0534727573394775
