Bivariate Correlation,RMSE,Err Amp,Err Phase
0.9677210074625703,0.4346853458524139,-0.025119556803940245,-0.013180713676819007
0.9645960603447947,0.44639489274706623,-0.06601960434308426,-0.006852987829510965
0.9595144120639567,0.47317463754952965,-0.11003734671012416,0.004659896936556149
0.9534563097650381,0.5051013336093423,-0.15150564028814673,-0.050087336117499846
0.9450686108824575,0.5424569373825073,-0.18156502553982035,-0.033818069606834776
0.9360011301331771,0.5782633229428975,-0.20858010733437246,-0.008496144900188709
0.9237059508356691,0.6274694713273005,-0.24200641488179161,-0.050992064709670736
0.91171366835095,0.6665464420195486,-0.2704933582647351,-0.059887039507058766
0.897098410725287,0.7076110330844864,-0.2982962414615849,-0.0507464986313726
0.8809340600776504,0.7494756064184008,-0.32987543534204933,-0.01929624910522752
0.8624874074673385,0.792851864218429,-0.35658845786041643,-0.02894417448691944
0.8410515589011609,0.8384792270279096,-0.3855112859280256,-0.04100081080575262
0.8242764068524248,0.8682673634403452,-0.41031609672299624,-0.009936286105563602
0.803950559387377,0.9046014361318302,-0.43377338855816455,0.0025123220980869517
0.7830997579333935,0.9332157300977303,-0.4466434508541225,0.014039509671798803
0.7629762258922271,0.9564799860752576,-0.4568265651480656,-0.0014280228328534563
0.7436612070011852,0.9823649143309867,-0.47660452487621796,0.002105991836968181
0.7221743811495679,1.006454579933493,-0.4872409864634211,-0.05732471861576907
0.697257753616238,1.0307186501251466,-0.49815667885924503,-0.05257848297308259
0.6729481499218218,1.051829200868449,-0.5093932701769616,-0.005656959923857909
0.6527686581039002,1.0730347825878945,-0.5193276775864996,-0.044511223866629625
0.6316741111385604,1.0921722671119105,-0.5231819932285378,-0.04241686044397897
0.6068734845300849,1.1103850130860269,-0.5252643290786235,-0.05116246634567837
0.5881727393151979,1.1280162837677379,-0.540696051132119,-0.0625729816965717
0.5724306907524854,1.1440335511524804,-0.5527860471955679,-0.07313258959428863
