ecmf prod rf 1996031200 20150312 05 032
0024 em 00 -1.396  0.549  1.500 8
0024 cf 00 -1.377  0.558  1.486 8
0024 pf 01 -1.376  0.465  1.452 8
0024 pf 02 -1.501  0.625  1.626 8
0024 pf 03 -1.475  0.474  1.550 8
0024 pf 04 -1.186  0.582  1.321 8
0048 em 00 -1.298  0.130  1.304 8
0048 cf 00 -1.260  0.149  1.269 8
0048 pf 01 -1.227  0.081  1.229 8
0048 pf 02 -1.415  0.204  1.430 8
0048 pf 03 -1.325  0.041  1.325 8
0048 pf 04 -1.190  0.162  1.201 8
0072 em 00 -1.309 -0.173  1.321 1
0072 cf 00 -1.293 -0.136  1.301 1
0072 pf 01 -1.188 -0.243  1.213 1
0072 pf 02 -1.430 -0.051  1.431 1
0072 pf 03 -1.290 -0.257  1.315 1
0072 pf 04 -1.262 -0.165  1.273 1
0096 em 00 -1.384 -0.489  1.468 1
0096 cf 00 -1.335 -0.460  1.412 1
0096 pf 01 -1.201 -0.335  1.247 1
0096 pf 02 -1.550 -0.644  1.678 1
0096 pf 03 -1.381 -0.617  1.513 1
0096 pf 04 -1.366 -0.372  1.416 1
0120 em 00 -1.204 -0.998  1.564 1
0120 cf 00 -1.132 -0.976  1.495 1
0120 pf 01 -1.159 -0.793  1.404 1
0120 pf 02 -1.439 -1.130  1.830 1
0120 pf 03 -1.056 -1.193  1.594 2
0120 pf 04 -1.159 -0.870  1.449 1
0144 em 00 -0.937 -1.192  1.516 2
0144 cf 00 -0.826 -1.182  1.442 2
0144 pf 01 -0.972 -1.089  1.460 2
0144 pf 02 -1.260 -1.386  1.874 2
0144 pf 03 -0.657 -1.157  1.330 2
0144 pf 04 -0.908 -1.108  1.432 2
0168 em 00 -0.691 -1.488  1.641 2
0168 cf 00 -0.469 -1.489  1.561 2
0168 pf 01 -0.564 -1.473  1.578 2
0168 pf 02 -0.909 -1.737  1.961 2
0168 pf 03 -0.718 -1.431  1.601 2
0168 pf 04 -0.734 -1.250  1.450 2
0192 em 00 -0.429 -1.677  1.731 2
0192 cf 00 -0.222 -1.746  1.760 2
0192 pf 01 -0.175 -1.692  1.701 2
0192 pf 02 -0.394 -1.906  1.946 2
0192 pf 03 -0.590 -1.535  1.645 2
0192 pf 04 -0.709 -1.438  1.603 2
0216 em 00 -0.372 -1.714  1.754 2
0216 cf 00 -0.262 -1.836  1.855 2
0216 pf 01 -0.064 -1.624  1.626 2
0216 pf 02 -0.265 -1.997  2.014 2
0216 pf 03 -0.402 -1.617  1.667 2
0216 pf 04 -0.809 -1.433  1.645 2
0240 em 00 -0.283 -1.716  1.739 2
0240 cf 00 -0.335 -1.823  1.853 2
0240 pf 01 -0.010 -1.647  1.647 2
0240 pf 02 -0.100 -1.943  1.946 2
0240 pf 03 -0.339 -1.609  1.644 2
0240 pf 04 -0.571 -1.486  1.592 2
0264 em 00 -0.036 -1.752  1.752 2
0264 cf 00 -0.180 -1.759  1.768 2
0264 pf 01  0.320 -1.646  1.677 3
0264 pf 02  0.060 -1.894  1.895 3
0264 pf 03 -0.186 -1.754  1.763 2
0264 pf 04 -0.128 -1.621  1.626 2
0288 em 00  0.178 -1.655  1.665 3
0288 cf 00 -0.043 -1.746  1.747 2
