ecmf prod rf 2007091000 20180910 11 046
0024 em 00  0.808  0.723  1.084 5
0024 cf 00  0.792  0.696  1.054 5
0024 pf 01  0.776  0.653  1.014 5
0024 pf 02  0.698  0.566  0.899 5
0024 pf 03  0.865  0.665  1.091 5
0024 pf 04  0.782  0.885  1.181 6
0024 pf 05  0.799  0.816  1.142 6
0024 pf 06  0.898  0.775  1.186 5
0024 pf 07  0.672  0.558  0.874 5
0024 pf 08  0.831  0.860  1.195 6
0024 pf 09  0.724  0.707  1.011 5
0024 pf 10  0.925  0.719  1.172 5
0048 em 00  0.635  0.902  1.103 6
0048 cf 00  0.750  0.859  1.140 6
0048 pf 01  0.697  1.003  1.221 6
0048 pf 02  0.556  0.680  0.879 6
0048 pf 03  0.877  0.921  1.271 6
0048 pf 04  0.398  1.057  1.129 6
0048 pf 05  0.472  1.022  1.126 6
0048 pf 06  0.794  0.879  1.185 6
0048 pf 07  0.580  0.790  0.980 6
0048 pf 08  0.547  1.013  1.151 6
0048 pf 09  0.486  0.691  0.845 6
0048 pf 10  0.695  0.942  1.171 6
0072 em 00  0.517  0.906  1.043 6
0072 cf 00  0.697  0.828  1.082 6
0072 pf 01  0.750  0.924  1.190 6
0072 pf 02  0.591  0.629  0.863 6
0072 pf 03  0.676  1.285  1.452 6
0072 pf 04  0.278  1.027  1.064 6
0072 pf 05  0.435  0.825  0.933 6
0072 pf 06  0.538  0.772  0.941 6
0072 pf 07  0.370  0.849  0.926 6
0072 pf 08  0.174  0.824  0.842 6
0072 pf 09  0.552  0.816  0.985 6
0072 pf 10  0.526  1.110  1.228 6
0096 em 00  0.476  0.884  1.004 6
0096 cf 00  0.633  0.797  1.018 6
0096 pf 01  0.934  0.991  1.362 6
0096 pf 02  0.810  0.688  1.063 5
0096 pf 03  0.438  1.281  1.354 6
0096 pf 04  0.313  1.126  1.169 6
0096 pf 05  0.443  0.713  0.839 6
0096 pf 06  0.521  0.836  0.985 6
0096 pf 07  0.176  0.810  0.829 6
0096 pf 08 -0.188  0.686  0.711 7
0096 pf 09  0.490  0.672  0.831 6
0096 pf 10  0.590  1.059  1.212 6
0120 em 00  0.468  0.728  0.866 6
0120 cf 00  0.618  0.748  0.970 6
0120 pf 01  0.884  0.861  1.234 5
0120 pf 02  0.992  0.821  1.288 5
0120 pf 03  0.421  1.121  1.197 6
0120 pf 04  0.395  1.137  1.204 6
0120 pf 05  0.325  0.645  0.722 6
0120 pf 06  0.457  0.682  0.821 6
0120 pf 07  0.108  0.543  0.553 6
0120 pf 08 -0.175  0.311  0.357 7
0120 pf 09  0.359  0.296  0.465 5
