ecmf prod rf 2001121400 20171214 11 046
0024 em 00 -0.671  1.413  1.564 7
0024 cf 00 -0.745  1.433  1.615 7
0024 pf 01 -0.667  1.365  1.519 7
0024 pf 02 -0.625  1.480  1.607 7
0024 pf 03 -0.698  1.357  1.526 7
0024 pf 04 -0.539  1.427  1.526 7
0024 pf 05 -0.705  1.456  1.618 7
0024 pf 06 -0.587  1.395  1.514 7
0024 pf 07 -0.774  1.327  1.536 7
0024 pf 08 -0.694  1.356  1.524 7
0024 pf 09 -0.581  1.459  1.570 7
0024 pf 10 -0.563  1.426  1.533 7
0048 em 00 -0.614  1.477  1.599 7
0048 cf 00 -0.558  1.367  1.477 7
0048 pf 01 -0.534  1.485  1.578 7
0048 pf 02 -0.677  1.620  1.756 7
0048 pf 03 -0.532  1.327  1.430 7
0048 pf 04 -0.599  1.519  1.633 7
0048 pf 05 -0.662  1.408  1.556 7
0048 pf 06 -0.745  1.523  1.696 7
0048 pf 07 -0.562  1.411  1.519 7
0048 pf 08 -0.586  1.595  1.699 7
0048 pf 09 -0.400  1.465  1.519 7
0048 pf 10 -0.700  1.492  1.648 7
0072 em 00 -0.697  1.252  1.433 7
0072 cf 00 -0.660  1.202  1.372 7
0072 pf 01 -0.763  1.273  1.485 7
0072 pf 02 -0.871  1.230  1.507 7
0072 pf 03 -0.467  1.070  1.167 7
0072 pf 04 -0.427  1.215  1.288 7
0072 pf 05 -0.681  1.311  1.478 7
0072 pf 06 -0.742  1.157  1.374 7
0072 pf 07 -0.763  1.395  1.590 7
0072 pf 08 -0.670  1.110  1.297 7
0072 pf 09 -0.489  1.441  1.522 7
0072 pf 10 -0.937  1.375  1.664 7
0096 em 00 -0.935  1.108  1.449 7
0096 cf 00 -0.927  1.019  1.378 7
0096 pf 01 -0.926  1.282  1.582 7
0096 pf 02 -1.222  0.940  1.542 8
0096 pf 03 -0.687  1.014  1.224 7
0096 pf 04 -0.838  1.271  1.522 7
0096 pf 05 -0.998  0.997  1.411 8
0096 pf 06 -0.962  1.115  1.472 7
0096 pf 07 -0.898  1.158  1.466 7
0096 pf 08 -0.817  1.076  1.351 7
0096 pf 09 -0.663  1.090  1.276 7
0096 pf 10 -1.165  1.271  1.724 7
0120 em 00 -1.029  1.044  1.466 7
0120 cf 00 -0.980  1.056  1.440 7
0120 pf 01 -0.778  1.125  1.368 7
0120 pf 02 -1.437  0.796  1.643 8
0120 pf 03 -0.832  1.103  1.381 7
0120 pf 04 -0.926  1.342  1.630 7
0120 pf 05 -1.300  0.993  1.636 8
0120 pf 06 -1.043  0.986  1.435 8
0120 pf 07 -0.929  0.951  1.329 7
0120 pf 08 -0.905  0.933  1.300 7
0120 pf 09 -0.833  1.196  1.457 7
0120 pf 10 -1.200  1.063  1.603 8
0144 em 00 -1.134  0.941  1.474 8
0144 cf 00 -1.095  0.999  1.482 8
0144 pf 01 -0.789  1.298  1.519 7
0144 pf 02 -1.288  0.592  1.418 8
0144 pf 03 -1.120  0.928  1.454 8
0144 pf 04 -1.156  1.239  1.694 7
0144 pf 05 -1.193  0.788  1.430 8
0144 pf 06 -1.288  1.047  1.660 8
0144 pf 07 -1.221  0.777  1.447 8
0144 pf 08 -0.958  0.712  1.194 8
0144 pf 09 -1.012  1.121  1.511 7
0144 pf 10 -1.233  0.900  1.526 8
0168 em 00 -1.109  0.724  1.324 8
0168 cf 00 -1.064  0.885  1.384 8
0168 pf 01 -0.881  1.044  1.366 7
0168 pf 02 -1.059  0.181  1.075 8
0168 pf 03 -1.184  0.665  1.358 8
0168 pf 04 -1.285  0.867  1.550 8
0168 pf 05 -1.042  0.444  1.133 8
0168 pf 06 -1.183  0.889  1.480 8
0168 pf 07 -1.140  0.617  1.297 8
0168 pf 08 -1.050  0.677  1.249 8
0168 pf 09 -1.055  0.782  1.313 8
0168 pf 10 -1.197  0.985  1.551 8
0192 em 00 -1.227  0.563  1.350 8
0192 cf 00 -1.148  0.699  1.344 8
0192 pf 01 -1.348  0.815  1.575 8
0192 pf 02 -1.140  0.221  1.161 8
0192 pf 03 -1.128  0.552  1.255 8
0192 pf 04 -1.426  0.457  1.497 8
0192 pf 05 -1.112  0.163  1.124 8
0192 pf 06 -1.305  0.933  1.604 8
0192 pf 07 -1.060  0.455  1.153 8
0192 pf 08 -1.114  0.313  1.157 8
0192 pf 09 -1.289  0.580  1.414 8
0192 pf 10 -1.357  1.097  1.745 8
0216 em 00 -1.391  0.539  1.491 8
0216 cf 00 -1.234  0.522  1.340 8
0216 pf 01 -1.749  0.741  1.899 8
0216 pf 02 -1.080  0.271  1.114 8
0216 pf 03 -1.076  0.624  1.243 8
0216 pf 04 -1.761  0.364  1.798 8
0216 pf 05 -1.116  0.343  1.168 8
0216 pf 06 -1.518  0.967  1.800 8
0216 pf 07 -1.084  0.770  1.330 8
0216 pf 08 -1.373  0.158  1.382 8
0216 pf 09 -1.677  0.308  1.705 8
0216 pf 10 -1.541  0.952  1.811 8
0240 em 00 -1.301  0.648  1.453 8
0240 cf 00 -1.283  0.471  1.367 8
0240 pf 01 -1.578  0.944  1.838 8
0240 pf 02 -0.938  0.492  1.059 8
0240 pf 03 -1.094  0.815  1.365 8
0240 pf 04 -1.834  0.434  1.884 8
0240 pf 05 -1.033  0.184  1.049 8
0240 pf 06 -1.240  1.122  1.672 8
0240 pf 07 -0.783  0.768  1.097 8
0240 pf 08 -1.166  0.215  1.186 8
0240 pf 09 -1.678  0.771  1.847 8
0240 pf 10 -1.598  0.954  1.861 8
0264 em 00 -1.232  0.675  1.405 8
0264 cf 00 -1.310  0.531  1.414 8
0264 pf 01 -1.510  1.118  1.879 8
0264 pf 02 -0.766  0.689  1.030 8
0264 pf 03 -1.228  0.923  1.536 8
0264 pf 04 -1.908  0.414  1.953 8
0264 pf 05 -0.894  0.043  0.895 8
0264 pf 06 -0.962  1.131  1.485 7
0264 pf 07 -0.410  0.958  1.042 7
0264 pf 08 -1.159  0.062  1.161 8
0264 pf 09 -1.675  0.612  1.783 8
0264 pf 10 -1.662  0.973  1.926 8
0288 em 00 -1.134  0.771  1.372 8
0288 cf 00 -1.288  0.564  1.406 8
0288 pf 01 -1.399  1.117  1.790 8
0288 pf 02 -0.482  0.847  0.974 7
0288 pf 03 -1.124  1.099  1.572 8
0288 pf 04 -1.865  0.214  1.877 8
0288 pf 05 -0.706 -0.072  0.709 1
0288 pf 06 -0.865  1.390  1.637 7
0288 pf 07 -0.382  1.108  1.172 7
0288 pf 08 -1.029  0.301  1.072 8
0288 pf 09 -1.585  0.799  1.775 8
0288 pf 10 -1.667  1.137  2.017 8
0312 em 00 -1.123  0.794  1.376 8
0312 cf 00 -1.331  0.474  1.413 8
0312 pf 01 -1.155  1.170  1.644 7
0312 pf 02 -0.638  0.759  0.992 7
0312 pf 03 -0.982  1.166  1.525 7
0312 pf 04 -1.516  0.062  1.517 8
0312 pf 05 -0.801  0.356  0.876 8
0312 pf 06 -1.076  1.042  1.498 8
0312 pf 07 -0.632  1.301  1.446 7
0312 pf 08 -1.078  0.566  1.218 8
0312 pf 09 -1.499  0.853  1.725 8
0312 pf 10 -1.553  0.982  1.838 8
0336 em 00 -1.154  0.884  1.454 8
0336 cf 00 -1.443  0.249  1.464 8
0336 pf 01 -1.250  1.211  1.741 8
0336 pf 02 -0.556  0.913  1.069 7
0336 pf 03 -0.890  1.308  1.582 7
0336 pf 04 -1.587 -0.108  1.591 1
0336 pf 05 -1.047  0.631  1.223 8
0336 pf 06 -1.013  1.157  1.538 7
0336 pf 07 -0.821  1.388  1.612 7
0336 pf 08 -0.878  1.024  1.349 7
0336 pf 09 -1.572  1.010  1.868 8
0336 pf 10 -1.522  0.933  1.785 8
0360 em 00 -1.182  0.905  1.488 8
0360 cf 00 -1.426  0.195  1.439 8
0360 pf 01 -1.855  1.119  2.166 8
0360 pf 02 -0.328  1.056  1.106 7
0360 pf 03 -1.179  1.124  1.630 8
0360 pf 04 -1.590 -0.150  1.598 1
0360 pf 05 -0.890  0.270  0.930 8
0360 pf 06 -0.903  1.292  1.576 7
0360 pf 07 -0.853  1.535  1.756 7
0360 pf 08 -0.813  1.420  1.636 7
0360 pf 09 -1.590  0.975  1.865 8
0360 pf 10 -1.437  1.089  1.803 8
0384 em 00 -1.122  0.939  1.463 8
0384 cf 00 -1.280  0.301  1.315 8
