ecmf prod rf 2017022000 20230220 11 046
0024 em 00 -1.078 -0.943  1.433 1
0024 cf 00 -1.091 -0.907  1.419 1
0024 pf 01 -1.042 -0.977  1.428 1
0024 pf 02 -1.064 -0.849  1.361 1
0024 pf 03 -1.036 -1.017  1.452 1
0024 pf 04 -1.120 -0.970  1.482 1
0024 pf 05 -1.117 -1.029  1.519 1
0024 pf 06 -1.051 -0.972  1.431 1
0024 pf 07 -1.055 -0.807  1.328 1
0024 pf 08 -1.025 -0.871  1.345 1
0024 pf 09 -0.935 -0.976  1.351 2
0024 pf 10 -1.161 -0.928  1.487 1
0048 em 00 -1.152 -1.380  1.798 2
0048 cf 00 -1.137 -1.315  1.739 2
0048 pf 01 -1.084 -1.428  1.793 2
0048 pf 02 -1.170 -1.428  1.846 2
0048 pf 03 -0.977 -1.495  1.786 2
0048 pf 04 -1.540 -1.512  2.158 1
0048 pf 05 -1.137 -1.522  1.900 2
0048 pf 06 -0.936 -1.215  1.534 2
0048 pf 07 -1.196 -1.293  1.762 2
0048 pf 08 -1.153 -1.149  1.628 1
0048 pf 09 -0.950 -1.375  1.672 2
0048 pf 10 -1.220 -1.319  1.797 2
0072 em 00 -1.145 -1.533  1.913 2
0072 cf 00 -1.179 -1.457  1.874 2
0072 pf 01 -1.048 -1.409  1.756 2
0072 pf 02 -1.018 -1.620  1.913 2
0072 pf 03 -0.922 -1.647  1.888 2
0072 pf 04 -1.675 -1.754  2.425 2
0072 pf 05 -1.146 -1.760  2.101 2
0072 pf 06 -0.892 -1.415  1.673 2
0072 pf 07 -1.244 -1.396  1.870 2
0072 pf 08 -1.087 -1.295  1.691 2
0072 pf 09 -0.893 -1.370  1.635 2
0072 pf 10 -1.315 -1.594  2.066 2
0096 em 00 -1.240 -1.559  1.992 2
0096 cf 00 -1.155 -1.476  1.874 2
0096 pf 01 -1.038 -1.234  1.613 2
0096 pf 02 -1.045 -1.704  1.999 2
0096 pf 03 -1.069 -1.810  2.103 2
0096 pf 04 -1.968 -2.052  2.843 2
0096 pf 05 -1.291 -1.696  2.131 2
0096 pf 06 -0.822 -1.322  1.557 2
0096 pf 07 -1.545 -1.516  2.164 1
0096 pf 08 -1.113 -1.158  1.606 2
0096 pf 09 -1.150 -1.298  1.734 2
0096 pf 10 -1.278 -1.732  2.152 2
0120 em 00 -1.114 -1.399  1.788 2
0120 cf 00 -1.075 -1.323  1.705 2
