ecmf prod rf 1998061800 20150618 11 046
0024 em 00  0.347 -0.144  0.376 4
0024 cf 00  0.365 -0.132  0.388 4
0024 pf 01  0.320 -0.095  0.334 4
0024 pf 02  0.236 -0.108  0.260 4
0024 pf 03  0.364 -0.126  0.385 4
0024 pf 04  0.393 -0.090  0.404 4
0024 pf 05  0.477 -0.152  0.501 4
0024 pf 06  0.434 -0.295  0.525 4
0024 pf 07  0.274 -0.191  0.334 4
0024 pf 08  0.313 -0.136  0.341 4
0024 pf 09  0.215 -0.147  0.260 4
0024 pf 10  0.396 -0.188  0.438 4
0048 em 00  0.349 -0.435  0.558 3
0048 cf 00  0.428 -0.449  0.620 3
0048 pf 01  0.251 -0.424  0.493 3
0048 pf 02  0.157 -0.345  0.379 3
0048 pf 03  0.357 -0.360  0.507 3
0048 pf 04  0.372 -0.375  0.528 3
0048 pf 05  0.427 -0.356  0.556 4
0048 pf 06  0.484 -0.594  0.766 3
0048 pf 07  0.308 -0.615  0.688 3
0048 pf 08  0.190 -0.474  0.510 3
0048 pf 09  0.272 -0.335  0.431 3
0048 pf 10  0.574 -0.497  0.759 4
0072 em 00  0.706 -0.447  0.835 4
0072 cf 00  0.853 -0.525  1.002 4
0072 pf 01  0.574 -0.331  0.662 4
0072 pf 02  0.331 -0.322  0.462 4
0072 pf 03  0.651 -0.396  0.762 4
0072 pf 04  0.753 -0.341  0.826 4
0072 pf 05  0.657 -0.277  0.713 4
0072 pf 06  0.947 -0.729  1.195 4
0072 pf 07  0.635 -0.499  0.807 4
0072 pf 08  0.656 -0.613  0.897 4
0072 pf 09  0.592 -0.317  0.672 4
0072 pf 10  1.040 -0.587  1.194 4
0096 em 00  0.865 -0.462  0.981 4
0096 cf 00  0.945 -0.590  1.115 4
0096 pf 01  0.838 -0.324  0.899 4
0096 pf 02  0.527 -0.535  0.751 3
0096 pf 03  0.643 -0.491  0.808 4
0096 pf 04  0.826 -0.407  0.921 4
0096 pf 05  0.816 -0.186  0.837 4
0096 pf 06  1.124 -0.673  1.310 4
0096 pf 07  0.824 -0.498  0.963 4
0096 pf 08  0.735 -0.676  0.999 4
0096 pf 09  0.892 -0.203  0.915 4
0096 pf 10  1.253 -0.501  1.350 4
0120 em 00  1.058 -0.438  1.145 4
0120 cf 00  1.060 -0.514  1.178 4
0120 pf 01  1.080 -0.345  1.134 4
0120 pf 02  0.771 -0.620  0.989 4
0120 pf 03  0.921 -0.736  1.179 4
0120 pf 04  1.068 -0.438  1.154 4
0120 pf 05  0.923 -0.012  0.923 4
0120 pf 06  1.291 -0.592  1.420 4
0120 pf 07  1.046 -0.454  1.140 4
0120 pf 08  1.212 -0.558  1.334 4
0120 pf 09  0.838 -0.023  0.838 4
0120 pf 10  1.314 -0.514  1.411 4
0144 em 00  1.109 -0.492  1.213 4
0144 cf 00  1.209 -0.562  1.333 4
0144 pf 01  1.074 -0.398  1.146 4
0144 pf 02  0.953 -0.755  1.215 4
0144 pf 03  1.032 -0.502  1.148 4
0144 pf 04  1.299 -0.758  1.504 4
0144 pf 05  0.993  0.022  0.993 5
0144 pf 06  1.213 -0.457  1.296 4
0144 pf 07  1.062 -0.556  1.199 4
0144 pf 08  1.082 -0.747  1.314 4
0144 pf 09  0.980 -0.048  0.981 4
0144 pf 10  1.168 -0.592  1.310 4
0168 em 00  1.156 -0.565  1.286 4
0168 cf 00  1.261 -0.600  1.397 4
0168 pf 01  1.254 -0.507  1.353 4
0168 pf 02  1.032 -0.704  1.249 4
0168 pf 03  1.201 -0.647  1.364 4
0168 pf 04  1.312 -0.867  1.573 4
0168 pf 05  0.916 -0.310  0.967 4
0168 pf 06  1.235 -0.465  1.320 4
0168 pf 07  1.179 -0.698  1.370 4
0168 pf 08  0.981 -0.772  1.248 4
0168 pf 09  0.859 -0.165  0.875 4
0168 pf 10  1.328 -0.383  1.382 4
0192 em 00  1.179 -0.604  1.325 4
0192 cf 00  1.261 -0.580  1.388 4
0192 pf 01  1.449 -0.544  1.548 4
0192 pf 02  0.923 -0.953  1.327 3
0192 pf 03  1.367 -0.542  1.470 4
0192 pf 04  1.456 -0.943  1.735 4
0192 pf 05  0.728 -0.134  0.740 4
0192 pf 06  1.409 -0.562  1.517 4
0192 pf 07  1.162 -0.812  1.418 4
0192 pf 08  1.079 -0.873  1.388 4
0192 pf 09  0.802 -0.255  0.842 4
0192 pf 10  1.156 -0.324  1.201 4
0216 em 00  1.153 -0.729  1.364 4
0216 cf 00  1.191 -0.622  1.343 4
0216 pf 01  1.285 -0.794  1.510 4
0216 pf 02  1.139 -0.989  1.509 4
0216 pf 03  1.515 -0.515  1.600 4
0216 pf 04  1.458 -1.092  1.822 4
0216 pf 05  0.434 -0.443  0.620 3
0216 pf 06  1.615 -0.569  1.712 4
0216 pf 07  1.129 -0.908  1.448 4
0216 pf 08  1.095 -0.815  1.365 4
0216 pf 09  0.518 -0.546  0.753 3
0216 pf 10  1.114 -0.572  1.253 4
0240 em 00  1.212 -0.854  1.483 4
0240 cf 00  1.201 -0.850  1.471 4
0240 pf 01  1.433 -1.108  1.811 4
0240 pf 02  1.090 -1.158  1.590 3
0240 pf 03  1.446 -0.406  1.502 4
0240 pf 04  1.547 -1.268  2.000 4
0240 pf 05  0.234 -0.615  0.658 3
0240 pf 06  1.744 -0.456  1.803 4
0240 pf 07  1.256 -0.998  1.604 4
0240 pf 08  1.189 -0.845  1.459 4
0240 pf 09  0.693 -0.729  1.006 3
0240 pf 10  1.276 -0.799  1.506 4
0264 em 00  1.235 -0.967  1.569 4
0264 cf 00  1.074 -1.025  1.485 4
0264 pf 01  1.261 -1.378  1.868 3
0264 pf 02  1.107 -0.969  1.471 4
0264 pf 03  1.358 -0.392  1.413 4
0264 pf 04  1.592 -1.260  2.030 4
0264 pf 05  0.164 -0.972  0.986 3
0264 pf 06  1.952 -0.423  1.998 4
0264 pf 07  1.434 -0.837  1.661 4
0264 pf 08  1.581 -1.120  1.937 4
0264 pf 09  0.609 -1.087  1.246 3
0264 pf 10  1.207 -1.047  1.598 4
0288 em 00  1.310 -1.051  1.680 4
0288 cf 00  1.244 -0.918  1.545 4
0288 pf 01  1.583 -1.607  2.255 3
0288 pf 02  1.367 -1.037  1.716 4
0288 pf 03  1.102 -0.041  1.102 4
0288 pf 04  1.751 -1.423  2.256 4
0288 pf 05  0.567 -1.300  1.419 3
0288 pf 06  1.923 -0.552  2.001 4
0288 pf 07  1.339 -1.041  1.696 4
0288 pf 08  1.635 -1.158  2.004 4
0288 pf 09  0.372 -1.067  1.130 3
0288 pf 10  1.268 -1.275  1.798 3
0312 em 00  1.341 -0.862  1.594 4
0312 cf 00  1.442 -0.415  1.500 4
0312 pf 01  1.724 -1.301  2.160 4
0312 pf 02  1.538 -0.718  1.697 4
0312 pf 03  0.739 -0.015  0.739 4
0312 pf 04  1.847 -1.282  2.249 4
0312 pf 05  0.889 -1.074  1.395 3
0312 pf 06  1.829 -0.471  1.888 4
0312 pf 07  1.394 -0.773  1.594 4
0312 pf 08  1.496 -0.931  1.762 4
0312 pf 09  0.230 -1.075  1.099 3
0312 pf 10  1.383 -1.291  1.892 4
0336 em 00  1.504 -0.688  1.654 4
