ecmf prod rf 1998071200 20180712 11 046
0024 em 00  0.548 -1.023  1.161 3
0024 cf 00  0.474 -0.986  1.094 3
0024 pf 01  0.631 -1.015  1.195 3
0024 pf 02  0.470 -1.135  1.228 3
0024 pf 03  0.604 -0.979  1.150 3
0024 pf 04  0.357 -0.916  0.983 3
0024 pf 05  0.718 -1.054  1.275 3
0024 pf 06  0.520 -1.038  1.161 3
0024 pf 07  0.477 -0.974  1.085 3
0024 pf 08  0.611 -0.981  1.156 3
0024 pf 09  0.480 -1.060  1.164 3
0024 pf 10  0.625 -0.893  1.090 3
0048 em 00  0.646 -0.741  0.983 3
0048 cf 00  0.644 -0.773  1.007 3
0048 pf 01  0.562 -0.745  0.933 3
0048 pf 02  0.475 -0.828  0.954 3
0048 pf 03  0.643 -0.867  1.080 3
0048 pf 04  0.405 -0.515  0.655 3
0048 pf 05  0.790 -0.783  1.112 4
0048 pf 06  0.679 -0.657  0.945 4
0048 pf 07  0.655 -0.687  0.949 3
0048 pf 08  0.755 -0.745  1.060 4
0048 pf 09  0.757 -0.739  1.058 4
0048 pf 10  0.684 -0.619  0.923 4
0072 em 00  0.766 -0.546  0.941 4
0072 cf 00  0.720 -0.604  0.940 4
0072 pf 01  0.760 -0.473  0.895 4
0072 pf 02  0.688 -0.685  0.971 4
0072 pf 03  0.784 -0.778  1.104 4
0072 pf 04  0.462 -0.308  0.555 4
0072 pf 05  1.064 -0.497  1.174 4
0072 pf 06  0.693 -0.316  0.762 4
0072 pf 07  0.645 -0.581  0.869 4
0072 pf 08  0.758 -0.661  1.006 4
0072 pf 09  0.942 -0.565  1.098 4
0072 pf 10  0.839 -0.370  0.917 4
0096 em 00  0.774 -0.606  0.983 4
0096 cf 00  0.737 -0.742  1.046 3
0096 pf 01  0.572 -0.456  0.731 4
0096 pf 02  1.012 -0.740  1.254 4
0096 pf 03  0.751 -0.830  1.119 3
0096 pf 04  0.696 -0.288  0.753 4
0096 pf 05  1.017 -0.490  1.129 4
0096 pf 06  0.758 -0.444  0.879 4
0096 pf 07  0.603 -0.802  1.004 3
0096 pf 08  0.499 -0.716  0.873 3
0096 pf 09  0.928 -0.695  1.159 4
0096 pf 10  0.809 -0.270  0.853 4
0120 em 00  0.816 -0.507  0.961 4
0120 cf 00  0.829 -0.711  1.092 4
0120 pf 01  0.592 -0.550  0.808 4
0120 pf 02  1.040 -0.648  1.225 4
0120 pf 03  0.782 -0.572  0.969 4
0120 pf 04  0.852 -0.088  0.856 4
0120 pf 05  0.896 -0.210  0.921 4
0120 pf 06  0.914 -0.276  0.954 4
0120 pf 07  0.563 -0.806  0.983 3
0120 pf 08  0.557 -0.790  0.967 3
0120 pf 09  0.882 -0.649  1.095 4
0120 pf 10  0.899 -0.051  0.901 4
0144 em 00  0.665 -0.337  0.745 4
0144 cf 00  0.716 -0.554  0.905 4
0144 pf 01  0.305 -0.299  0.427 4
0144 pf 02  1.025 -0.657  1.217 4
0144 pf 03  0.516 -0.283  0.589 4
0144 pf 04  0.797  0.172  0.815 5
0144 pf 05  0.487 -0.076  0.493 4
0144 pf 06  0.838 -0.221  0.867 4
0144 pf 07  0.450 -0.512  0.682 3
0144 pf 08  0.560 -0.679  0.880 3
0144 pf 09  0.697 -0.419  0.814 4
0144 pf 10  0.754  0.034  0.754 5
0168 em 00  0.566 -0.208  0.602 4
0168 cf 00  0.689 -0.410  0.802 4
0168 pf 01  0.035 -0.184  0.188 3
0168 pf 02  1.170 -0.451  1.254 4
0168 pf 03  0.251 -0.186  0.312 4
0168 pf 04  0.607  0.442  0.751 5
0168 pf 05  0.280  0.061  0.286 5
0168 pf 06  0.458  0.017  0.459 5
0168 pf 07  0.607 -0.444  0.752 4
0168 pf 08  0.446 -0.601  0.749 3
0168 pf 09  0.823 -0.360  0.898 4
0168 pf 10  0.710  0.032  0.711 5
0192 em 00  0.657 -0.123  0.668 4
0192 cf 00  0.870 -0.198  0.892 4
0192 pf 01  0.074 -0.018  0.076 4
0192 pf 02  1.337 -0.157  1.347 4
0192 pf 03  0.285 -0.087  0.298 4
0192 pf 04  0.833  0.696  1.085 5
0192 pf 05  0.146 -0.206  0.253 3
0192 pf 06  0.323  0.100  0.339 5
0192 pf 07  0.744 -0.404  0.846 4
0192 pf 08  0.666 -0.432  0.794 4
0192 pf 09  1.126 -0.485  1.226 4
0192 pf 10  0.636  0.019  0.636 5
0216 em 00  0.911  0.068  0.913 5
0216 cf 00  1.141 -0.039  1.142 4
0216 pf 01  0.252  0.329  0.415 6
0216 pf 02  1.485  0.018  1.485 5
0216 pf 03  0.427  0.192  0.468 5
0216 pf 04  1.020  0.813  1.305 5
0216 pf 05  0.537 -0.669  0.858 3
0216 pf 06  0.691  0.349  0.774 5
0216 pf 07  0.981 -0.154  0.993 4
0216 pf 08  1.178 -0.001  1.178 4
0216 pf 09  1.412 -0.246  1.433 4
0216 pf 10  0.635  0.302  0.703 5
0240 em 00  1.007  0.126  1.015 5
0240 cf 00  1.284  0.120  1.289 5
0240 pf 01  0.366  0.331  0.493 5
0240 pf 02  1.405  0.070  1.406 5
0240 pf 03  0.584  0.212  0.622 5
0240 pf 04  0.861  0.849  1.209 5
0240 pf 05  0.600 -0.525  0.797 4
0240 pf 06  0.953  0.543  1.096 5
0240 pf 07  1.220 -0.108  1.225 4
0240 pf 08  1.167  0.142  1.176 5
0240 pf 09  1.558 -0.303  1.587 4
0240 pf 10  0.799  0.186  0.820 5
0264 em 00  1.004  0.208  1.025 5
0264 cf 00  1.316  0.280  1.346 5
0264 pf 01  0.417  0.366  0.554 5
0264 pf 02  1.171 -0.044  1.172 4
0264 pf 03  0.805  0.297  0.858 5
0264 pf 04  0.671  0.930  1.146 6
0264 pf 05  0.778 -0.567  0.962 4
0264 pf 06  0.930  0.694  1.160 5
0264 pf 07  1.278 -0.147  1.287 4
0264 pf 08  1.035  0.589  1.191 5
0264 pf 09  1.738 -0.187  1.748 4
0264 pf 10  0.599  0.169  0.622 5
0288 em 00  0.972  0.254  1.005 5
0288 cf 00  1.365  0.418  1.427 5
0288 pf 01  0.276  0.274  0.389 5
0288 pf 02  1.144  0.112  1.149 5
0288 pf 03  0.932  0.287  0.975 5
0288 pf 04  0.324  0.854  0.914 6
0288 pf 05  0.841 -0.508  0.982 4
0288 pf 06  0.936  0.892  1.293 5
0288 pf 07  1.084 -0.285  1.121 4
0288 pf 08  0.995  0.823  1.292 5
0288 pf 09  1.795 -0.170  1.803 4
0288 pf 10  0.679  0.157  0.697 5
0312 em 00  0.943  0.225  0.969 5
0312 cf 00  1.386  0.270  1.412 5
0312 pf 01  0.121  0.220  0.251 6
0312 pf 02  0.969  0.130  0.978 5
0312 pf 03  0.994  0.365  1.059 5
0312 pf 04  0.143  0.683  0.698 6
0312 pf 05  0.906 -0.370  0.979 4
0312 pf 06  0.785  0.982  1.257 6
0312 pf 07  1.165 -0.369  1.222 4
0312 pf 08  0.908  0.723  1.161 5
0312 pf 09  1.800 -0.260  1.819 4
0312 pf 10  0.886  0.142  0.898 5
0336 em 00  0.915  0.150  0.927 5
0336 cf 00  1.319  0.249  1.342 5
0336 pf 01  0.352  0.254  0.434 5
0336 pf 02  0.780  0.090  0.785 5
0336 pf 03  1.071  0.602  1.228 5
0336 pf 04  0.073  0.399  0.406 6
0336 pf 05  0.825 -0.037  0.826 4
0336 pf 06  0.523  0.512  0.732 5
0336 pf 07  1.349 -0.600  1.477 4
0336 pf 08  0.669  0.508  0.840 5
0336 pf 09  1.741 -0.260  1.760 4
0336 pf 10  1.052 -0.057  1.054 4
0360 em 00  0.825  0.148  0.838 5
0360 cf 00  1.275  0.220  1.294 5
0360 pf 01  0.339  0.390  0.517 6
0360 pf 02  0.690 -0.087  0.695 4
0360 pf 03  1.285  0.928  1.585 5
0360 pf 04 -0.134  0.123  0.182 8
0360 pf 05  0.766  0.443  0.885 5
0360 pf 06  0.353  0.288  0.456 5
0360 pf 07  1.178 -0.818  1.434 4
0360 pf 08  0.372  0.378  0.530 6
0360 pf 09  1.575 -0.082  1.577 4
0360 pf 10  1.073 -0.182  1.089 4
0384 em 00  0.753  0.133  0.765 5
0384 cf 00  0.981  0.119  0.989 5
0384 pf 01  0.603  0.289  0.668 5
0384 pf 02  0.424 -0.269  0.502 4
0384 pf 03  1.275  0.803  1.507 5
0384 pf 04 -0.334  0.300  0.449 8
0384 pf 05  0.599  0.167  0.622 5
0384 pf 06  0.034  0.004  0.034 5
0384 pf 07  1.296 -0.523  1.397 4
0384 pf 08  0.382  0.509  0.636 6
0384 pf 09  1.682  0.127  1.687 5
0384 pf 10  1.063 -0.109  1.069 4
0408 em 00  0.765  0.086  0.770 5
0408 cf 00  0.554 -0.038  0.556 4
0408 pf 01  0.950  0.020  0.950 5
0408 pf 02  0.606 -0.103  0.615 4
0408 pf 03  1.403  0.721  1.577 5
