ecmf prod rf 2014112600 20201126 11 046
0024 em 00  0.689 -1.757  1.887 3
0024 cf 00  0.698 -1.699  1.836 3
0024 pf 01  0.792 -1.799  1.966 3
0024 pf 02  0.613 -1.858  1.957 3
0024 pf 03  0.578 -1.744  1.838 3
0024 pf 04  0.640 -1.752  1.865 3
0024 pf 05  0.576 -1.657  1.754 3
0024 pf 06  0.736 -1.708  1.860 3
0024 pf 07  0.870 -1.683  1.895 3
0024 pf 08  0.587 -1.648  1.750 3
0024 pf 09  0.722 -1.716  1.862 3
0024 pf 10  0.704 -1.707  1.846 3
0048 em 00  0.865 -1.411  1.655 3
0048 cf 00  0.931 -1.403  1.684 3
0048 pf 01  0.997 -1.342  1.672 3
0048 pf 02  0.809 -1.534  1.734 3
0048 pf 03  0.744 -1.474  1.651 3
0048 pf 04  0.809 -1.506  1.709 3
0048 pf 05  0.651 -1.274  1.431 3
0048 pf 06  1.067 -1.392  1.754 3
0048 pf 07  1.018 -1.257  1.617 3
0048 pf 08  0.704 -1.326  1.501 3
0048 pf 09  1.070 -1.393  1.757 3
0048 pf 10  0.650 -1.336  1.486 3
0072 em 00  1.161 -1.014  1.542 4
0072 cf 00  1.201 -1.036  1.586 4
0072 pf 01  1.380 -0.778  1.584 4
0072 pf 02  1.148 -1.236  1.686 3
0072 pf 03  0.895 -1.170  1.473 3
0072 pf 04  1.212 -1.069  1.616 4
0072 pf 05  0.846 -0.896  1.233 3
0072 pf 06  1.475 -0.720  1.641 4
0072 pf 07  1.389 -0.986  1.704 4
0072 pf 08  0.835 -1.086  1.370 3
0072 pf 09  1.324 -0.924  1.614 4
0072 pf 10  0.946 -1.039  1.405 3
0096 em 00  1.527 -0.623  1.650 4
0096 cf 00  1.574 -0.601  1.685 4
0096 pf 01  1.642 -0.418  1.694 4
0096 pf 02  1.730 -0.706  1.868 4
0096 pf 03  1.304 -0.939  1.607 4
0096 pf 04  1.607 -0.739  1.769 4
0096 pf 05  1.083 -0.576  1.227 4
0096 pf 06  1.685 -0.351  1.721 4
0096 pf 07  1.650 -0.466  1.715 4
0096 pf 08  1.239 -0.633  1.392 4
0096 pf 09  1.828 -0.466  1.886 4
0096 pf 10  1.300 -0.813  1.533 4
0120 em 00  1.602 -0.138  1.608 4
0120 cf 00  1.665 -0.122  1.669 4
0120 pf 01  1.667 -0.140  1.673 4
0120 pf 02  1.765 -0.099  1.768 4
0120 pf 03  1.505 -0.280  1.530 4
0120 pf 04  1.911 -0.403  1.953 4
0120 pf 05  1.050 -0.036  1.051 4
0120 pf 06  1.550  0.068  1.552 5
0120 pf 07  1.725  0.027  1.725 5
0120 pf 08  1.177 -0.110  1.182 4
0120 pf 09  1.931 -0.105  1.934 4
0120 pf 10  1.510 -0.262  1.533 4
0144 em 00  1.525  0.208  1.539 5
