ecmf prod rf 2003072000 20170720 11 046
0024 em 00  1.723  0.220  1.738 5
0024 cf 00  1.629  0.215  1.643 5
0024 pf 01  1.675  0.285  1.699 5
0024 pf 02  1.743  0.208  1.755 5
0024 pf 03  1.597  0.320  1.629 5
0024 pf 04  1.764  0.089  1.766 5
0024 pf 05  1.561  0.118  1.565 5
0024 pf 06  1.626  0.257  1.646 5
0024 pf 07  1.723  0.073  1.724 5
0024 pf 08  1.824  0.321  1.852 5
0024 pf 09  1.844  0.250  1.861 5
0024 pf 10  1.661  0.230  1.677 5
0048 em 00  1.612  0.548  1.703 5
0048 cf 00  1.484  0.548  1.582 5
0048 pf 01  1.609  0.527  1.693 5
0048 pf 02  1.569  0.684  1.711 5
0048 pf 03  1.489  0.522  1.578 5
0048 pf 04  1.705  0.523  1.783 5
0048 pf 05  1.572  0.279  1.597 5
0048 pf 06  1.517  0.601  1.632 5
0048 pf 07  1.715  0.362  1.753 5
0048 pf 08  1.677  0.762  1.841 5
0048 pf 09  1.637  0.688  1.776 5
0048 pf 10  1.461  0.417  1.519 5
0072 em 00  1.530  0.763  1.709 5
0072 cf 00  1.432  0.671  1.582 5
0072 pf 01  1.364  0.772  1.567 5
0072 pf 02  1.636  0.799  1.820 5
0072 pf 03  1.636  0.879  1.857 5
0072 pf 04  1.431  0.742  1.612 5
0072 pf 05  1.717  0.710  1.858 5
0072 pf 06  1.647  0.744  1.807 5
0072 pf 07  1.561  0.591  1.669 5
0072 pf 08  1.564  0.958  1.834 5
0072 pf 09  1.314  0.803  1.540 5
0072 pf 10  1.242  0.587  1.373 5
0096 em 00  1.465  0.838  1.688 5
0096 cf 00  1.416  0.743  1.599 5
0096 pf 01  1.191  0.749  1.407 5
0096 pf 02  1.622  0.981  1.896 5
0096 pf 03  1.540  0.871  1.770 5
0096 pf 04  1.429  0.901  1.689 5
0096 pf 05  1.665  0.829  1.860 5
0096 pf 06  1.414  0.775  1.612 5
0096 pf 07  1.507  0.679  1.653 5
0096 pf 08  1.492  1.017  1.806 5
0096 pf 09  1.100  0.800  1.360 5
0096 pf 10  1.472  0.716  1.637 5
0120 em 00  1.260  0.854  1.522 5
0120 cf 00  1.172  0.688  1.359 5
0120 pf 01  1.122  0.636  1.290 5
0120 pf 02  1.411  1.037  1.751 5
0120 pf 03  1.448  1.072  1.801 5
0120 pf 04  1.136  0.997  1.511 5
0120 pf 05  1.430  0.791  1.634 5
0120 pf 06  0.966  0.715  1.202 5
0120 pf 07  1.324  0.731  1.513 5
0120 pf 08  1.228  1.052  1.617 5
0120 pf 09  0.968  0.838  1.281 5
0120 pf 10  1.432  0.662  1.578 5
0144 em 00  0.977  0.883  1.317 5
0144 cf 00  0.766  0.783  1.095 6
0144 pf 01  0.724  0.702  1.009 5
0144 pf 02  1.240  1.033  1.614 5
0144 pf 03  1.253  1.376  1.861 6
0144 pf 04  0.976  0.866  1.305 5
0144 pf 05  1.244  0.567  1.367 5
0144 pf 06  0.559  0.843  1.012 6
0144 pf 07  0.985  0.783  1.258 5
0144 pf 08  1.039  1.017  1.454 5
0144 pf 09  0.524  0.853  1.001 6
0144 pf 10  1.272  0.728  1.466 5
0168 em 00  0.732  0.903  1.162 6
0168 cf 00  0.471  0.782  0.913 6
0168 pf 01  0.477  0.574  0.746 6
0168 pf 02  1.113  1.126  1.583 6
0168 pf 03  0.989  1.325  1.654 6
0168 pf 04  0.649  0.990  1.184 6
0168 pf 05  1.018  0.689  1.230 5
0168 pf 06  0.202  1.092  1.110 6
