ecmf prod rf 2000060900 20160609 11 046
0024 em 00  0.342  0.930  0.991 6
0024 cf 00  0.245  0.863  0.897 6
0024 pf 01  0.258  0.938  0.973 6
0024 pf 02  0.375  0.963  1.033 6
0024 pf 03  0.437  0.971  1.065 6
0024 pf 04  0.256  0.924  0.959 6
0024 pf 05  0.325  0.877  0.935 6
0024 pf 06  0.408  0.907  0.994 6
0024 pf 07  0.382  0.773  0.863 6
0024 pf 08  0.439  0.991  1.083 6
0024 pf 09  0.168  0.988  1.002 6
0024 pf 10  0.443  0.920  1.021 6
0048 em 00  0.237  0.913  0.943 6
0048 cf 00  0.202  0.765  0.791 6
0048 pf 01  0.127  0.863  0.872 6
0048 pf 02  0.295  0.898  0.945 6
0048 pf 03  0.417  1.100  1.176 6
0048 pf 04  0.090  0.798  0.803 6
0048 pf 05  0.425  0.842  0.943 6
0048 pf 06  0.281  0.999  1.038 6
0048 pf 07  0.271  0.821  0.865 6
0048 pf 08  0.191  0.913  0.933 6
0048 pf 09  0.118  0.946  0.954 6
0048 pf 10  0.165  0.993  1.007 6
0072 em 00  0.099  0.956  0.961 6
0072 cf 00  0.057  0.826  0.828 6
0072 pf 01  0.155  0.901  0.914 6
0072 pf 02  0.079  0.943  0.946 6
0072 pf 03  0.303  1.106  1.147 6
0072 pf 04  0.057  0.842  0.843 6
0072 pf 05  0.332  0.961  1.017 6
0072 pf 06 -0.046  0.920  0.921 7
0072 pf 07  0.288  0.815  0.864 6
0072 pf 08 -0.045  1.038  1.039 7
0072 pf 09 -0.123  1.140  1.147 7
0072 pf 10 -0.010  0.927  0.927 7
0096 em 00 -0.306  0.881  0.932 7
0096 cf 00 -0.223  0.765  0.796 7
0096 pf 01 -0.311  0.839  0.895 7
0096 pf 02 -0.326  0.977  1.030 7
0096 pf 03 -0.299  1.143  1.182 7
0096 pf 04 -0.145  0.654  0.669 7
0096 pf 05  0.057  0.892  0.894 6
0096 pf 06 -0.424  0.840  0.941 7
0096 pf 07 -0.218  0.581  0.620 7
0096 pf 08 -0.345  1.091  1.145 7
0096 pf 09 -0.538  1.030  1.162 7
0096 pf 10 -0.598  0.784  0.986 7
0120 em 00 -0.777  0.705  1.049 8
0120 cf 00 -0.710  0.600  0.930 8
0120 pf 01 -0.822  0.603  1.019 8
0120 pf 02 -0.918  0.721  1.167 8
0120 pf 03 -0.556  0.944  1.096 7
0120 pf 04 -0.629  0.571  0.849 8
0120 pf 05 -0.523  0.691  0.867 7
0120 pf 06 -0.768  0.854  1.148 7
0120 pf 07 -0.769  0.333  0.838 8
0120 pf 08 -0.824  1.008  1.302 7
0120 pf 09 -0.880  0.683  1.114 8
0120 pf 10 -1.122  0.637  1.290 8
0144 em 00 -1.250  0.524  1.356 8
0144 cf 00 -1.173  0.411  1.243 8
0144 pf 01 -1.293  0.627  1.437 8
0144 pf 02 -1.303  0.440  1.375 8
0144 pf 03 -0.941  0.663  1.151 8
0144 pf 04 -1.173  0.394  1.237 8
0144 pf 05 -1.087  0.627  1.255 8
0144 pf 06 -1.341  0.600  1.469 8
0144 pf 07 -1.100  0.006  1.100 8
0144 pf 08 -1.216  0.959  1.548 8
0144 pf 09 -1.398  0.378  1.448 8
0144 pf 10 -1.659  0.537  1.744 8
0168 em 00 -1.426  0.382  1.476 8
0168 cf 00 -1.252  0.161  1.263 8
0168 pf 01 -1.494  0.454  1.561 8
0168 pf 02 -1.493  0.326  1.528 8
0168 pf 03 -1.172  0.683  1.357 8
0168 pf 04 -1.441  0.216  1.457 8
0168 pf 05 -1.448  0.549  1.548 8
0168 pf 06 -1.421  0.405  1.477 8
0168 pf 07 -1.176 -0.290  1.211 1
0168 pf 08 -1.473  0.978  1.768 8
0168 pf 09 -1.457  0.061  1.458 8
0168 pf 10 -1.777  0.542  1.858 8
0192 em 00 -1.573  0.333  1.608 8
