ecmf prod rf 2003042200 20210422 11 046
0024 em 00 -0.097 -0.662  0.669 2
0024 cf 00 -0.099 -0.702  0.709 2
0024 pf 01 -0.109 -0.643  0.652 2
0024 pf 02 -0.206 -0.651  0.683 2
0024 pf 03 -0.223 -0.573  0.614 2
0024 pf 04  0.094 -0.787  0.793 3
0024 pf 05  0.025 -0.772  0.772 3
0024 pf 06 -0.263 -0.525  0.587 2
0024 pf 07 -0.130 -0.799  0.810 2
0024 pf 08  0.067 -0.613  0.617 3
0024 pf 09 -0.259 -0.593  0.647 2
0024 pf 10 -0.041 -0.693  0.694 2
0048 em 00  0.011 -0.561  0.561 3
0048 cf 00  0.113 -0.630  0.640 3
0048 pf 01 -0.003 -0.487  0.487 2
0048 pf 02 -0.287 -0.500  0.577 2
0048 pf 03 -0.099 -0.631  0.638 2
0048 pf 04  0.396 -0.543  0.673 3
0048 pf 05  0.022 -0.812  0.812 3
0048 pf 06 -0.252 -0.413  0.483 2
0048 pf 07  0.187 -0.739  0.762 3
0048 pf 08  0.141 -0.399  0.423 3
0048 pf 09 -0.254 -0.616  0.666 2
0048 pf 10  0.107 -0.492  0.503 3
0072 em 00 -0.089 -0.602  0.609 2
0072 cf 00  0.106 -0.666  0.674 3
0072 pf 01 -0.232 -0.740  0.775 2
0072 pf 02 -0.294 -0.541  0.615 2
0072 pf 03 -0.329 -0.815  0.879 2
0072 pf 04  0.379 -0.293  0.480 4
0072 pf 05 -0.045 -0.739  0.741 2
0072 pf 06 -0.383 -0.470  0.606 2
0072 pf 07  0.143 -0.903  0.915 3
0072 pf 08  0.019 -0.484  0.484 3
0072 pf 09 -0.291 -0.647  0.709 2
0072 pf 10 -0.052 -0.461  0.463 2
0096 em 00 -0.187 -0.576  0.605 2
0096 cf 00  0.105 -0.546  0.556 3
0096 pf 01 -0.444 -0.829  0.940 2
0096 pf 02 -0.537 -0.519  0.746 1
0096 pf 03 -0.507 -0.855  0.994 2
0096 pf 04  0.290 -0.032  0.291 4
0096 pf 05 -0.107 -0.689  0.697 2
0096 pf 06 -0.432 -0.581  0.724 2
0096 pf 07  0.175 -1.023  1.038 3
0096 pf 08 -0.188 -0.334  0.384 2
0096 pf 09 -0.342 -0.770  0.842 2
0096 pf 10 -0.049 -0.307  0.311 2
0120 em 00 -0.206 -0.674  0.705 2
0120 cf 00  0.052 -0.585  0.588 3
0120 pf 01 -0.598 -1.011  1.175 2
0120 pf 02 -0.610 -0.806  1.010 2
0120 pf 03 -0.442 -1.047  1.137 2
0120 pf 04  0.212 -0.019  0.213 4
0120 pf 05 -0.225 -0.621  0.660 2
0120 pf 06 -0.345 -0.645  0.731 2
0120 pf 07  0.347 -1.129  1.181 3
0120 pf 08 -0.182 -0.384  0.425 2
0120 pf 09 -0.321 -0.839  0.898 2
0120 pf 10 -0.080 -0.451  0.458 2
0144 em 00 -0.310 -0.949  0.998 2
0144 cf 00 -0.129 -0.887  0.896 2
0144 pf 01 -0.443 -1.439  1.505 2
0144 pf 02 -0.605 -1.174  1.321 2
0144 pf 03 -0.679 -1.350  1.511 2
0144 pf 04  0.023 -0.027  0.035 3
0144 pf 05 -0.280 -0.897  0.939 2
0144 pf 06 -0.553 -0.725  0.912 2
0144 pf 07  0.459 -1.194  1.279 3
0144 pf 08 -0.450 -0.741  0.867 2
0144 pf 09 -0.409 -1.513  1.567 2
0144 pf 10 -0.223 -0.535  0.579 2
0168 em 00 -0.296 -1.104  1.143 2
0168 cf 00 -0.080 -0.963  0.966 2
0168 pf 01 -0.176 -1.630  1.640 2
0168 pf 02 -0.684 -1.505  1.653 2
0168 pf 03 -0.590 -1.600  1.705 2
0168 pf 04 -0.161 -0.039  0.166 1
0168 pf 05  0.017 -1.110  1.110 3
0168 pf 06 -0.689 -0.850  1.094 2
0168 pf 07  0.556 -1.316  1.429 3
0168 pf 08 -0.691 -0.799  1.056 2
0168 pf 09 -0.343 -1.723  1.757 2
0168 pf 10 -0.272 -0.607  0.665 2
0192 em 00 -0.049 -1.303  1.304 2
0192 cf 00  0.115 -1.186  1.191 3
0192 pf 01  0.165 -1.807  1.814 3
0192 pf 02 -0.086 -1.758  1.760 2
0192 pf 03 -0.118 -1.766  1.770 2
0192 pf 04 -0.227 -0.511  0.560 2
0192 pf 05  0.125 -1.398  1.403 3
0192 pf 06 -0.744 -0.773  1.073 2
0192 pf 07  0.867 -1.199  1.479 3
0192 pf 08 -0.517 -1.148  1.259 2
0192 pf 09  0.105 -2.030  2.033 3
0192 pf 10 -0.096 -0.723  0.729 2
0216 em 00  0.236 -1.325  1.346 3
0216 cf 00  0.329 -1.150  1.196 3
0216 pf 01  0.305 -1.760  1.786 3
0216 pf 02  0.429 -1.501  1.561 3
0216 pf 03  0.470 -1.905  1.962 3
0216 pf 04 -0.079 -0.627  0.632 2
0216 pf 05  0.277 -1.493  1.518 3
0216 pf 06 -0.828 -0.922  1.240 2
0216 pf 07  1.014 -1.097  1.494 3
0216 pf 08 -0.280 -1.563  1.588 2
0216 pf 09  0.731 -1.840  1.980 3
0216 pf 10  0.317 -0.659  0.731 3
0240 em 00  0.537 -1.282  1.390 3
0240 cf 00  0.540 -1.177  1.295 3
0240 pf 01  0.925 -1.581  1.831 3
0240 pf 02  0.660 -1.304  1.461 3
0240 pf 03  1.104 -1.433  1.809 3
0240 pf 04  0.229 -0.682  0.720 3
0240 pf 05  0.584 -1.615  1.718 3
0240 pf 06 -0.878 -1.201  1.487 2
0240 pf 07  1.026 -1.082  1.491 3
0240 pf 08  0.090 -1.773  1.775 3
0240 pf 09  1.268 -1.560  2.010 3
0240 pf 10  0.412 -0.584  0.714 3
0264 em 00  0.737 -1.118  1.339 3
0264 cf 00  0.548 -1.045  1.180 3
0264 pf 01  1.061 -1.362  1.727 3
0264 pf 02  1.009 -1.074  1.474 3
0264 pf 03  1.467 -1.154  1.867 4
0264 pf 04  0.486 -0.674  0.831 3
0264 pf 05  1.012 -1.229  1.592 3
0264 pf 06 -0.928 -1.187  1.506 2
0264 pf 07  1.388 -1.002  1.712 4
0264 pf 08  0.516 -1.797  1.869 3
0264 pf 09  1.231 -1.083  1.640 4
0264 pf 10  0.343 -0.578  0.672 3
0288 em 00  0.964 -0.868  1.297 4
0288 cf 00  0.762 -0.704  1.038 4
0288 pf 01  1.295 -1.170  1.745 4
0288 pf 02  1.077 -0.614  1.240 4
0288 pf 03  1.841 -0.687  1.965 4
0288 pf 04  0.553 -0.760  0.940 3
0288 pf 05  1.346 -0.981  1.666 4
0288 pf 06 -0.461 -1.210  1.295 2
0288 pf 07  1.477 -0.936  1.749 4
0288 pf 08  1.037 -1.566  1.879 3
0288 pf 09  1.366 -0.690  1.531 4
0288 pf 10  0.295 -0.142  0.327 4
0312 em 00  1.098 -0.674  1.288 4
0312 cf 00  0.985 -0.569  1.137 4
0312 pf 01  1.752 -0.932  1.984 4
0312 pf 02  1.069 -0.032  1.069 4
0312 pf 03  1.884 -0.234  1.899 4
0312 pf 04  0.585 -0.542  0.798 4
0312 pf 05  1.519 -0.788  1.711 4
0312 pf 06 -0.211 -1.386  1.402 2
0312 pf 07  1.434 -0.791  1.638 4
0312 pf 08  1.310 -1.318  1.859 3
0312 pf 09  1.234 -0.534  1.344 4
0312 pf 10  0.459 -0.191  0.497 4
0336 em 00  1.170 -0.454  1.255 4
0336 cf 00  1.086 -0.367  1.146 4
0336 pf 01  1.746 -0.506  1.818 4
0336 pf 02  0.808  0.541  0.973 5
0336 pf 03  1.787  0.204  1.799 5
0336 pf 04  0.785 -0.432  0.896 4
0336 pf 05  1.566 -0.767  1.744 4
0336 pf 06  0.160 -1.273  1.283 3
0336 pf 07  1.497 -0.801  1.698 4
0336 pf 08  1.558 -1.128  1.923 4
0336 pf 09  1.246 -0.369  1.299 4
0336 pf 10  0.569 -0.007  0.569 4
0360 em 00  1.119 -0.219  1.140 4
0360 cf 00  1.072 -0.262  1.103 4
0360 pf 01  1.698 -0.161  1.705 4
0360 pf 02  0.193  0.728  0.753 6
0360 pf 03  1.751  0.643  1.865 5
0360 pf 04  1.157 -0.180  1.171 4
0360 pf 05  1.569 -0.709  1.722 4
0360 pf 06  0.059 -1.120  1.121 3
0360 pf 07  1.328 -0.551  1.437 4
0360 pf 08  1.757 -0.715  1.897 4
0360 pf 09  1.142 -0.126  1.149 4
0360 pf 10  0.495  0.089  0.503 5
0384 em 00  1.070 -0.054  1.071 4
0384 cf 00  0.854 -0.094  0.859 4
0384 pf 01  1.612  0.128  1.617 5
0384 pf 02 -0.468  0.897  1.011 7
0384 pf 03  1.637  0.990  1.913 5
0384 pf 04  1.125 -0.147  1.135 4
0384 pf 05  1.557 -0.493  1.633 4
0384 pf 06  0.052 -0.919  0.920 3
0384 pf 07  1.544 -0.467  1.613 4
0384 pf 08  1.858 -0.653  1.970 4
0384 pf 09  1.331 -0.096  1.335 4
0384 pf 10  0.584  0.304  0.658 5
0408 em 00  0.905  0.039  0.905 5
0408 cf 00  0.540  0.022  0.540 5
0408 pf 01  1.388  0.483  1.470 5
0408 pf 02 -1.187  0.652  1.354 8
0408 pf 03  1.296  1.058  1.673 5
0408 pf 04  1.000 -0.171  1.014 4
0408 pf 05  1.556 -0.442  1.617 4
0408 pf 06  0.186 -0.688  0.713 3
0408 pf 07  1.553 -0.141  1.559 4
0408 pf 08  1.762 -0.550  1.846 4
0408 pf 09  1.151 -0.307  1.191 4
0408 pf 10  0.642  0.569  0.858 5
0432 em 00  0.787  0.133  0.798 5
0432 cf 00  0.365 -0.045  0.367 4
0432 pf 01  0.992  0.560  1.139 5
0432 pf 02 -1.548  0.588  1.656 8
0432 pf 03  0.843  1.146  1.422 6
0432 pf 04  1.108 -0.166  1.121 4
0432 pf 05  1.516 -0.170  1.526 4
0432 pf 06  0.332 -0.622  0.705 3
0432 pf 07  1.507  0.387  1.556 5
0432 pf 08  1.741 -0.288  1.765 4
0432 pf 09  0.950 -0.523  1.084 4
0432 pf 10  0.812  0.669  1.052 5
0456 em 00  0.697  0.116  0.707 5
0456 cf 00  0.307 -0.098  0.323 4
0456 pf 01  0.595  0.508  0.782 5
0456 pf 02 -1.650  0.194  1.661 8
0456 pf 03  0.502  0.929  1.056 6
0456 pf 04  1.168 -0.121  1.175 4
0456 pf 05  1.399 -0.165  1.409 4
0456 pf 06  0.170 -0.718  0.738 3
0456 pf 07  1.386  0.760  1.580 5
0456 pf 08  1.930  0.027  1.930 5
0456 pf 09  0.915 -0.659  1.128 4
0456 pf 10  0.915  0.686  1.144 5
0480 em 00  0.581  0.044  0.582 5
0480 cf 00  0.308 -0.352  0.468 3
0480 pf 01  0.711  0.554  0.901 5
0480 pf 02 -1.522 -0.276  1.547 1
0480 pf 03 -0.018  0.579  0.579 7
0480 pf 04  1.167 -0.015  1.167 4
0480 pf 05  1.212 -0.142  1.220 4
0480 pf 06 -0.229 -0.668  0.706 2
0480 pf 07  1.103  0.756  1.337 5
0480 pf 08  1.681  0.203  1.694 5
0480 pf 09  1.390 -0.698  1.556 4
0480 pf 10  0.547  0.636  0.839 6
0504 em 00  0.434 -0.029  0.435 4
0504 cf 00  0.217 -0.402  0.457 3
0504 pf 01  0.670  0.541  0.861 5
0504 pf 02 -1.383 -0.680  1.542 1
0504 pf 03 -0.662  0.131  0.674 8
0504 pf 04  1.207 -0.007  1.207 4
0504 pf 05  1.329 -0.126  1.335 4
0504 pf 06 -0.544 -0.545  0.770 2
0504 pf 07  0.792  0.361  0.870 5
0504 pf 08  1.359  0.503  1.450 5
0504 pf 09  1.498 -0.506  1.581 4
0504 pf 10  0.254  0.493  0.555 6
0528 em 00  0.469 -0.034  0.471 4
0528 cf 00  0.285 -0.418  0.506 3
0528 pf 01  0.871  0.586  1.050 5
0528 pf 02 -1.307 -0.743  1.503 1
0528 pf 03 -0.804 -0.020  0.804 1
0528 pf 04  1.256  0.255  1.282 5
0528 pf 05  1.580 -0.012  1.581 4
0528 pf 06 -0.460 -0.683  0.824 2
0528 pf 07  0.549  0.026  0.550 5
0528 pf 08  1.257  0.906  1.549 5
0528 pf 09  1.762 -0.470  1.824 4
0528 pf 10  0.094  0.279  0.295 6
0552 em 00  0.642 -0.035  0.643 4
0552 cf 00  0.349 -0.368  0.507 3
