ecmf prod rf 2001042000 20170420 11 046
0024 em 00 -0.258 -0.228  0.344 1
0024 cf 00 -0.249 -0.200  0.320 1
0024 pf 01 -0.265 -0.167  0.313 1
0024 pf 02 -0.360 -0.184  0.405 1
0024 pf 03 -0.215 -0.244  0.325 2
0024 pf 04 -0.248 -0.193  0.314 1
0024 pf 05 -0.263 -0.342  0.431 2
0024 pf 06 -0.108 -0.208  0.234 2
0024 pf 07 -0.317 -0.175  0.362 1
0024 pf 08 -0.240 -0.283  0.371 2
0024 pf 09 -0.274 -0.202  0.340 1
0024 pf 10 -0.328 -0.272  0.426 1
0048 em 00  0.074 -0.534  0.539 3
0048 cf 00  0.078 -0.543  0.548 3
0048 pf 01 -0.003 -0.388  0.388 2
0048 pf 02  0.004 -0.605  0.605 3
0048 pf 03  0.061 -0.600  0.603 3
0048 pf 04 -0.048 -0.550  0.552 2
0048 pf 05  0.206 -0.645  0.677 3
0048 pf 06  0.353 -0.428  0.555 3
0048 pf 07 -0.024 -0.446  0.446 2
0048 pf 08  0.210 -0.438  0.486 3
0048 pf 09  0.055 -0.539  0.542 3
0048 pf 10 -0.135 -0.642  0.656 2
0072 em 00  0.447 -0.716  0.844 3
0072 cf 00  0.443 -0.697  0.826 3
0072 pf 01  0.428 -0.468  0.634 3
0072 pf 02  0.306 -0.852  0.906 3
0072 pf 03  0.293 -0.941  0.985 3
0072 pf 04  0.553 -0.671  0.870 3
0072 pf 05  0.460 -0.825  0.945 3
0072 pf 06  0.745 -0.725  1.040 4
0072 pf 07  0.403 -0.626  0.745 3
0072 pf 08  0.733 -0.508  0.892 4
0072 pf 09  0.309 -0.667  0.735 3
0072 pf 10  0.191 -0.833  0.855 3
0096 em 00  0.607 -0.709  0.933 3
0096 cf 00  0.613 -0.655  0.897 3
0096 pf 01  0.445 -0.570  0.724 3
0096 pf 02  0.458 -0.950  1.055 3
0096 pf 03  0.401 -0.794  0.889 3
0096 pf 04  0.711 -0.776  1.053 3
0096 pf 05  0.639 -0.575  0.859 4
0096 pf 06  0.885 -0.758  1.165 4
0096 pf 07  0.566 -0.718  0.914 3
0096 pf 08  0.944 -0.393  1.023 4
0096 pf 09  0.465 -0.706  0.846 3
0096 pf 10  0.493 -0.830  0.966 3
0120 em 00  0.733 -0.509  0.893 4
0120 cf 00  0.748 -0.426  0.861 4
0120 pf 01  0.676 -0.577  0.889 4
0120 pf 02  0.473 -0.811  0.939 3
0120 pf 03  0.435 -0.491  0.656 3
0120 pf 04  1.004 -0.553  1.146 4
0120 pf 05  0.849 -0.363  0.923 4
0120 pf 06  1.014 -0.384  1.085 4
0120 pf 07  0.662 -0.435  0.792 4
0120 pf 08  0.899 -0.003  0.899 4
0120 pf 09  0.543 -0.666  0.859 3
0120 pf 10  0.724 -0.814  1.089 3
0144 em 00  0.900 -0.336  0.960 4
0144 cf 00  0.926 -0.238  0.956 4
0144 pf 01  0.736 -0.429  0.852 4
0144 pf 02  0.928 -0.608  1.109 4
0144 pf 03  0.610 -0.381  0.719 4
0144 pf 04  1.248 -0.222  1.267 4
0144 pf 05  0.931 -0.218  0.957 4
0144 pf 06  0.980 -0.261  1.014 4
0144 pf 07  0.901 -0.348  0.965 4
0144 pf 08  0.808  0.065  0.811 5
0144 pf 09  0.913 -0.453  1.019 4
