ecmf prod rf 2003042700 20170427 11 046
0024 em 00  0.166 -1.200  1.211 3
0024 cf 00  0.157 -1.178  1.188 3
0024 pf 01  0.137 -1.270  1.278 3
0024 pf 02  0.114 -1.135  1.141 3
0024 pf 03  0.188 -1.260  1.274 3
0024 pf 04  0.280 -1.118  1.153 3
0024 pf 05  0.236 -1.129  1.154 3
0024 pf 06  0.243 -1.277  1.300 3
0024 pf 07  0.065 -1.147  1.149 3
0024 pf 08  0.332 -1.320  1.361 3
0024 pf 09 -0.031 -1.143  1.143 2
0024 pf 10  0.209 -1.232  1.250 3
0048 em 00  0.230 -1.310  1.330 3
0048 cf 00  0.288 -1.323  1.354 3
0048 pf 01  0.388 -1.407  1.459 3
0048 pf 02  0.198 -1.117  1.134 3
0048 pf 03  0.269 -1.430  1.455 3
0048 pf 04  0.218 -1.095  1.116 3
0048 pf 05  0.178 -1.281  1.294 3
0048 pf 06  0.397 -1.428  1.482 3
0048 pf 07  0.017 -1.321  1.321 3
0048 pf 08  0.312 -1.268  1.306 3
0048 pf 09  0.184 -1.443  1.455 3
0048 pf 10  0.198 -1.272  1.287 3
0072 em 00  0.328 -1.318  1.359 3
0072 cf 00  0.477 -1.322  1.405 3
0072 pf 01  0.477 -1.311  1.395 3
0072 pf 02  0.222 -1.252  1.272 3
0072 pf 03  0.489 -1.487  1.565 3
0072 pf 04  0.256 -1.224  1.250 3
0072 pf 05  0.302 -1.187  1.224 3
0072 pf 06  0.506 -1.502  1.585 3
0072 pf 07  0.113 -1.392  1.397 3
0072 pf 08  0.430 -1.103  1.184 3
0072 pf 09  0.293 -1.327  1.359 3
0072 pf 10  0.144 -1.356  1.363 3
0096 em 00  0.553 -1.370  1.478 3
0096 cf 00  0.691 -1.281  1.456 3
0096 pf 01  0.794 -1.260  1.490 3
0096 pf 02  0.377 -1.394  1.444 3
0096 pf 03  0.949 -1.425  1.712 3
0096 pf 04  0.539 -1.177  1.294 3
0096 pf 05  0.651 -1.228  1.390 3
0096 pf 06  0.573 -1.481  1.588 3
0096 pf 07  0.180 -1.526  1.537 3
0096 pf 08  0.518 -1.445  1.535 3
0096 pf 09  0.465 -1.442  1.515 3
0096 pf 10  0.412 -1.347  1.409 3
0120 em 00  0.634 -1.101  1.270 3
0120 cf 00  0.690 -1.010  1.224 3
0120 pf 01  0.867 -1.065  1.374 3
0120 pf 02  0.435 -1.208  1.284 3
0120 pf 03  1.001 -0.858  1.319 4
0120 pf 04  0.425 -0.951  1.041 3
0120 pf 05  0.865 -0.982  1.309 3
0120 pf 06  0.605 -1.151  1.301 3
0120 pf 07  0.256 -1.360  1.384 3
0120 pf 08  0.681 -0.991  1.203 3
0120 pf 09  0.607 -1.236  1.377 3
0120 pf 10  0.570 -1.219  1.345 3
0144 em 00  0.712 -0.901  1.148 3
0144 cf 00  0.661 -0.736  0.989 3
0144 pf 01  0.736 -0.861  1.133 3
0144 pf 02  0.729 -1.068  1.293 3
0144 pf 03  0.987 -0.516  1.114 4
0144 pf 04  0.548 -0.769  0.944 3
0144 pf 05  0.876 -0.913  1.266 3
0144 pf 06  0.675 -1.008  1.213 3
0144 pf 07  0.319 -1.349  1.386 3
0144 pf 08  0.786 -0.776  1.105 4
0144 pf 09  0.847 -1.036  1.338 3
0144 pf 10  0.678 -0.801  1.050 3
0168 em 00  0.778 -0.656  1.018 4
0168 cf 00  0.717 -0.499  0.873 4
0168 pf 01  0.673 -0.687  0.962 3
0168 pf 02  0.827 -0.940  1.252 3
0168 pf 03  0.985 -0.109  0.990 4
0168 pf 04  0.699 -0.811  1.071 3
0168 pf 05  0.886 -0.504  1.020 4
0168 pf 06  0.838 -0.860  1.201 3
0168 pf 07  0.479 -0.967  1.079 3
0168 pf 08  0.808 -0.470  0.934 4
0168 pf 09  0.640 -0.678  0.933 3
0168 pf 10  1.002 -0.633  1.186 4
0192 em 00  0.956 -0.644  1.153 4
0192 cf 00  0.844 -0.560  1.013 4
0192 pf 01  0.711 -0.570  0.912 4
0192 pf 02  1.107 -0.805  1.368 4
0192 pf 03  1.103 -0.254  1.132 4
0192 pf 04  0.826 -0.657  1.055 4
0192 pf 05  0.843 -0.384  0.926 4
0192 pf 06  1.124 -0.805  1.382 4
0192 pf 07  0.857 -1.131  1.419 3
0192 pf 08  0.974 -0.436  1.067 4
0192 pf 09  0.765 -0.830  1.128 3
0192 pf 10  1.315 -0.556  1.428 4
0216 em 00  0.980 -0.743  1.230 4
0216 cf 00  0.950 -0.726  1.195 4
0216 pf 01  0.734 -0.595  0.945 4
0216 pf 02  1.281 -1.000  1.625 4
0216 pf 03  0.968 -0.480  1.080 4
0216 pf 04  0.811 -0.790  1.132 4
0216 pf 05  0.824 -0.107  0.831 4
0216 pf 06  1.133 -1.106  1.583 4
0216 pf 07  1.050 -1.259  1.640 3
0216 pf 08  1.022 -0.362  1.085 4
0216 pf 09  0.679 -0.937  1.157 3
0216 pf 10  1.277 -0.700  1.457 4
0240 em 00  0.922 -0.836  1.245 4
0240 cf 00  0.908 -0.804  1.212 4
0240 pf 01  0.947 -0.789  1.233 4
0240 pf 02  1.205 -0.885  1.496 4
0240 pf 03  0.539 -0.796  0.961 3
0240 pf 04  0.664 -1.031  1.226 3
0240 pf 05  0.810 -0.192  0.833 4
0240 pf 06  1.028 -1.187  1.570 3
0240 pf 07  1.259 -1.115  1.682 4
0240 pf 08  0.874 -0.537  1.026 4
0240 pf 09  0.551 -1.131  1.259 3
0240 pf 10  1.301 -0.627  1.444 4
0264 em 00  0.912 -0.844  1.243 4
0264 cf 00  0.917 -0.720  1.165 4
0264 pf 01  0.935 -0.757  1.203 4
0264 pf 02  1.475 -0.550  1.574 4
0264 pf 03  0.698 -0.815  1.073 3
0264 pf 04  0.673 -1.327  1.488 3
0264 pf 05  0.654 -0.200  0.684 4
0264 pf 06  0.713 -1.090  1.303 3
0264 pf 07  1.272 -1.174  1.731 4
0264 pf 08  0.761 -0.622  0.983 4
0264 pf 09  0.392 -1.400  1.454 3
0264 pf 10  1.482 -0.525  1.572 4
0288 em 00  1.002 -0.834  1.304 4
0288 cf 00  1.085 -0.523  1.205 4
0288 pf 01  0.966 -0.719  1.205 4
0288 pf 02  1.571 -0.384  1.617 4
0288 pf 03  0.667 -0.780  1.027 3
0288 pf 04  0.879 -1.485  1.726 3
0288 pf 05  0.322 -0.795  0.858 3
0288 pf 06  0.900 -0.781  1.192 4
0288 pf 07  1.588 -0.957  1.854 4
0288 pf 08  0.888 -0.649  1.100 4
0288 pf 09  0.733 -1.560  1.724 3
0288 pf 10  1.370 -0.410  1.430 4
0312 em 00  1.187 -0.760  1.409 4
0312 cf 00  1.228 -0.394  1.290 4
0312 pf 01  0.897 -0.584  1.070 4
0312 pf 02  1.792 -0.297  1.816 4
0312 pf 03  0.645 -0.702  0.953 3
0312 pf 04  1.047 -1.563  1.881 3
0312 pf 05  0.345 -0.929  0.991 3
0312 pf 06  1.312 -0.825  1.550 4
0312 pf 07  2.114 -0.760  2.247 4
0312 pf 08  1.212 -0.405  1.278 4
0312 pf 09  1.019 -1.561  1.864 3
0312 pf 10  1.388 -0.202  1.402 4
0336 em 00  1.220 -0.715  1.414 4
0336 cf 00  0.973 -0.318  1.024 4
0336 pf 01  0.766 -0.669  1.017 4
0336 pf 02  1.278 -0.283  1.309 4
0336 pf 03  0.570 -0.889  1.056 3
0336 pf 04  1.442 -1.534  2.105 3
0336 pf 05  0.674 -1.084  1.276 3
0336 pf 06  1.564 -0.738  1.729 4
0336 pf 07  2.080 -0.591  2.162 4
0336 pf 08  1.320 -0.269  1.347 4
0336 pf 09  1.390 -1.292  1.898 4
0336 pf 10  1.301 -0.063  1.302 4
0360 em 00  1.235 -0.563  1.357 4
0360 cf 00  0.973 -0.359  1.037 4
0360 pf 01  0.432 -0.407  0.594 4
0360 pf 02  1.003 -0.204  1.023 4
0360 pf 03  0.545 -0.709  0.894 3
0360 pf 04  1.726 -1.441  2.248 4
0360 pf 05  1.163 -1.274  1.725 3
