ecmf prod rf 2014060300 20190603 11 046
0024 em 00  0.262 -0.441  0.513 3
0024 cf 00  0.253 -0.468  0.532 3
0024 pf 01  0.284 -0.333  0.438 3
0024 pf 02  0.169 -0.539  0.565 3
0024 pf 03  0.270 -0.447  0.523 3
0024 pf 04  0.148 -0.317  0.349 3
0024 pf 05  0.154 -0.364  0.396 3
0024 pf 06  0.300 -0.361  0.469 3
0024 pf 07  0.288 -0.525  0.599 3
0024 pf 08  0.342 -0.410  0.534 3
0024 pf 09  0.455 -0.502  0.678 3
0024 pf 10  0.170 -0.491  0.519 3
0048 em 00  0.044  0.006  0.045 5
0048 cf 00  0.085 -0.040  0.094 4
0048 pf 01  0.042  0.204  0.208 6
0048 pf 02 -0.053 -0.097  0.111 2
0048 pf 03  0.117 -0.042  0.125 4
0048 pf 04 -0.168  0.205  0.265 7
0048 pf 05 -0.138  0.011  0.138 8
0048 pf 06  0.030  0.044  0.053 6
0048 pf 07  0.133  0.044  0.140 5
0048 pf 08  0.094 -0.024  0.097 4
0048 pf 09  0.427 -0.177  0.462 4
0048 pf 10 -0.092 -0.006  0.092 1
0072 em 00  0.194  0.367  0.415 6
0072 cf 00  0.256  0.318  0.408 6
0072 pf 01 -0.039  0.516  0.517 7
0072 pf 02  0.153  0.120  0.194 5
0072 pf 03  0.357  0.313  0.475 5
0072 pf 04 -0.264  0.615  0.669 7
0072 pf 05 -0.071  0.341  0.348 7
0072 pf 06  0.189  0.530  0.562 6
0072 pf 07  0.368  0.489  0.612 6
0072 pf 08  0.266  0.375  0.459 6
0072 pf 09  0.808  0.167  0.825 5
0072 pf 10  0.094  0.239  0.257 6
0096 em 00  0.207  0.354  0.410 6
0096 cf 00  0.298  0.321  0.438 6
0096 pf 01 -0.091  0.546  0.554 7
0096 pf 02  0.126 -0.079  0.149 4
0096 pf 03  0.387  0.439  0.585 6
0096 pf 04 -0.044  0.463  0.465 7
0096 pf 05 -0.265  0.458  0.529 7
0096 pf 06  0.298  0.511  0.591 6
0096 pf 07  0.237  0.679  0.719 6
0096 pf 08  0.233  0.269  0.356 6
0096 pf 09  0.967  0.118  0.974 5
0096 pf 10  0.104  0.088  0.136 5
0120 em 00  0.498  0.340  0.603 5
0120 cf 00  0.575  0.377  0.687 5
0120 pf 01  0.263  0.523  0.585 6
0120 pf 02  0.222 -0.045  0.226 4
0120 pf 03  0.900  0.364  0.971 5
0120 pf 04  0.344  0.195  0.395 5
0120 pf 05 -0.153  0.404  0.432 7
0120 pf 06  0.454  0.540  0.706 6
0120 pf 07  0.676  0.660  0.944 5
0120 pf 08  0.546  0.124  0.560 5
0120 pf 09  1.304  0.287  1.335 5
0120 pf 10  0.322  0.214  0.386 5
0144 em 00  0.736  0.261  0.781 5
0144 cf 00  0.808  0.330  0.873 5
0144 pf 01  0.355  0.554  0.658 6
0144 pf 02  0.582 -0.060  0.585 4
0144 pf 03  1.227  0.385  1.286 5
