ecmf prod rf 2021081000 20230810 11 046
0024 em 00 -1.413 -1.649  2.172 2
0024 cf 00 -1.410 -1.596  2.130 2
0024 pf 01 -1.443 -1.693  2.224 2
0024 pf 02 -1.437 -1.713  2.236 2
0024 pf 03 -1.426 -1.642  2.175 2
0024 pf 04 -1.250 -1.586  2.020 2
0024 pf 05 -1.348 -1.699  2.169 2
0024 pf 06 -1.532 -1.533  2.167 2
0024 pf 07 -1.280 -1.518  1.986 2
0024 pf 08 -1.523 -1.647  2.243 2
0024 pf 09 -1.347 -1.585  2.080 2
0024 pf 10 -1.358 -1.650  2.138 2
0048 em 00 -1.552 -1.683  2.289 2
0048 cf 00 -1.556 -1.599  2.231 2
0048 pf 01 -1.580 -1.730  2.343 2
0048 pf 02 -1.471 -1.622  2.189 2
0048 pf 03 -1.597 -1.657  2.301 2
0048 pf 04 -1.285 -1.609  2.060 2
0048 pf 05 -1.524 -1.814  2.369 2
0048 pf 06 -1.859 -1.706  2.523 1
0048 pf 07 -1.357 -1.594  2.094 2
0048 pf 08 -1.742 -1.588  2.357 1
0048 pf 09 -1.327 -1.572  2.057 2
0048 pf 10 -1.601 -1.739  2.363 2
0072 em 00 -1.547 -1.584  2.215 2
0072 cf 00 -1.598 -1.471  2.172 1
0072 pf 01 -1.521 -1.674  2.262 2
0072 pf 02 -1.540 -1.530  2.171 1
0072 pf 03 -1.595 -1.618  2.272 2
0072 pf 04 -1.220 -1.440  1.888 2
0072 pf 05 -1.378 -1.636  2.139 2
0072 pf 06 -1.839 -1.556  2.409 1
0072 pf 07 -1.425 -1.399  1.997 1
0072 pf 08 -1.756 -1.697  2.442 1
0072 pf 09 -1.263 -1.512  1.970 2
0072 pf 10 -1.717 -1.636  2.371 1
0096 em 00 -1.106 -1.587  1.934 2
0096 cf 00 -1.189 -1.506  1.918 2
0096 pf 01 -0.909 -1.598  1.839 2
0096 pf 02 -0.976 -1.512  1.800 2
0096 pf 03 -1.169 -1.674  2.041 2
0096 pf 04 -0.963 -1.390  1.691 2
0096 pf 05 -0.848 -1.575  1.789 2
0096 pf 06 -1.609 -1.592  2.264 1
0096 pf 07 -1.232 -1.356  1.832 2
0096 pf 08 -1.292 -1.772  2.193 2
