ecmf prod rf 1998092800 20150928 11 046
0024 em 00  1.807  0.153  1.814 5
0024 cf 00  1.833  0.196  1.844 5
0024 pf 01  1.816 -0.002  1.816 4
0024 pf 02  1.816  0.337  1.847 5
0024 pf 03  1.808  0.189  1.818 5
0024 pf 04  1.799  0.060  1.800 5
0024 pf 05  1.765  0.149  1.771 5
0024 pf 06  1.813  0.264  1.832 5
0024 pf 07  1.754  0.255  1.773 5
0024 pf 08  1.803  0.145  1.808 5
0024 pf 09  1.738  0.107  1.742 5
0024 pf 10  1.777  0.091  1.779 5
0048 em 00  1.836  0.232  1.851 5
0048 cf 00  1.900  0.226  1.914 5
0048 pf 01  1.887  0.243  1.902 5
0048 pf 02  1.719  0.409  1.767 5
0048 pf 03  1.962  0.220  1.975 5
0048 pf 04  1.782  0.202  1.793 5
0048 pf 05  1.723  0.261  1.742 5
0048 pf 06  1.758  0.333  1.789 5
0048 pf 07  1.768  0.190  1.778 5
0048 pf 08  1.706  0.278  1.729 5
0048 pf 09  1.873  0.181  1.882 5
0048 pf 10  1.922  0.095  1.924 5
0072 em 00  1.968  0.063  1.969 5
0072 cf 00  2.037  0.046  2.037 5
0072 pf 01  1.903  0.275  1.923 5
0072 pf 02  1.893  0.220  1.906 5
0072 pf 03  2.178  0.045  2.179 5
0072 pf 04  1.665  0.087  1.667 5
0072 pf 05  1.893  0.006  1.893 5
0072 pf 06  1.909  0.209  1.921 5
0072 pf 07  2.055 -0.283  2.075 4
0072 pf 08  1.858  0.158  1.865 5
0072 pf 09  1.897 -0.039  1.897 4
0072 pf 10  2.124  0.042  2.125 5
0096 em 00  2.030  0.149  2.036 5
0096 cf 00  2.113  0.088  2.115 5
0096 pf 01  1.928  0.226  1.941 5
0096 pf 02  1.722  0.423  1.773 5
0096 pf 03  2.408  0.214  2.417 5
0096 pf 04  1.825  0.084  1.827 5
0096 pf 05  2.001 -0.007  2.001 4
0096 pf 06  2.129  0.184  2.137 5
0096 pf 07  2.169 -0.190  2.177 4
0096 pf 08  1.885  0.233  1.899 5
0096 pf 09  1.955  0.220  1.968 5
0096 pf 10  1.974  0.215  1.986 5
0120 em 00  1.959  0.337  1.988 5
0120 cf 00  1.997  0.241  2.012 5
0120 pf 01  1.879  0.395  1.920 5
0120 pf 02  1.692  0.560  1.783 5
0120 pf 03  2.202  0.326  2.226 5
0120 pf 04  1.676  0.185  1.686 5
0120 pf 05  2.129  0.084  2.130 5
0120 pf 06  2.118  0.521  2.181 5
0120 pf 07  2.281  0.272  2.297 5
0120 pf 08  1.679  0.288  1.703 5
0120 pf 09  1.822  0.496  1.888 5
0120 pf 10  1.883  0.345  1.914 5
0144 em 00  1.996  0.428  2.041 5
0144 cf 00  2.063  0.311  2.087 5
0144 pf 01  1.856  0.504  1.924 5
0144 pf 02  1.701  0.534  1.783 5
0144 pf 03  2.475  0.288  2.492 5
0144 pf 04  1.742  0.276  1.764 5
0144 pf 05  2.363  0.315  2.384 5
0144 pf 06  2.152  0.535  2.217 5
0144 pf 07  2.283  0.482  2.333 5
0144 pf 08  1.602  0.399  1.651 5
0144 pf 09  1.808  0.639  1.918 5
0144 pf 10  1.719  0.407  1.767 5
0168 em 00  1.900  0.391  1.940 5
0168 cf 00  1.964  0.278  1.984 5
0168 pf 01  1.766  0.466  1.827 5
0168 pf 02  1.522  0.368  1.566 5
0168 pf 03  2.408  0.299  2.427 5
0168 pf 04  1.756  0.362  1.793 5
0168 pf 05  2.009  0.399  2.049 5
0168 pf 06  1.877  0.474  1.936 5
0168 pf 07  2.194  0.329  2.218 5
0168 pf 08  1.685  0.405  1.733 5
0168 pf 09  1.717  0.510  1.791 5
0168 pf 10  1.829  0.402  1.872 5
0192 em 00  1.630  0.386  1.675 5
0192 cf 00  1.809  0.350  1.843 5
0192 pf 01  1.421  0.505  1.508 5
0192 pf 02  1.139  0.311  1.180 5
0192 pf 03  2.211  0.476  2.262 5
0192 pf 04  1.627  0.371  1.669 5
0192 pf 05  1.645  0.473  1.712 5
0192 pf 06  1.578  0.403  1.629 5
0192 pf 07  1.795  0.224  1.809 5
0192 pf 08  1.388  0.429  1.453 5
0192 pf 09  1.297  0.193  1.311 5
0192 pf 10  1.889  0.513  1.958 5
0216 em 00  1.373  0.452  1.446 5
0216 cf 00  1.507  0.484  1.583 5
0216 pf 01  1.107  0.656  1.286 5
0216 pf 02  1.234  0.202  1.251 5
0216 pf 03  1.831  0.357  1.865 5
0216 pf 04  1.452  0.398  1.506 5
0216 pf 05  1.291  0.499  1.384 5
0216 pf 06  1.364  0.578  1.481 5
0216 pf 07  1.369  0.544  1.473 5
0216 pf 08  1.267  0.438  1.341 5
0216 pf 09  1.092  0.206  1.111 5
0216 pf 10  1.511  0.610  1.630 5
0240 em 00  1.183  0.455  1.268 5
0240 cf 00  1.279  0.602  1.413 5
0240 pf 01  0.984  0.554  1.129 5
0240 pf 02  1.147  0.092  1.151 5
0240 pf 03  1.610  0.470  1.677 5
0240 pf 04  1.418  0.400  1.473 5
0240 pf 05  1.150  0.529  1.266 5
0240 pf 06  1.107  0.543  1.233 5
0240 pf 07  1.178  0.656  1.348 5
0240 pf 08  0.964  0.278  1.004 5
0240 pf 09  0.884  0.107  0.891 5
0240 pf 10  1.254  0.799  1.487 5
0264 em 00  0.994  0.471  1.100 5
0264 cf 00  1.106  0.630  1.273 5
0264 pf 01  0.938  0.376  1.010 5
0264 pf 02  1.131  0.345  1.183 5
0264 pf 03  1.434  0.405  1.491 5
0264 pf 04  1.283  0.550  1.396 5
0264 pf 05  0.825  0.403  0.918 5
0264 pf 06  0.953  0.719  1.194 5
0264 pf 07  0.961  0.455  1.063 5
0264 pf 08  0.660  0.285  0.719 5
0264 pf 09  0.915  0.135  0.925 5
0264 pf 10  0.735  0.916  1.174 6
0288 em 00  0.845  0.506  0.985 5
0288 cf 00  0.931  0.573  1.093 5
0288 pf 01  0.710  0.212  0.741 5
0288 pf 02  1.186  0.400  1.252 5
0288 pf 03  1.369  0.625  1.505 5
0288 pf 04  1.147  0.532  1.264 5
0288 pf 05  0.690  0.389  0.792 5
0288 pf 06  1.016  0.886  1.348 5
0288 pf 07  0.784  0.623  1.001 5
0288 pf 08  0.229  0.123  0.260 5
0288 pf 09  0.793  0.180  0.813 5
0288 pf 10  0.467  1.063  1.161 6
0312 em 00  0.753  0.473  0.890 5
0312 cf 00  0.710  0.638  0.955 5
0312 pf 01  0.891  0.388  0.972 5
0312 pf 02  1.133  0.375  1.194 5
0312 pf 03  1.227  0.620  1.375 5
0312 pf 04  1.202  0.333  1.247 5
0312 pf 05  0.403  0.333  0.523 5
0312 pf 06  0.798  0.912  1.212 6
0312 pf 07  0.560  0.832  1.002 6
0312 pf 08 -0.053  0.103  0.116 7
0312 pf 09  0.928 -0.144  0.939 4
0312 pf 10  0.480  0.876  0.999 6
0336 em 00  0.759  0.452  0.883 5
0336 cf 00  0.757  0.693  1.027 5
0336 pf 01  0.895  0.404  0.982 5
0336 pf 02  1.099  0.532  1.221 5
0336 pf 03  1.106  0.468  1.201 5
0336 pf 04  1.383  0.157  1.392 5
0336 pf 05  0.361  0.344  0.499 5
0336 pf 06  0.666  0.805  1.045 6
0336 pf 07  0.572  0.990  1.143 6
0336 pf 08 -0.068  0.115  0.134 7
0336 pf 09  1.013  0.120  1.020 5
0336 pf 10  0.514  0.426  0.667 5
