ecmf prod rf 2001032700 20170327 11 046
0024 em 00 -0.810 -0.082  0.814 1
0024 cf 00 -0.819 -0.049  0.820 1
0024 pf 01 -0.874 -0.183  0.893 1
0024 pf 02 -0.764 -0.065  0.767 1
0024 pf 03 -0.868 -0.076  0.871 1
0024 pf 04 -0.846 -0.126  0.855 1
0024 pf 05 -0.840 -0.041  0.841 1
0024 pf 06 -0.700 -0.047  0.701 1
0024 pf 07 -0.724 -0.184  0.747 1
0024 pf 08 -0.737  0.055  0.739 8
0024 pf 09 -0.829 -0.178  0.848 1
0024 pf 10 -0.775 -0.044  0.776 1
0048 em 00 -0.717 -0.243  0.757 1
0048 cf 00 -0.692 -0.220  0.726 1
0048 pf 01 -0.709 -0.381  0.804 1
0048 pf 02 -0.696 -0.075  0.700 1
0048 pf 03 -0.682 -0.170  0.703 1
0048 pf 04 -0.737 -0.285  0.790 1
0048 pf 05 -0.738 -0.297  0.795 1
0048 pf 06 -0.694 -0.075  0.698 1
0048 pf 07 -0.644 -0.279  0.701 1
0048 pf 08 -0.661 -0.225  0.699 1
0048 pf 09 -0.744 -0.398  0.844 1
0048 pf 10 -0.745 -0.288  0.799 1
0072 em 00 -0.712 -0.470  0.853 1
0072 cf 00 -0.713 -0.468  0.853 1
0072 pf 01 -0.582 -0.503  0.769 1
0072 pf 02 -0.785 -0.389  0.876 1
0072 pf 03 -0.566 -0.482  0.743 1
0072 pf 04 -0.721 -0.461  0.856 1
0072 pf 05 -0.676 -0.433  0.803 1
0072 pf 06 -0.697 -0.224  0.732 1
0072 pf 07 -0.679 -0.526  0.859 1
0072 pf 08 -0.752 -0.385  0.845 1
0072 pf 09 -0.597 -0.688  0.911 2
0072 pf 10 -0.895 -0.589  1.071 1
0096 em 00 -0.874 -0.625  1.074 1
0096 cf 00 -1.003 -0.626  1.182 1
0096 pf 01 -0.760 -0.723  1.049 1
0096 pf 02 -0.947 -0.518  1.080 1
0096 pf 03 -0.574 -0.605  0.834 2
0096 pf 04 -0.874 -0.560  1.037 1
0096 pf 05 -0.891 -0.644  1.099 1
0096 pf 06 -0.842 -0.336  0.906 1
0096 pf 07 -0.761 -0.887  1.169 2
0096 pf 08 -1.087 -0.583  1.233 1
0096 pf 09 -0.769 -0.765  1.085 1
0096 pf 10 -0.912 -0.590  1.086 1
0120 em 00 -0.943 -0.672  1.158 1
0120 cf 00 -1.061 -0.705  1.274 1
0120 pf 01 -0.873 -0.737  1.142 1
0120 pf 02 -0.992 -0.516  1.118 1
0120 pf 03 -0.502 -0.640  0.813 2
0120 pf 04 -0.975 -0.641  1.167 1
0120 pf 05 -1.013 -0.719  1.242 1
0120 pf 06 -1.104 -0.297  1.143 1
0120 pf 07 -0.778 -0.979  1.250 2
0120 pf 08 -1.141 -0.551  1.267 1
0120 pf 09 -0.846 -0.808  1.170 1
0120 pf 10 -0.893 -0.735  1.157 1
0144 em 00 -0.721 -0.780  1.062 2
0144 cf 00 -0.851 -0.820  1.182 1
0144 pf 01 -0.584 -0.946  1.112 2
0144 pf 02 -0.726 -0.607  0.946 1
0144 pf 03 -0.522 -0.535  0.748 2
0144 pf 04 -0.757 -0.788  1.093 2
0144 pf 05 -0.778 -0.696  1.044 1
0144 pf 06 -0.981 -0.489  1.096 1
0144 pf 07 -0.251 -1.081  1.110 2
0144 pf 08 -1.034 -0.537  1.165 1
0144 pf 09 -0.588 -1.039  1.194 2
0144 pf 10 -0.669 -0.932  1.147 2
0168 em 00 -0.483 -0.858  0.985 2
0168 cf 00 -0.606 -1.087  1.244 2
0168 pf 01 -0.320 -0.792  0.855 2
0168 pf 02 -0.463 -0.836  0.956 2
0168 pf 03 -0.390 -0.444  0.591 2
0168 pf 04 -0.625 -0.784  1.002 2
0168 pf 05 -0.519 -0.740  0.904 2
0168 pf 06 -0.851 -0.845  1.199 1
0168 pf 07  0.098 -0.966  0.971 3
0168 pf 08 -0.836 -0.783  1.146 1
0168 pf 09 -0.310 -1.108  1.151 2
0168 pf 10 -0.341 -0.924  0.985 2
0192 em 00 -0.239 -0.879  0.910 2
0192 cf 00 -0.319 -1.137  1.181 2
0192 pf 01 -0.125 -0.980  0.988 2
0192 pf 02 -0.356 -0.818  0.892 2
0192 pf 03 -0.111 -0.384  0.400 2
0192 pf 04 -0.419 -0.879  0.974 2
0192 pf 05 -0.310 -0.595  0.670 2
0192 pf 06 -0.536 -1.166  1.283 2
0192 pf 07  0.274 -0.668  0.722 3
0192 pf 08 -0.592 -0.898  1.076 2
0192 pf 09  0.034 -1.105  1.106 3
0192 pf 10 -0.038 -0.866  0.867 2
0216 em 00 -0.056 -0.906  0.908 2
0216 cf 00 -0.186 -1.107  1.122 2
0216 pf 01  0.046 -0.855  0.857 3
0216 pf 02 -0.264 -0.999  1.034 2
0216 pf 03  0.003 -0.690  0.690 3
0216 pf 04 -0.238 -0.784  0.820 2
0216 pf 05 -0.188 -0.611  0.639 2
0216 pf 06  0.069 -1.254  1.256 3
0216 pf 07  0.063 -0.598  0.602 3
0216 pf 08 -0.440 -0.910  1.011 2
0216 pf 09  0.199 -1.191  1.208 3
0216 pf 10  0.437 -0.776  0.890 3
0240 em 00  0.011 -1.018  1.018 3
0240 cf 00 -0.167 -1.045  1.058 2
0240 pf 01  0.124 -1.242  1.248 3
0240 pf 02 -0.295 -1.244  1.278 2
0240 pf 03 -0.043 -0.578  0.580 2
0240 pf 04 -0.241 -0.995  1.024 2
0240 pf 05 -0.158 -0.602  0.622 2
0240 pf 06  0.238 -1.366  1.387 3
0240 pf 07  0.073 -0.847  0.851 3
0240 pf 08 -0.486 -1.011  1.121 2
0240 pf 09  0.399 -1.226  1.289 3
0240 pf 10  0.761 -0.828  1.124 3
0264 em 00  0.129 -1.003  1.011 3
0264 cf 00  0.034 -1.104  1.105 3
0264 pf 01  0.220 -1.347  1.365 3
0264 pf 02  0.033 -1.095  1.096 3
0264 pf 03 -0.115 -0.162  0.198 2
0264 pf 04 -0.222 -1.045  1.068 2
0264 pf 05 -0.143 -0.699  0.714 2
0264 pf 06  0.432 -1.316  1.385 3
0264 pf 07  0.289 -0.799  0.850 3
0264 pf 08 -0.646 -1.102  1.277 2
0264 pf 09  0.695 -1.320  1.492 3
0264 pf 10  0.881 -0.803  1.192 4
0288 em 00  0.368 -0.995  1.061 3
0288 cf 00  0.374 -1.030  1.096 3
0288 pf 01  0.876 -1.355  1.614 3
0288 pf 02 -0.081 -1.220  1.223 2
0288 pf 03  0.218  0.174  0.279 5
0288 pf 04 -0.195 -1.322  1.336 2
0288 pf 05 -0.110 -0.806  0.813 2
0288 pf 06  0.526 -0.985  1.116 3
0288 pf 07  0.225 -0.810  0.841 3
0288 pf 08 -0.107 -1.254  1.258 2
0288 pf 09  1.198 -1.196  1.693 4
0288 pf 10  1.126 -0.894  1.438 4
0312 em 00  0.615 -0.932  1.116 3
0312 cf 00  0.873 -0.933  1.277 3
0312 pf 01  1.291 -1.194  1.759 4
0312 pf 02  0.210 -1.166  1.185 3
0312 pf 03  0.623  0.214  0.659 5
0312 pf 04  0.175 -1.478  1.488 3
0312 pf 05 -0.077 -0.833  0.836 2
0312 pf 06  0.665 -0.796  1.037 3
0312 pf 07  0.138 -0.969  0.979 3
0312 pf 08  0.003 -1.249  1.249 3
0312 pf 09  1.550 -0.768  1.730 4
0312 pf 10  1.288 -0.826  1.530 4
0336 em 00  0.660 -0.746  0.996 3
0336 cf 00  1.022 -0.912  1.370 4
0336 pf 01  1.322 -0.801  1.546 4
